Identifier,Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date,Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,TileServer,Slug,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child,Is Part Of,Thumbnail
779819af9b0f463f96bc8aadaa1c87fc,CSU_Parking_Layers,CSU_Parking_Layers,"CSU Parking layers.Created to aid attendees of the GIS in Higher Education Summit on March 30th 2017 in finding parking on or near the CSU campus in Fort Collins. Created by the CSU Geospatial Centroid, https://gis.colostate.eduWe recommend carpooling, and the following parking options:Park south of campus along the MAX line and take the MAX into campus. For more info: http://www.ridetransfort.com/maxObtain a $12 parking day pass at the Lake Street Garage parking office, and park in one of the campus garages or ""A"" or ""Z"" permit lots. Expect a 10 minute walk from most of these lots/garages.To get to the Lake St. office from I-25, take I-25 to Mulberry, go south on College Ave, and turn right onto Lake St.)Off-campus street parking is limited, and many nearby streets are restricted to residents. Refer to the map for details. Expect a 15-20 minute walk from most of the free off-campus street parking.Road construction:-West bound Prospect Road is closed from Remington St. to College Ave.-West bound Prospect Road is closed from College Ave. to Mason St.-Shields St. is closed in both directions at W. Elizabeth, but you can still access campus via Shields St. from Prospect Rd.",[],e.tulanow,Colorado State University,,intelligenceMilitary,,1490460046000,,,,2017,,"-105.1050510903984,40.56146758419307,-105.0651792090043,40.58557696895535",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/779819af9b0f463f96bc8aadaa1c87fc,https://opendata.arcgis.com/datasets/779819af9b0f463f96bc8aadaa1c87fc_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/CSU_Parking_Layers/FeatureServer/0,,,,Colorado State University,,,,,,"Created March 25th, 2017. For informational purposes only. Please verify conditions with CSU or the City of Fort Collins websites.",public,,,,thumbnail/thumbnail.png
a893e48ce2b94adbbf40a5364410f91e,CO_state,CO_state,"Colorado state boundary. The 2015 cartographic boundary shapefiles are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). These boundary files are specifically designed for small-scale thematic mapping. When possible, generalization is performed with the intent to maintain the hierarchical relationships among geographies and to maintain the alignment of geographies within a file set for a given year. Geographic areas may not align with the same areas from another year. Some geographies are available as nation-based files while others are available only as state-based files. States and equivalent entities are the primary governmental divisions of the United States. In addition to the fifty states, the Census Bureau treats the District of Columbia, Puerto Rico, and each of the Island Areas (American Samoa, the Commonwealth of the Northern Mariana Islands, Guam, and the U.S. Virgin Islands) as the statistical equivalents of states for the purpose of data presentation.",[],nwrs_ryan,Colorado State University,,boundaries,,1590177370000,,,,2020,,"-109.060253,36.99242600000008,-102.04152399999998,41.00344400000006",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/a893e48ce2b94adbbf40a5364410f91e,https://opendata.arcgis.com/datasets/a893e48ce2b94adbbf40a5364410f91e_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/CO_state/FeatureServer/0,,,,Colorado State University,,,,,,"The intended display scale for this file is 1:500,000. This file should not be displayed at scales larger than 1:500,000. These products are free to use in a product or publication, however acknowledgement must be given to the U.S. Census Bureau as the source. The boundary information is for visual display at appropriate small scales only. Cartographic boundary files should not be used for geographic analysis including area or perimeter calculation. Files should not be used for geocoding addresses. Files should not be used for determining precise geographic area relationships.",public,,,,thumbnail/thumbnail1590177584077.png
7b919435f0f84b4b8581a7062fcc18a2,Confinement in the Land of Enchantment,,"The Confinement in the Land of Enchantment Story Map utilizes maps, oral histories, letters, artwork, photographs, official site records, and memoirs to chronicle the experiences of people of Japanese descent who lived in New Mexico just before, during, and after World War II. Included are the histories of the four confinement sites that were located in the Land of Enchantment at Santa Fe, Lordsburg, Fort Stanton, and at Baca/Old Raton Ranch. Confinement in the Land of Enchantment is the resultofa collaborative effort among members of the New Mexican Japanese American community, survivors of confinement and their families, and scholars from across disciplines to represent the varied and complicated histories of Japanese Americans in New Mexico during World War II.The histories presented in this Story Map are tragic, hopeful, funny, heartbreaking, and inspiring; they are stories about the past and present meanings of identity, citizenship, and civil rights in New Mexico.",[],spayne,Colorado State University,,economy,,1442873740000,,,,2019,,"-125.102,23.9979992,-66.134,50.1019992",Web Mapping Application,,Web Mapping Application,https://csurams.maps.arcgis.com/apps/MapJournal/index.html?appid=7b919435f0f84b4b8581a7062fcc18a2,,,,,,,Colorado State University,,,,,,"The Confinement in the Land of Enchantment (CLOE) project team maintains this Story Map for your personal information and education. The contents of this Story Map, including but not limited to artwork, photographs, audio clips, video clips, and text are the property of the CLOE project team, its licensors, vendors, agents and/or its content providers. Exclusive rights to content on this site are protected by U.S. laws of copyright. You must ask permission from the rights holder of contents on this site before you re-use or publish it elsewhere, unless your project falls under a fair-use exception.",public,,,,thumbnail/thumbnail1540397117059.png
7f7dbbedb3644608b8a98add15dc9a88,Wells_TX_RG,Wells_TX_RG,"Texas water wells within the Rio Grande River Basin. These layers contain Public Water Supply sites in the State of Texas. The locations were obtained by theWater Supply Division as recorded from various sources and built using the best existing location dataavailable from these sources. Although some location errors were found and corrected in the process,some errors still remain. As resources allow, TCEQ intends to improve the accuracy of these locations tomeet the standards set forth in the agency's Positional Data Policy. This layer was developed to supportthe TCEQ's Source Water Assessment and Protection Program (SWAP).",[],nwrs_ryan,Colorado State University,,economy,,1590004966000,,,,2020,,"-106.62383078199996,25.95389743800007,-97.57169913899997,32.419172064000065",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/7f7dbbedb3644608b8a98add15dc9a88,https://opendata.arcgis.com/datasets/7f7dbbedb3644608b8a98add15dc9a88_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/Wells_TX_RG/FeatureServer/0,,,,Colorado State University,,,,,,Acknowledgment of the Texas Commission on Environmental Quality on any products using or deriving data from this digital dataset. ,public,,,,thumbnail/thumbnail.png
d9487a5253224a82bbb135da146419a5,Big_Thompson_AllData,,"This zipped file geodatabase contains all vector layers available for the Big Thompson Watershed in the CSU Geospatial Centroid data sharing website. The following layers represent available data in the following themes:- Climate- Land Use- Land Cover- Hydrology- Roads- Infrastructure- Oil/Gas- CensusSee metadata for each layer for data source, use, and other metadata information.",[],jlc4_CSUrams8,Colorado State University,,,,1591728208000,,,,2020,,"-105.80589491445491,40.22521591598551,-104.75952811995258,40.62946309287338",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/d9487a5253224a82bbb135da146419a5,https://opendata.arcgis.com/datasets/d9487a5253224a82bbb135da146419a5_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/Big_Thompson_AllData/FeatureServer/0,,,,Colorado State University,,,,,,See each layer for terms of use.,public,,,,thumbnail/ago_downloaded.png
985e52de65034111a2d759aafaf7252c,CollegeClosures_coronaviru31220_5pm,,"Colleges/Universities across the US with closures or schedule changes due to the COVID-19 outbreak.Based on https://www.notion.so/7f85b69a93f1496a9f56b24ff9a720c3?v=6e70cb21817044d5b80a42ae0d32b325 by bhrenton.Layer created by Elizabeth Tulanowski, GIS Instructor, Colorado State University.Updated March 12th, 5pm MDT.",[],e.tulanow,Colorado State University,,,,1584055967000,,,,2020,,"-123.69328999959828,29.651949999799257,-69.63134999956692,48.752350000165926",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/985e52de65034111a2d759aafaf7252c,https://opendata.arcgis.com/datasets/985e52de65034111a2d759aafaf7252c_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/CollegeClosures_coronaviru31220_5pm/FeatureServer/0,,,,Colorado State University,,,,,,,public,,,,thumbnail/ago_downloaded.png
0c61955b889a4c069eb40d78b56f0f93,CRB_Colorado,,"The data for the Colorado dataset was primarily compiled from the Colorado Decision Support Systems (CDSS), GIS Data (https://cdss.state.co.us/GIS/Pages/GISDataHome.aspx). Please visit CDSS website for the source data, data disclaimers and metadata if not available in these data layer files. Much of the metadata for the files in the dataset are complete and were imported with the original file. In cases where there are discrepancies, metadata have been added where appropriate.",[],jlc4_CSUrams8,Colorado State University,,,,1597350790000,,,,2020,,"-109.8538908243399,36.49367678347883,-101.6935690656824,41.47133480640926",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/0c61955b889a4c069eb40d78b56f0f93,https://opendata.arcgis.com/datasets/0c61955b889a4c069eb40d78b56f0f93_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/CRB_Colorado_gdb/FeatureServer/0,,,,Colorado State University,,,,,,,public,,,,thumbnail/ago_downloaded.png
4d8daeac16eb446d81abb82888e032f7,TX_state,TX_state,"Texas state boundary. The 2015 cartographic boundary shapefiles are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). These boundary files are specifically designed for small-scale thematic mapping. When possible, generalization is performed with the intent to maintain the hierarchical relationships among geographies and to maintain the alignment of geographies within a file set for a given year. Geographic areas may not align with the same areas from another year. Some geographies are available as nation-based files while others are available only as state-based files. States and equivalent entities are the primary governmental divisions of the United States. In addition to the fifty states, the Census Bureau treats the District of Columbia, Puerto Rico, and each of the Island Areas (American Samoa, the Commonwealth of the Northern Mariana Islands, Guam, and the U.S. Virgin Islands) as the statistical equivalents of states for the purpose of data presentation.",[],nwrs_ryan,Colorado State University,,boundaries,,1590175659000,,,,2020,,"-106.64564599999994,25.83737700000006,-93.50829199999998,36.50070400000004",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/4d8daeac16eb446d81abb82888e032f7,https://opendata.arcgis.com/datasets/4d8daeac16eb446d81abb82888e032f7_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/TX_state/FeatureServer/0,,,,Colorado State University,,,,,,"The intended display scale for this file is 1:500,000. This file should not be displayed at scales larger than 1:500,000. These products are free to use in a product or publication, however acknowledgement must be given to the U.S. Census Bureau as the source. The boundary information is for visual display at appropriate small scales only. Cartographic boundary files should not be used for geographic analysis including area or perimeter calculation. Files should not be used for geocoding addresses. Files should not be used for determining precise geographic area relationships.",public,,,,thumbnail/thumbnail1590176357618.png
1f2461baef5f414690d02d740ae3476c,RGB_MX_cities_population_greater_than_10000,RGB_MX_cities_population_greater_than_10000,"Mexico cities with populations greater than 10,000 within the Rio Grande River Basin. The map contains the geographical identification of the 192 245 inhabited localities, as a result of the 2010 Population and Housing Census. Each registry includes the values of length, latitude, altitude and total population.This shapefile was created by selecting all the localities with populations greater than 10,000 within the boundary of the RGB watershed, as delinated in the UC-Davis geodatabase (located hereL:\Interns_stuff\Kristin\GIS\UC-Davis_geodatabases\Complete_database\170311_RGB_geodatabase\Hydrology_and_Climate\RGB_watershed), from the UC-Davis's MX_cities shapefile. This shapefile was created by Kristin Davis (Geospatial Centroid Intern) on November 27, 2018 for the Rio Grande Basin Environmental Justice project.",[],nwrs_ryan,Colorado State University,,boundaries,,1590114976000,,,,2020,,"-107.60027777799996,25.18722222200006,-97.50416666699994,31.73944444400007",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/1f2461baef5f414690d02d740ae3476c,https://opendata.arcgis.com/datasets/1f2461baef5f414690d02d740ae3476c_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/RGB_MX_cities_population_greater_than_10000/FeatureServer/0,,,,Colorado State University,,,,,,It is not allowed to use this data for profit and the source of the map and CONABIO must be mentioned. View full license at http://creativecommons.org/licenses/by-nc/2.5/mx/,public,,,,thumbnail/thumbnail1590115073130.png
39d6b8eec58d4f889eeb6f7cc45c9a73,CO_County_RG,CO_County_RG,"Colorado counties within the Rio Grande River Basin. The 2015 cartographic boundary shapefiles are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). These boundary files are specifically designed for small-scale thematic mapping. When possible, generalization is performed with the intent to maintain the hierarchical relationships among geographies and to maintain the alignment of geographies within a file set for a given year. Geographic areas may not align with the same areas from another year. Some geographies are available as nation-based files while others are available only as state-based files. The primary legal divisions of most states are termed counties. In Louisiana, these divisions are known as parishes. In Alaska, which has no counties, the equivalent entities are the organized boroughs, city and boroughs, municipalities, and for the unorganized area, census areas. The latter are delineated cooperatively for statistical purposes by the State of Alaska and the Census Bureau. In four states (Maryland, Missouri, Nevada, and Virginia), there are one or more incorporated places that are independent of any county organization and thus constitute primary divisions of their states. These incorporated places are known as independent cities and are treated as equivalent entities for purposes of data presentation. The District of Columbia and Guam have no primary divisions, and each area is considered an equivalent entity for purposes of data presentation. The Census Bureau treats the following entities as equivalents of counties for purposes of data presentation: Municipios in Puerto Rico, Districts and Islands in American Samoa, Municipalities in the Commonwealth of the Northern Mariana Islands, and Islands in the U.S. Virgin Islands. The entire area of the United States, Puerto Rico, and the Island Areas is covered by counties or equivalent entities.",[],nwrs_ryan,Colorado State University,,boundaries,,1590178212000,,,,2020,,"-107.975070551,36.99243191000005,-103.07467241299996,39.057914217000075",Feature Service,,Feature Service,https://opendata.arcgis.com/datasets/39d6b8eec58d4f889eeb6f7cc45c9a73,https://opendata.arcgis.com/datasets/39d6b8eec58d4f889eeb6f7cc45c9a73_0.zip,,https://services1.arcgis.com/KNdRU5cN6ENqCTjk/arcgis/rest/services/CO_County_RG/FeatureServer/0,,,,Colorado State University,,,,,,"The intended display scale for this file is 1:500,000. This file should not be displayed at scales larger than 1:500,000. These products are free to use in a product or publication, however acknowledgement must be given to the U.S. Census Bureau as the source. The boundary information is for visual display at appropriate small scales only. Cartographic boundary files should not be used for geographic analysis including area or perimeter calculation. Files should not be used for geocoding addresses. Files should not be used for determining precise geographic area relationships.",public,,,,thumbnail/thumbnail1590178473866.png
