STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
01|001|000001|Jones Community Ctr|Jones Community Ctr
01|001|000002|Heritage Baptist Church|Heritage Baptist Church
01|001|000003|Billingsley Community Ctr|Billingsley Community Ctr
01|001|000004|East Memorial Christian Academy|East Memorial Christian Academy
01|001|000005|White City VF Station|White City VF Station
01|001|000006|Marbury Middle School|Marbury Middle School
01|001|000007|Boone's Chapel|Boone's Chapel
01|001|000008|Independence VFD|Independence VFD
01|001|000009|Booth VFD|Booth VFD
01|001|000010|Trinity Methodist Church|Trinity Methodist Church
01|001|000011|Central AL Electric Co-Op|Central AL Electric Co-Op
01|001|000012|Old Kingston VFD|Old Kingston VFD
01|001|000013|Upper Kingston Community Ctr|Upper Kingston Community Ctr
01|001|000014|Autaugaville VFD|Autaugaville VFD
01|001|000015|Prattmont Baptist Church|Prattmont Baptist Church
01|001|000016|Doster Community Ctr|Doster Community Ctr
01|001|000017|Camellia Baptist Church|Camellia Baptist Church
01|001|000018|County Line Baptist Church|County Line Baptist Church
01|003|000001|Little River VFD|Little River VFD
01|003|000002|Tensaw VFD|Tensaw VFD
01|003|000003|Old Vaughn School|Old Vaughn School
01|003|000004|Crossroads Durant Chapel Bapt Church|Crossroads Durant Chapel Bapt Church
01|003|000005|Douglasville Boykin Ctr|Douglasville Boykin Ctr
01|003|000006|Bromley Substation-Crossroads VFD|Bromley Substation-Crossroads VFD
01|003|000007|Spanish Fort New Life Assembly of God Church|Spanish Fort New Life Assembly of God Church
01|003|000008|Loxley Ellisville Community Ctr|Loxley Ellisville Community Ctr
01|003|000009|Loxley Civic Ctr|Loxley Civic Ctr
01|003|000010|Point Clear St Francis Point Anglican Church|Point Clear St Francis Point Anglican Church
01|003|000011|Lottie VFD|Lottie VFD
01|003|000012|Stockton Civic Bldg|Stockton Civic Bldg
01|003|000013|Rabun VFD|Rabun VFD
01|003|000014|Peridido VFD Station #1|Peridido VFD Station #1
01|003|000015|Bay Minette City Hall / Civic Ctr|Bay Minette City Hall / Civic Ctr
01|003|000016|Pine Grove VFD Station #1|Pine Grove VFD Station #1
01|003|000017|White House Fork VFD|White House Fork VFD
01|003|000018|Stapleton VFD|Stapleton VFD
01|003|000019|Gateswood VFD|Gateswood VFD
01|003|000020|Daphne High School|Daphne High School
01|003|000021|Clear Springs UM Church|Clear Springs UM Church
