STATEFP|DISTRICT|NAME|NAMELSAD
02|001|1|State House District 1
02|002|2|State House District 2
02|003|3|State House District 3
02|004|4|State House District 4
02|005|5|State House District 5
02|006|6|State House District 6
02|007|7|State House District 7
02|008|8|State House District 8
02|009|9|State House District 9
02|010|10|State House District 10
02|011|11|State House District 11
02|012|12|State House District 12
02|013|13|State House District 13
02|014|14|State House District 14
02|015|15|State House District 15
02|016|16|State House District 16
02|017|17|State House District 17
02|018|18|State House District 18
02|019|19|State House District 19
02|020|20|State House District 20
02|021|21|State House District 21
02|022|22|State House District 22
02|023|23|State House District 23
02|024|24|State House District 24
02|025|25|State House District 25
02|026|26|State House District 26
02|027|27|State House District 27
02|028|28|State House District 28
02|029|29|State House District 29
02|030|30|State House District 30
02|031|31|State House District 31
02|032|32|State House District 32
02|033|33|State House District 33
02|034|34|State House District 34
02|035|35|State House District 35
02|036|36|State House District 36
02|037|37|State House District 37
02|038|38|State House District 38
02|039|39|State House District 39
02|040|40|State House District 40
