STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
02|013|37-700|Akutan Precinct|Akutan Precinct
02|013|37-712|Cold Bay Precinct|Cold Bay Precinct
02|013|37-720|King Cove Precinct|King Cove Precinct
02|013|37-744|Sand Point Precinct|Sand Point Precinct
02|016|37-704|Aleutians No. 1 Precinct|Aleutians No. 1 Precinct
02|016|37-706|Aleutians No. 2 Precinct|Aleutians No. 2 Precinct
02|016|37-750|St. George Island Precinct|St. George Island Precinct
02|016|37-752|St. Paul Island Precinct|St. Paul Island Precinct
02|020|12-225|Eklutna Precinct|Eklutna Precinct
02|020|12-230|Peters Creek No. 1 Precinct|Peters Creek No. 1 Precinct
02|020|12-233|Peters Creek No. 2 Precinct|Peters Creek No. 2 Precinct
02|020|13-235|Chugiak Precinct|Chugiak Precinct
02|020|13-240|Fire Lake Precinct|Fire Lake Precinct
02|020|13-245|JBER No. 1 Precinct|JBER No. 1 Precinct
02|020|13-250|Downtown Eagle River No. 1 Precinct|Downtown Eagle River No. 1 Precinct
02|020|13-255|Chugach Park No. 1 Precinct|Chugach Park No. 1 Precinct
02|020|13-260|Centennial Park Precinct|Centennial Park Precinct
02|020|14-940|Downtown Eagle River No. 2 Precinct|Downtown Eagle River No. 2 Precinct
02|020|14-945|Meadow Creek No. 1 Precinct|Meadow Creek No. 1 Precinct
02|020|14-950|Meadow Creek No. 2 Precinct|Meadow Creek No. 2 Precinct
02|020|14-955|Eagle River No. 1 Precinct|Eagle River No. 1 Precinct
02|020|14-960|Eagle River No. 2 Precinct|Eagle River No. 2 Precinct
02|020|14-965|Chugach Park No. 2 Precinct|Chugach Park No. 2 Precinct
02|020|14-970|Hiland Precinct|Hiland Precinct
02|020|15-300|JBER No. 2 Precinct|JBER No. 2 Precinct
02|020|15-305|Creekside Park Precinct|Creekside Park Precinct
02|020|15-310|Muldoon No. 1 Precinct|Muldoon No. 1 Precinct
02|020|15-315|Muldoon No. 2 Precinct|Muldoon No. 2 Precinct
02|020|15-320|North Muldoon Precinct|North Muldoon Precinct
02|020|16-325|Russian Jack Precinct|Russian Jack Precinct
02|020|16-330|Nunaka Valley Precinct|Nunaka Valley Precinct
02|020|16-335|Northeast Anchorage Precinct|Northeast Anchorage Precinct
02|020|16-340|College Gate Precinct|College Gate Precinct
02|020|16-345|Chester Valley Precinct|Chester Valley Precinct
02|020|16-350|Reflection Lake Precinct|Reflection Lake Precinct
02|020|16-355|Wonder Park Precinct|Wonder Park Precinct
02|020|17-400|Rogers Park Precinct|Rogers Park Precinct
02|020|17-405|University No. 1 Precinct|University No. 1 Precinct
02|020|17-410|University No. 2 Precinct|University No. 2 Precinct
02|020|17-415|Far North Bicentennial Precinct|Far North Bicentennial Precinct
02|020|17-420|Tudor No. 1 Precinct|Tudor No. 1 Precinct
02|020|17-425|Tudor No. 2 Precinct|Tudor No. 2 Precinct
02|020|17-430|East Anchorage Precinct|East Anchorage Precinct
02|020|18-435|West Anchorage No. 1 Precinct|West Anchorage No. 1 Precinct
02|020|18-440|West Anchorage No. 2 Precinct|West Anchorage No. 2 Precinct
02|020|18-445|Spenard Precinct|Spenard Precinct
02|020|18-450|Willow Crest Precinct|Willow Crest Precinct
02|020|18-455|West Anchorage No. 3 Precinct|West Anchorage No. 3 Precinct
02|020|18-460|Fireweed No. 1 Precinct|Fireweed No. 1 Precinct
02|020|18-465|Fireweed No. 2 Precinct|Fireweed No. 2 Precinct
02|020|18-470|Fireweed No. 3 Precinct|Fireweed No. 3 Precinct
02|020|18-475|Midtown No. 1 Precinct|Midtown No. 1 Precinct
02|020|18-480|Midtown No. 2 Precinct|Midtown No. 2 Precinct
02|020|19-500|North Mountain View No. 1 Precinct|North Mountain View No. 1 Precinct
02|020|19-505|North Mountain View No. 2 Precinct|North Mountain View No. 2 Precinct
02|020|19-510|South Mountain View No. 1 Precinct|South Mountain View No. 1 Precinct
02|020|19-515|South Mountain View No. 2 Precinct|South Mountain View No. 2 Precinct
02|020|19-520|Airport Heights No. 1 Precinct|Airport Heights No. 1 Precinct
02|020|19-525|Airport Heights No. 2 Precinct|Airport Heights No. 2 Precinct
02|020|20-530|Government Hill Precinct|Government Hill Precinct
02|020|20-535|Merrill Field Precinct|Merrill Field Precinct
02|020|20-540|Downtown Anchorage No. 1 Precinct|Downtown Anchorage No. 1 Precinct
02|020|20-545|Downtown Anchorage No. 2 Precinct|Downtown Anchorage No. 2 Precinct
02|020|20-550|Downtown Anchorage No. 3 Precinct|Downtown Anchorage No. 3 Precinct
02|020|20-555|Downtown Anchorage No. 4 Precinct|Downtown Anchorage No. 4 Precinct
