STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
05|001|000011|11 - McFall|11 - McFall
05|001|000012|12 - Crockett|12 - Crockett
05|001|000013|13 - Keaton|13 - Keaton
05|001|000014|14 - Mill Bayou|14 - Mill Bayou
05|001|000015|15 - Almyra|15 - Almyra
05|001|000021|21 - Prairie|21 - Prairie
05|001|000022|22 - Lagrue|22 - Lagrue
05|001|000023|23 - St. Charles|23 - St. Charles
05|001|000031|31 - Chester|31 - Chester
05|001|000032|32 - Arkansas|32 - Arkansas
05|001|000033|33 - Stanley|33 - Stanley
05|001|000034|34 - Gillett Ward 1|34 - Gillett Ward 1
05|001|000035|35 - Gillett Ward 2|35 - Gillett Ward 2
05|001|000036|36 - Gillett Ward 3|36 - Gillett Ward 3
05|001|000037|37 - PT Deluce|37 - PT Deluce
05|001|000038|38 - Bayou Meto|38 - Bayou Meto
05|001|000041|41 - Morris|41 - Morris
05|001|000042|42 - Gum Pond|42 - Gum Pond
05|001|000043|43 - Barton|43 - Barton
05|001|000044|44 - Henton|44 - Henton
05|001|000045|45 - Brewer|45 - Brewer
05|001|000046|46 - Garland|46 - Garland
05|001|000047|47 - Humphrey Ward 1|47 - Humphrey Ward 1
05|001|000048|48 - Humphrey Ward 3|48 - Humphrey Ward 3
05|001|000051|51 - DeWitt 1|51 - DeWitt 1
05|001|000053|53 - Dewitt 2|53 - Dewitt 2
05|001|000055|55 - Dewitt 3|55 - Dewitt 3
05|001|000071|71 - Stuttgart 1|71 - Stuttgart 1
05|001|000081|81 - Stuttgart 2|81 - Stuttgart 2
05|001|000091|91 - Stuttgart 3|91 - Stuttgart 3
05|003|000001|01 - Crossett Ward 1|01 - Crossett Ward 1
05|003|000002|02 - Crossett Ward 2|02 - Crossett Ward 2
05|003|000003|03 - Crossett Ward 3|03 - Crossett Ward 3
05|003|000004|04 - North Crossett East|04 - North Crossett East
05|003|000005|05 - North Crossett West|05 - North Crossett West
05|003|000006|06 - West Crossett Rural|06 - West Crossett Rural
05|003|000007|07 - VO - Tech|07 - VO - Tech
05|003|000008|08 - Cooter|08 - Cooter
05|003|000009|09 - Hickory Grove|09 - Hickory Grove
05|003|000010|10 - Cross Roads|10 - Cross Roads
05|003|000011|11 - Hamburg Ward 3|11 - Hamburg Ward 3
05|003|000012|12 - Hamburg Ward 2|12 - Hamburg Ward 2
05|003|000013|13 - Hamburg Ward 1|13 - Hamburg Ward 1
05|003|000014|14 - Hamburg Rural|14 - Hamburg Rural
05|003|000015|15 - Mt. Zion|15 - Mt. Zion
05|003|000016|16 - Milo|16 - Milo
05|003|000017|17 - Beech Creek|17 - Beech Creek
05|003|000018|18 - Mist|18 - Mist
05|003|000019|19 - Fountain Hill City|19 - Fountain Hill City
05|003|000020|20 - Fountain Hill Rural|20 - Fountain Hill Rural
05|003|000021|21 - Portland City|21 - Portland City
05|003|000022|22 - Portland Rural|22 - Portland Rural
05|003|000023|23 - Boydell|23 - Boydell
05|003|000024|24 - Snyder / Trafalgar|24 - Snyder / Trafalgar
05|003|000025|25 - Montrose City|25 - Montrose City
05|003|000026|26 - Montrose Rural|26 - Montrose Rural
05|003|000027|27 - Parkdale City|27 - Parkdale City
05|003|000028|28 - Parkdale Rural|28 - Parkdale Rural
05|003|000029|29 - Wilmot City|29 - Wilmot City
05|003|000030|30 - Wilmot Rural|30 - Wilmot Rural
05|005|0001-1|1-1|1-1
05|005|0001-2|1-2|1-2
05|005|0001-3|1-3|1-3
05|005|0002-1|2-1|2-1
05|005|0002-2|2-2|2-2
05|005|0002-3|2-3|2-3
05|005|0003-1|3-1|3-1
05|005|0003-2|3-2|3-2
05|005|0003-3|3-3|3-3
05|005|0003-4|3-4|3-4
05|005|0004-1|4-1|4-1
05|005|0004-2|4-2|4-2
05|005|0005-1|5-1|5-1
05|005|0005-2|5-2|5-2
05|005|0005-3|5-3|5-3
05|005|0005-4|5-4|5-4
05|005|0006-1|6-1|6-1
05|005|0006-2|6-2|6-2
05|005|0006-3|6-3|6-3
05|005|0007-1|7-1|7-1
05|005|0007-2|7-2|7-2
05|005|0007-3|7-3|7-3
05|005|0008-1|8-1|8-1
05|005|0008-2|8-2|8-2
05|005|0008-3|8-3|8-3
05|005|0008-4|8-4|8-4
05|005|0008-5|8-5|8-5
05|005|0009-1|9-1|9-1
05|005|0009-2|9-2|9-2
05|005|0009-3|9-3|9-3
05|005|0009-4|9-4|9-4
05|005|0010-1|10-1|10-1
05|005|0010-2|10-2|10-2
05|005|0010-3|10-3|10-3
05|005|0011-1|11-1|11-1
05|005|0011-2|11-2|11-2
05|005|0011-3|11-3|11-3
05|005|0011-4|11-4|11-4
05|005|0011-5|11-5|11-5
05|005|0011-6|11-6|11-6
05|005|0011-7|11-7|11-7
05|005|0011-8|11-8|11-8
05|005|0011-9|11-9|11-9
05|007|000001|Precinct 01|Precinct 01
05|007|000002|Precinct 02|Precinct 02
05|007|000003|Precinct 03|Precinct 03
05|007|000004|Precinct 04|Precinct 04
05|007|000005|Precinct 05|Precinct 05
05|007|000006|Precinct 06|Precinct 06
05|007|000007|Precinct 07|Precinct 07
05|007|000008|Precinct 08|Precinct 08
05|007|000009|Precinct 09|Precinct 09
05|007|000010|Precinct 10|Precinct 10
05|007|000011|Precinct 11|Precinct 11
05|007|000012|Precinct 12|Precinct 12
05|007|000013|Precinct 13|Precinct 13
05|007|000014|Precinct 14|Precinct 14
05|007|000015|Precinct 15|Precinct 15
05|007|000016|Precinct 16|Precinct 16
05|007|000017|Precinct 17|Precinct 17
05|007|000018|Precinct 18|Precinct 18
05|007|000019|Precinct 19|Precinct 19
05|007|000020|Precinct 20|Precinct 20
05|007|000021|Precinct 21|Precinct 21
05|007|000022|Precinct 22|Precinct 22
05|007|000023|Precinct 23|Precinct 23
05|007|000024|Precinct 24|Precinct 24
05|007|000025|Precinct 25|Precinct 25
05|007|000026|Precinct 26|Precinct 26
05|007|000027|Precinct 27|Precinct 27
05|007|000028|Precinct 28|Precinct 28
05|007|000029|Precinct 29|Precinct 29
05|007|000030|Precinct 30|Precinct 30
05|007|000031|Precinct 31|Precinct 31
05|007|000032|Precinct 32|Precinct 32
05|007|000033|Precinct 33|Precinct 33
05|007|000034|Precinct 34|Precinct 34
05|007|000035|Precinct 35|Precinct 35
05|007|000036|Precinct 36|Precinct 36
05|007|000037|Precinct 37|Precinct 37
05|007|000038|Precinct 38|Precinct 38
05|007|000039|Precinct 39|Precinct 39
05|007|000040|Precinct 40|Precinct 40
05|007|000041|Precinct 41|Precinct 41
05|007|000042|Precinct 42|Precinct 42
05|007|000043|Precinct 43|Precinct 43
05|007|000044|Precinct 44|Precinct 44
05|007|000045|Precinct 45|Precinct 45
05|007|000046|Precinct 46|Precinct 46
05|007|000047|Precinct 47|Precinct 47
05|007|000048|Precinct 48|Precinct 48
05|007|000049|Precinct 49|Precinct 49
05|007|000050|Precinct 50|Precinct 50
05|007|000051|Precinct 51|Precinct 51
05|007|000052|Precinct 52|Precinct 52
05|007|000053|Precinct 53|Precinct 53
05|007|000054|Precinct 54|Precinct 54
05|007|000055|Precinct 55|Precinct 55
05|007|000056|Precinct 56|Precinct 56
05|007|000057|Precinct 57|Precinct 57
05|007|000058|Precinct 58|Precinct 58
05|007|000059|Precinct 59|Precinct 59
05|007|000060|Precinct 60|Precinct 60
05|007|000061|Precinct 61|Precinct 61
05|007|000062|Precinct 62|Precinct 62
05|007|000063|Precinct 63|Precinct 63
05|007|000064|Precinct 64|Precinct 64
05|007|000065|Precinct 65|Precinct 65
05|007|000066|Precinct 66|Precinct 66
05|007|000067|Precinct 67|Precinct 67
05|007|000068|Precinct 68|Precinct 68
05|007|000069|Precinct 69|Precinct 69
05|007|000070|Precinct 70|Precinct 70
05|007|000071|Precinct 71|Precinct 71
05|007|000072|Precinct 72|Precinct 72
05|007|000073|Precinct 73|Precinct 73
05|007|000074|Precinct 74|Precinct 74
05|007|000075|Precinct 75|Precinct 75
05|007|000076|Precinct 76|Precinct 76
05|007|000077|Precinct 77|Precinct 77
05|007|000078|Precinct 78|Precinct 78
05|007|000079|Precinct 79|Precinct 79
05|007|000080|Precinct 80|Precinct 80
05|007|000081|Precinct 81|Precinct 81
05|007|000082|Precinct 82|Precinct 82
05|007|000083|Precinct 83|Precinct 83
05|007|000084|Precinct 84|Precinct 84
05|007|000085|Precinct 85|Precinct 85
05|007|000086|Precinct 86|Precinct 86
05|007|000087|Precinct 87|Precinct 87
05|007|000088|Precinct 88|Precinct 88
05|007|000089|Precinct 89|Precinct 89
05|007|000090|Precinct 90|Precinct 90
05|007|000091|Precinct 91|Precinct 91
05|007|000092|Precinct 92|Precinct 92
05|007|000093|Precinct 93|Precinct 93
