STATEFP|PLACEFP|NAME|NAMELSAD
09|02480|Ball Pond|Ball Pond CDP
09|02550|Baltic|Baltic CDP
09|04790|Bethel|Bethel CDP
09|04945|Bethlehem Village|Bethlehem Village CDP
09|04965|Bigelow Corners|Bigelow Corners CDP
09|06050|Blue Hills|Blue Hills CDP
09|06155|Bogus Hill|Bogus Hill CDP
09|06680|Botsford|Botsford CDP
09|07100|Branchville|Branchville CDP
09|07345|Branford Center|Branford Center CDP
09|08140|Bridgewater|Bridgewater CDP
09|08770|Broad Brook|Broad Brook CDP
09|08910|Brookfield Center|Brookfield Center CDP
09|09120|Brooklyn|Brooklyn CDP
09|10660|Byram|Byram CDP
09|10870|Canaan|Canaan CDP
09|11360|Candlewood Isle|Candlewood Isle CDP
09|11430|Candlewood Knolls|Candlewood Knolls CDP
09|11500|Candlewood Lake Club|Candlewood Lake Club CDP
09|11640|Candlewood Orchards|Candlewood Orchards CDP
09|11780|Candlewood Shores|Candlewood Shores CDP
09|11990|Cannondale|Cannondale CDP
09|12370|Canton Valley|Canton Valley CDP
09|14200|Cheshire Village|Cheshire Village CDP
09|14370|Chester Center|Chester Center CDP
09|14615|Chimney Point|Chimney Point CDP
09|15420|Clinton|Clinton CDP
09|15840|Colchester|Colchester CDP
09|16085|Coleytown|Coleytown CDP
09|16120|Collinsville|Collinsville CDP
09|16525|Compo|Compo CDP
09|16960|Conning Towers-Nautilus Park|Conning Towers-Nautilus Park CDP
09|17170|Cornwall|Cornwall CDP
09|17310|Cornwall Bridge|Cornwall Bridge CDP
09|17520|Cos Cob|Cos Cob CDP
09|17835|Coventry Lake|Coventry Lake CDP
09|18220|Crystal Lake|Crystal Lake CDP
09|18675|Daniels Farm|Daniels Farm CDP
09|18936|Darien Downtown|Darien Downtown CDP
09|18990|Dayville|Dayville CDP
09|19200|Deep River Center|Deep River Center CDP
09|20250|Dodgingtown|Dodgingtown CDP
09|20740|Durham|Durham CDP
09|21160|East Brooklyn|East Brooklyn CDP
09|22420|East Hampton|East Hampton CDP
09|22700|East Hartford|East Hartford CDP
09|22980|East Haven|East Haven CDP
09|24520|East Village|East Village CDP
09|26370|Essex Village|Essex Village CDP
09|26698|Fairfield University|Fairfield University CDP
09|27390|Falls Village|Falls Village CDP
09|30190|Gales Ferry|Gales Ferry CDP
09|30470|Gaylordsville|Gaylordsville CDP
09|30540|Georgetown|Georgetown CDP
09|31270|Glastonbury Center|Glastonbury Center CDP
09|31520|Glenville|Glenville CDP
09|33480|Greens Farms|Greens Farms CDP
09|33690|Greenwich|Greenwich CDP
09|35020|Guilford Center|Guilford Center CDP
