STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
09|001|00000|County subdivisions not defined|County subdivisions not defined
09|001|04720|Bethel|Bethel town
09|001|08070|Bridgeport|Bridgeport town
09|001|08980|Brookfield|Brookfield town
09|001|18500|Danbury|Danbury town
09|001|18850|Darien|Darien town
09|001|23890|Easton|Easton town
09|001|26620|Fairfield|Fairfield town
09|001|33620|Greenwich|Greenwich town
09|001|48620|Monroe|Monroe town
09|001|50580|New Canaan|New Canaan town
09|001|50860|New Fairfield|New Fairfield town
09|001|52980|Newtown|Newtown town
09|001|56060|Norwalk|Norwalk town
09|001|63480|Redding|Redding town
09|001|63970|Ridgefield|Ridgefield town
09|001|68170|Shelton|Shelton town
09|001|68310|Sherman|Sherman town
09|001|73070|Stamford|Stamford town
09|001|74190|Stratford|Stratford town
09|001|77200|Trumbull|Trumbull town
09|001|83430|Weston|Weston town
09|001|83500|Westport|Westport town
09|001|86370|Wilton|Wilton town
09|003|02060|Avon|Avon town
09|003|04300|Berlin|Berlin town
09|003|05910|Bloomfield|Bloomfield town
09|003|08490|Bristol|Bristol town
09|003|10100|Burlington|Burlington town
09|003|12270|Canton|Canton town
09|003|22070|East Granby|East Granby town
09|003|22630|East Hartford|East Hartford town
09|003|24800|East Windsor|East Windsor town
09|003|25990|Enfield|Enfield town
09|003|27600|Farmington|Farmington town
09|003|31240|Glastonbury|Glastonbury town
09|003|32640|Granby|Granby town
09|003|37070|Hartford|Hartford town
09|003|37140|Hartland|Hartland town
09|003|44700|Manchester|Manchester town
09|003|45820|Marlborough|Marlborough town
09|003|50440|New Britain|New Britain town
09|003|52140|Newington|Newington town
09|003|60120|Plainville|Plainville town
09|003|65370|Rocky Hill|Rocky Hill town
09|003|68940|Simsbury|Simsbury town
09|003|70550|Southington|Southington town
09|003|71390|South Windsor|South Windsor town
09|003|74540|Suffield|Suffield town
09|003|82590|West Hartford|West Hartford town
09|003|84900|Wethersfield|Wethersfield town
09|003|87000|Windsor|Windsor town
09|003|87070|Windsor Locks|Windsor Locks town
09|005|02760|Barkhamsted|Barkhamsted town
09|005|04930|Bethlehem|Bethlehem town
09|005|08210|Bridgewater|Bridgewater town
09|005|10940|Canaan|Canaan town
09|005|16050|Colebrook|Colebrook town
09|005|17240|Cornwall|Cornwall town
09|005|32290|Goshen|Goshen town
09|005|37280|Harwinton|Harwinton town
09|005|40290|Kent|Kent town
09|005|43370|Litchfield|Litchfield town
09|005|49460|Morris|Morris town
09|005|51350|New Hartford|New Hartford town
