STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
09|001|01-001|Bethel 001-00|Bethel 001-00
09|001|01-002|Bethel 002-00|Bethel 002-00
09|001|01-003|Bethel 003-00|Bethel 003-00
09|001|01-004|Bethel 004-00|Bethel 004-00
09|001|01-005|Bethel 005-00|Bethel 005-00
09|001|01-006|Bethel 005-00A|Bethel 005-00A
09|001|01-007|Bridgeport 124-01|Bridgeport 124-01
09|001|01-008|Bridgeport 124-02|Bridgeport 124-02
09|001|01-009|Bridgeport 124-03|Bridgeport 124-03
09|001|01-010|Bridgeport 124-04|Bridgeport 124-04
09|001|01-011|Bridgeport 126-01|Bridgeport 126-01
09|001|01-012|Bridgeport 126-02|Bridgeport 126-02
09|001|01-013|Bridgeport 126-03|Bridgeport 126-03
09|001|01-014|Bridgeport 126-04|Bridgeport 126-04
09|001|01-015|Bridgeport 126-05|Bridgeport 126-05
09|001|01-016|Bridgeport 126-06|Bridgeport 126-06
09|001|01-017|Bridgeport 127-01|Bridgeport 127-01
09|001|01-018|Bridgeport 127-02|Bridgeport 127-02
09|001|01-019|Bridgeport 127-03|Bridgeport 127-03
09|001|01-020|Bridgeport 128-01|Bridgeport 128-01
09|001|01-021|Bridgeport 128-02|Bridgeport 128-02
09|001|01-022|Bridgeport 129-01|Bridgeport 129-01
09|001|01-023|Bridgeport 129-02|Bridgeport 129-02
09|001|01-024|Bridgeport 129-02A|Bridgeport 129-02A
09|001|01-025|Bridgeport 129-03|Bridgeport 129-03
09|001|01-026|Bridgeport 129-04|Bridgeport 129-04
09|001|01-028|Bridgeport 130-01|Bridgeport 130-01
09|001|01-029|Bridgeport 130-02|Bridgeport 130-02
09|001|01-030|Bridgeport 130-02A|Bridgeport 130-02A
09|001|01-031|Bridgeport 130-03|Bridgeport 130-03
09|001|01-032|Bridgeport 130-04|Bridgeport 130-04
09|001|01-033|Bridgeport 130-05|Bridgeport 130-05
09|001|01-034|Brookfield 001-00|Brookfield 001-00
09|001|01-035|Brookfield 002-00|Brookfield 002-00
09|001|01-036|Danbury 001-09|Danbury 001-09
09|001|01-037|Danbury 001-10|Danbury 001-10
09|001|01-038|Danbury 001-38|Danbury 001-38
09|001|01-039|Danbury 002-08|Danbury 002-08
09|001|01-040|Danbury 002-09|Danbury 002-09
09|001|01-041|Danbury 002-38|Danbury 002-38
09|001|01-042|Danbury 003-07|Danbury 003-07
09|001|01-043|Danbury 003-09|Danbury 003-09
09|001|01-044|Danbury 004-09|Danbury 004-09
09|001|01-045|Danbury 004-10|Danbury 004-10
09|001|01-046|Danbury 005-02|Danbury 005-02
09|001|01-047|Danbury 005-09|Danbury 005-09
09|001|01-048|Danbury 005-10|Danbury 005-10
09|001|01-049|Danbury 006-02|Danbury 006-02
09|001|01-050|Danbury 006-10|Danbury 006-10
09|001|01-051|Danbury 006-38|Danbury 006-38
09|001|01-052|Danbury 007-02|Danbury 007-02
09|001|01-053|Danbury 007-10|Danbury 007-10
09|001|01-054|Danbury 007-38|Danbury 007-38
09|001|01-055|Darien 001-00|Darien 001-00
09|001|01-056|Darien 002-00|Darien 002-00
09|001|01-057|Darien 003-00|Darien 003-00
09|001|01-058|Darien 004-00|Darien 004-00
09|001|01-059|Darien 005-00|Darien 005-00
09|001|01-060|Darien 006-00|Darien 006-00
09|001|01-061|Easton 001-00|Easton 001-00
09|001|01-062|Fairfield 001-34|Fairfield 001-34
09|001|01-063|Fairfield 002-34|Fairfield 002-34
09|001|01-064|Fairfield 003-32|Fairfield 003-32
09|001|01-065|Fairfield 004-33|Fairfield 004-33
09|001|01-066|Fairfield 005-33|Fairfield 005-33
09|001|01-067|Fairfield 006-33|Fairfield 006-33
09|001|01-068|Fairfield 007-33|Fairfield 007-33
09|001|01-069|Fairfield 008-32|Fairfield 008-32
09|001|01-070|Fairfield 009-32|Fairfield 009-32
09|001|01-071|Fairfield 010-32|Fairfield 010-32
09|001|01-072|Greenwich 001-00|Greenwich 001-00
09|001|01-073|Greenwich 001-01|Greenwich 001-01
09|001|01-074|Greenwich 002-00|Greenwich 002-00
09|001|01-075|Greenwich 003-00|Greenwich 003-00
09|001|01-076|Greenwich 004-00|Greenwich 004-00
09|001|01-077|Greenwich 004-01|Greenwich 004-01
09|001|01-078|Greenwich 005-00|Greenwich 005-00
09|001|01-079|Greenwich 005-01|Greenwich 005-01
09|001|01-080|Greenwich 006-00|Greenwich 006-00
09|001|01-081|Greenwich 006-01|Greenwich 006-01
09|001|01-082|Greenwich 007-00|Greenwich 007-00
09|001|01-083|Greenwich 007-01|Greenwich 007-01
09|001|01-084|Greenwich 008-00|Greenwich 008-00
09|001|01-085|Greenwich 009-00|Greenwich 009-00
09|001|01-086|Greenwich 010-00|Greenwich 010-00
09|001|01-087|Greenwich 011-00|Greenwich 011-00
09|001|01-088|Greenwich 011-01|Greenwich 011-01
09|001|01-089|Greenwich 012-00|Greenwich 012-00
09|001|01-090|Monroe 001-00|Monroe 001-00
09|001|01-091|Monroe 002-00|Monroe 002-00
09|001|01-092|Monroe 003-00|Monroe 003-00
09|001|01-093|Monroe 004-00|Monroe 004-00
09|001|01-094|New Canaan 001-00|New Canaan 001-00
09|001|01-095|New Canaan 002-00|New Canaan 002-00
09|001|01-096|New Canaan 003-00|New Canaan 003-00
09|001|01-097|New Fairfield 001-00|New Fairfield 001-00
09|001|01-098|New Fairfield 002-00|New Fairfield 002-00
09|001|01-099|Newtown 001-00|Newtown 001-00
09|001|01-100|Newtown 001-05|Newtown 001-05
09|001|01-101|Newtown 002-00|Newtown 002-00
09|001|01-102|Newtown 003-01|Newtown 003-01
09|001|01-103|Newtown 003-02|Newtown 003-02
09|001|01-104|Newtown 003-05|Newtown 003-05
09|001|01-105|Norwalk 137-01|Norwalk 137-01
09|001|01-106|Norwalk 137-02|Norwalk 137-02
09|001|01-107|Norwalk 137-03|Norwalk 137-03
09|001|01-108|Norwalk 140-01|Norwalk 140-01
09|001|01-109|Norwalk 140-02|Norwalk 140-02
09|001|01-110|Norwalk 140-03|Norwalk 140-03
09|001|01-111|Norwalk 141-01|Norwalk 141-01
09|001|01-112|Norwalk 142-01|Norwalk 142-01
09|001|01-113|Norwalk 142-02|Norwalk 142-02
09|001|01-114|Norwalk 142-03|Norwalk 142-03
09|001|01-115|Norwalk 143-01|Norwalk 143-01
09|001|01-116|Norwalk 143-02|Norwalk 143-02
09|001|01-117|Redding 001-00|Redding 001-00
09|001|01-118|Redding 002-00|Redding 002-00
09|001|01-119|Ridgefield 001-00|Ridgefield 001-00
09|001|01-120|Ridgefield 002-00|Ridgefield 002-00
09|001|01-121|Ridgefield 003-00|Ridgefield 003-00
09|001|01-122|Ridgefield 004-00|Ridgefield 004-00
09|001|01-123|Shelton 001-00|Shelton 001-00
09|001|01-124|Shelton 002-00|Shelton 002-00
09|001|01-125|Shelton 002-01|Shelton 002-01
09|001|01-126|Shelton 003-00|Shelton 003-00
