STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
13|001|000002|2|2
13|001|00001B|1B|1B
13|001|00001C|1C|1C
13|001|00003C|3C|3C
13|001|00004B|4B|4B
13|001|00004D|4D|4D
13|001|00005A|5A|5A
13|001|00005B|5B|5B
13|001|0003A1|3A1|3A1
13|003|000001|PEARSON COUNTY|PEARSON COUNTY
13|003|000002|AXSON|AXSON
13|003|000003|WILLACOOCHEE|WILLACOOCHEE
13|003|000004|PEARSON CITY|PEARSON CITY
13|005|0DOUGL|DOUGLAS|DOUGLAS
13|007|00000A|ANNA|ANNA
13|007|00000E|ELMODEL|ELMODEL
13|007|00000H|HOGGARDS MILL|HOGGARDS MILL
13|007|00000M|MILFORD|MILFORD
13|007|00000N|NEWTON|NEWTON
13|009|000318|NORTH BALDWIN|NORTH BALDWIN
13|009|000319|WEST BALDWIN|WEST BALDWIN
13|009|000322|COOPERS|COOPERS
13|009|001714|SCOTTSBORO|SCOTTSBORO
13|009|00321E|EAST HARDWICK|EAST HARDWICK
13|009|00321W|WEST HARDWICK|WEST HARDWICK
13|009|00CTY1|SOUTH MILLEDGEVILLE|SOUTH MILLEDGEVILLE
13|009|00CTY2|CITY HALL ANNEX|CITY HALL ANNEX
13|009|00CTY3|BODDIE|BODDIE
13|009|00CTY4|COURTHOUSE|COURTHOUSE
13|009|00CTY5|FIRE DEPT|FIRE DEPT
13|009|00CTY6|NORTH MILLEDGEVILLE|NORTH MILLEDGEVILLE
13|009|00MERI|MERIWEATHER|MERIWEATHER
13|009|00MONT|EAST BALDWIN|EAST BALDWIN
13|011|000001|0110001 - ANDERSON|0110001 - ANDERSON Voting District
13|011|000002|0110002 - BALDWIN|0110002 - BALDWIN Voting District
13|011|000003|0110003 - BERLIN|0110003 - BERLIN Voting District
13|011|000004|0110004 - BUSHVILLE|0110004 - BUSHVILLE Voting District
13|011|000005|0110005 - COLUMBIA|0110005 - COLUMBIA Voting District
13|011|000006|0110006 - DAVIDS|0110006 - DAVIDS Voting District
13|011|000007|0110007 - GOLDEN HILL|0110007 - GOLDEN HILL Voting District
13|011|000008|0110008 - GROVE RIVER|0110008 - GROVE RIVER Voting District
13|011|000009|0110009 - HOLLINGSWORTH|0110009 - HOLLINGSWORTH Voting District
13|011|000010|0110010 - HOMER|0110010 - HOMER Voting District
13|011|000011|0110011 - POPLAR SPRINGS|0110011 - POPLAR SPRINGS Voting District
13|011|000012|0110012 - WASHINGTON|0110012 - WASHINGTON Voting District
13|011|000013|0110013 - WILMONTS|0110013 - WILMONTS Voting District
13|013|000001|01|01
13|013|000002|02|02
13|013|000003|03|03
13|013|000004|04|04
13|013|000005|05|05
13|013|000006|06|06
13|013|000007|07|07
13|013|000008|08|08
13|013|000009|09|09
13|013|000010|10|10
13|013|000011|11|11
13|013|000012|12|12
13|013|000013|13|13
13|013|000014|14|14
13|013|000015|15|15
13|013|000016|16|16
13|015|000001|ADAIRSVILLE|ADAIRSVILLE
13|015|000002|ALLATOONA|ALLATOONA
13|015|000003|CARTERSVILLE EAST|CARTERSVILLE EAST
13|015|000004|CARTERSVILLE WEST|CARTERSVILLE WEST
13|015|000005|CASSVILLE|CASSVILLE
13|015|000006|CENTER|CENTER
13|015|000007|EMERSON|EMERSON
13|015|000008|EUHARLEE|EUHARLEE
13|015|000009|FOLSOM|FOLSOM
13|015|000010|KINGSTON|KINGSTON
13|015|000011|MISSION ROAD|MISSION ROAD
13|015|000012|PINE LOG|PINE LOG
13|015|000014|TAYLORSVILLE|TAYLORSVILLE
13|015|000015|WHITE|WHITE
13|015|000016|ZENA DRIVE|ZENA DRIVE
13|015|000018|WOODLAND HIGH|WOODLAND HIGH
13|017|000001|EAST|EAST
13|017|000002|WEST|WEST
13|019|000518|019518 - ALAPAHA|019518 - ALAPAHA Voting District
