STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
16|001|011401|1401|1401
16|001|011402|1402|1402
16|001|011403|1403|1403
16|001|011404|1404|1404
16|001|011405|1405|1405
16|001|011406|1406|1406
16|001|011407|1407|1407
16|001|011408|1408|1408
16|001|011409|1409|1409
16|001|011410|1410|1410
16|001|011411|1411|1411
16|001|011412|1412|1412
16|001|011413|1413|1413
16|001|011414|1414|1414
16|001|011415|1415|1415
16|001|011416|1416|1416
16|001|011417|1417|1417
16|001|011418|1418|1418
16|001|011419|1419|1419
16|001|011501|1501|1501
16|001|011502|1502|1502
16|001|011503|1503|1503
16|001|011504|1504|1504
16|001|011505|1505|1505
16|001|011506|1506|1506
16|001|011507|1507|1507
16|001|011508|1508|1508
16|001|011509|1509|1509
16|001|011510|1510|1510
16|001|011511|1511|1511
16|001|011512|1512|1512
16|001|011513|1513|1513
16|001|011514|1514|1514
16|001|011515|1515|1515
16|001|011601|1601|1601
16|001|011602|1602|1602
16|001|011603|1603|1603
16|001|011604|1604|1604
16|001|011605|1605|1605
16|001|011606|1606|1606
16|001|011607|1607|1607
16|001|011608|1608|1608
16|001|011609|1609|1609
16|001|011610|1610|1610
16|001|011611|1611|1611
16|001|011612|1612|1612
16|001|011613|1613|1613
16|001|011614|1614|1614
16|001|011615|1615|1615
16|001|011701|1701|1701
16|001|011702|1702|1702
16|001|011703|1703|1703
16|001|011704|1704|1704
16|001|011705|1705|1705
16|001|011706|1706|1706
16|001|011707|1707|1707
16|001|011708|1708|1708
16|001|011709|1709|1709
16|001|011710|1710|1710
16|001|011711|1711|1711
16|001|011712|1712|1712
16|001|011713|1713|1713
16|001|011714|1714|1714
16|001|011715|1715|1715
16|001|011801|1801|1801
16|001|011802|1802|1802
16|001|011803|1803|1803
16|001|011804|1804|1804
16|001|011805|1805|1805
16|001|011806|1806|1806
16|001|011807|1807|1807
16|001|011808|1808|1808
16|001|011809|1809|1809
16|001|011810|1810|1810
16|001|011811|1811|1811
16|001|011812|1812|1812
16|001|011813|1813|1813
16|001|011814|1814|1814
16|001|011815|1815|1815
16|001|011816|1816|1816
16|001|011817|1817|1817
16|001|011818|1818|1818
16|001|011901|1901|1901
16|001|011902|1902|1902
16|001|011903|1903|1903
16|001|011904|1904|1904
16|001|011905|1905|1905
16|001|011906|1906|1906
16|001|011907|1907|1907
16|001|011908|1908|1908
16|001|011909|1909|1909
16|001|011910|1910|1910
16|001|011911|1911|1911
16|001|011912|1912|1912
16|001|011913|1913|1913
16|001|011914|1914|1914
16|001|011915|1915|1915
16|001|011916|1916|1916
16|001|011917|1917|1917
16|001|011918|1918|1918
16|001|011919|1919|1919
16|001|011920|1920|1920
16|001|012001|2001|2001
16|001|012002|2002|2002
16|001|012003|2003|2003
16|001|012004|2004|2004
16|001|012005|2005|2005
16|001|012006|2006|2006
16|001|012007|2007|2007
16|001|012008|2008|2008
16|001|012009|2009|2009
16|001|012010|2010|2010
16|001|012011|2011|2011
16|001|012012|2012|2012
16|001|012013|2013|2013
16|001|012101|2101|2101
16|001|012102|2102|2102
16|001|012103|2103|2103
16|001|012104|2104|2104
16|001|012105|2105|2105
16|001|012106|2106|2106
16|001|012107|2107|2107
16|001|012108|2108|2108
16|001|012109|2109|2109
16|001|012110|2110|2110
16|001|012111|2111|2111
16|001|012112|2112|2112
16|001|012113|2113|2113
16|001|012114|2114|2114
16|001|012115|2115|2115
16|001|012116|2116|2116
16|001|012201|2201|2201
16|001|012202|2202|2202
16|001|012203|2203|2203
16|001|012204|2204|2204
16|001|012205|2205|2205
16|001|012206|2206|2206
16|001|012207|2207|2207
16|001|012208|2208|2208
16|001|012209|2209|2209
16|001|012210|2210|2210
16|001|012211|2211|2211
16|001|012212|2212|2212
16|001|012213|2213|2213
16|001|012214|2214|2214
16|003|039001|003001|003001
16|003|039002|003002|003002
16|003|039003|003003|003003
16|003|039004|003004|003004
16|003|039005|003005|003005
16|003|039006|003006|003006
16|005|052834|POCATELLO|POCATELLO
16|005|052835|POCATELLO|POCATELLO
16|005|052836|POCATELLO|POCATELLO
16|005|052837|POCATELLO|POCATELLO
16|005|052838|POCATELLO|POCATELLO
16|005|052839|POCATELLO|POCATELLO
16|005|052840|POCATELLO|POCATELLO
16|005|052841|POCATELLO|POCATELLO
16|005|052842|POCATELLO|POCATELLO
16|005|052843|POCATELLO|POCATELLO
16|005|052850|CHUBBUCK|CHUBBUCK
16|005|052851|CHUBBUCK|CHUBBUCK
16|005|052852|CHUBBUCK|CHUBBUCK
16|005|052853|CHUBBUCK|CHUBBUCK
16|005|052854|CHUBBUCK|CHUBBUCK
16|005|052855|CHUBBUCK|CHUBBUCK
16|005|052856|CHUBBUCK|CHUBBUCK
16|005|052857|CHUBBUCK|CHUBBUCK
16|005|052858|CHUBBUCK|CHUBBUCK
16|005|052859|CHUBBUCK|CHUBBUCK
16|005|052860|CHUBBUCK|CHUBBUCK
16|005|052861|ARIMO|ARIMO
16|005|052862|DOWNEY|DOWNEY
16|005|052863|INKOM|INKOM
16|005|052864|LAVA HOT SPRINGS|LAVA HOT SPRINGS
16|005|052865|McCAMMON|McCAMMON
