STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
17|001|001001|CLAYTON|CLAYTON Voting District
17|001|002001|NORTHEAST|NORTHEAST Voting District
17|001|003001|CAMP POINT 1|CAMP POINT 1 Voting District
17|001|003002|CAMP POINT 2|CAMP POINT 2 Voting District
17|001|004001|HOUSTON|HOUSTON Voting District
17|001|005001|HONEY CREEK|HONEY CREEK Voting District
17|001|006001|KEENE|KEENE Voting District
17|001|007001|MENDON 1|MENDON 1 Voting District
17|001|007002|MENDON 2|MENDON 2 Voting District
17|001|008001|LIMA|LIMA Voting District
17|001|009001|URSA|URSA Voting District
17|001|010001|CONCORD|CONCORD Voting District
17|001|011001|MCKEE|MCKEE Voting District
17|001|012001|BEVERLY|BEVERLY Voting District
17|001|013001|COLUMBUS|COLUMBUS Voting District
17|001|014001|LIBERTY|LIBERTY Voting District
17|001|015001|RICHFIELD|RICHFIELD Voting District
17|001|016001|GILMER|GILMER Voting District
17|001|017001|BURTON|BURTON Voting District
17|001|018001|PAYSON 1|PAYSON 1 Voting District
17|001|018002|PAYSON 2|PAYSON 2 Voting District
17|001|019001|ELLINGTON 1|ELLINGTON 1 Voting District
17|001|019002|ELLINGTON 2|ELLINGTON 2 Voting District
17|001|019003|ELLINGTON 3|ELLINGTON 3 Voting District
17|001|020001|MELROSE 1|MELROSE 1 Voting District
17|001|020002|MELROSE 2|MELROSE 2 Voting District
17|001|020003|MELROSE 3|MELROSE 3 Voting District
17|001|020004|MELROSE 4|MELROSE 4 Voting District
17|001|020005|MELROSE 5|MELROSE 5 Voting District
17|001|020006|MELROSE 6|MELROSE 6 Voting District
17|001|021001|FALL CREEK|FALL CREEK Voting District
17|001|022001|RIVERSIDE 1|RIVERSIDE 1 Voting District
17|001|022002|RIVERSIDE 2|RIVERSIDE 2 Voting District
17|001|022003|RIVERSIDE 3|RIVERSIDE 3 Voting District
17|001|023001|QUINCY 1|QUINCY 1 Voting District
17|001|023002|QUINCY 2|QUINCY 2 Voting District
17|001|023003|QUINCY 3|QUINCY 3 Voting District
17|001|023004|QUINCY 4|QUINCY 4 Voting District
17|001|023005|QUINCY 5|QUINCY 5 Voting District
17|001|023006|QUINCY 6|QUINCY 6 Voting District
17|001|023007|QUINCY 7|QUINCY 7 Voting District
17|001|023008|QUINCY 8|QUINCY 8 Voting District
17|001|023009|QUINCY 9|QUINCY 9 Voting District
17|001|023010|QUINCY 10|QUINCY 10 Voting District
17|001|023011|QUINCY 11|QUINCY 11 Voting District
17|001|023012|QUINCY 12|QUINCY 12 Voting District
17|001|023013|QUINCY 13|QUINCY 13 Voting District
17|001|023014|QUINCY 14|QUINCY 14 Voting District
17|001|023015|QUINCY 15|QUINCY 15 Voting District
17|001|023016|QUINCY 16|QUINCY 16 Voting District
17|001|023017|QUINCY 17|QUINCY 17 Voting District
17|001|023018|QUINCY 18|QUINCY 18 Voting District
17|001|023019|QUINCY 19|QUINCY 19 Voting District
17|001|023020|QUINCY 20|QUINCY 20 Voting District
17|001|023021|QUINCY 21|QUINCY 21 Voting District
17|001|023022|QUINCY 22|QUINCY 22 Voting District
17|001|023023|QUINCY 23|QUINCY 23 Voting District
17|001|023024|QUINCY 24|QUINCY 24 Voting District
17|001|023025|QUINCY 25|QUINCY 25 Voting District
17|001|023026|QUINCY 26|QUINCY 26 Voting District
17|001|023027|QUINCY 27|QUINCY 27 Voting District
17|001|023028|QUINCY 28|QUINCY 28 Voting District
17|001|023029|QUINCY 29|QUINCY 29 Voting District
17|001|023030|QUINCY 30|QUINCY 30 Voting District
17|001|023031|QUINCY 31|QUINCY 31 Voting District
17|001|023032|QUINCY 32|QUINCY 32 Voting District
17|001|023033|QUINCY 33|QUINCY 33 Voting District
17|001|023034|QUINCY 34|QUINCY 34 Voting District
17|001|023035|QUINCY 35|QUINCY 35 Voting District
17|001|023036|QUINCY 36|QUINCY 36 Voting District
17|001|023037|QUINCY 37|QUINCY 37 Voting District
17|001|023038|QUINCY 38|QUINCY 38 Voting District
17|001|023039|QUINCY 39|QUINCY 39 Voting District
17|001|023040|QUINCY 40|QUINCY 40 Voting District
17|003|000101|CAIRO 1|CAIRO 1 Voting District
17|003|000102|CAIRO 2|CAIRO 2 Voting District
17|003|000103|CAIRO 3|CAIRO 3 Voting District
17|003|000104|CAIRO 4|CAIRO 4 Voting District
17|003|000105|CAIRO 5|CAIRO 5 Voting District
17|003|000201|CACHE|CACHE Voting District
17|003|000301|SANDUSKY|SANDUSKY Voting District
17|003|000401|TAMMS|TAMMS Voting District
17|003|000601|MCCLURE|MCCLURE Voting District
17|003|000801|THEBES|THEBES Voting District
17|003|000901|OLIVE BRANCH|OLIVE BRANCH Voting District
17|005|00BG01|BURGESS 1|BURGESS 1 Voting District
17|005|00BG02|BURGESS 2|BURGESS 2 Voting District
17|005|00BG03|BURGESS 3|BURGESS 3 Voting District
17|005|00CN01|CENTRAL 1|CENTRAL 1 Voting District
17|005|00CN02|CENTRAL 2|CENTRAL 2 Voting District
17|005|00CN03|CENTRAL 3|CENTRAL 3 Voting District
17|005|00CN04|CENTRAL 4|CENTRAL 4 Voting District
17|005|00CN05|CENTRAL 5|CENTRAL 5 Voting District
17|005|00CN06|CENTRAL 6|CENTRAL 6 Voting District
17|005|00CN07|CENTRAL 7|CENTRAL 7 Voting District
17|005|00CN1A|CENTRAL 1A|CENTRAL 1A Voting District
17|005|00LG01|LAGRANGE 1|LAGRANGE 1 Voting District
17|005|00LG02|LAGRANGE 2|LAGRANGE 2 Voting District
17|005|00MG01|MULBERRY GROVE 1|MULBERRY GROVE 1 Voting District
17|005|00MG02|MULBERRY GROVE 2|MULBERRY GROVE 2 Voting District
17|005|00ML00|MILLS|MILLS Voting District
17|005|00OR00|OLD RIPLEY|OLD RIPLEY Voting District
17|005|00PM01|PLEASANT MOUND 1|PLEASANT MOUND 1 Voting District
17|005|00PM02|PLEASANT MOUND 2|PLEASANT MOUND 2 Voting District
17|005|00SH01|SHOAL CREEK 1|SHOAL CREEK 1 Voting District
17|005|00SH02|SHOAL CREEK 2|SHOAL CREEK 2 Voting District
17|005|00SH03|SHOAL CREEK 3|SHOAL CREEK 3 Voting District
17|005|00SH04|SHOAL CREEK 4|SHOAL CREEK 4 Voting District
17|005|00TM01|TAMALCO 1|TAMALCO 1 Voting District
17|005|00TM02|TAMALCO 2|TAMALCO 2 Voting District
17|007|001001|BELVIDERE 1|BELVIDERE 1 Voting District
17|007|001002|BELVIDERE 2|BELVIDERE 2 Voting District
17|007|001003|BELVIDERE 3|BELVIDERE 3 Voting District
17|007|001004|BELVIDERE 4|BELVIDERE 4 Voting District
17|007|001005|BELVIDERE 5|BELVIDERE 5 Voting District
17|007|001006|BELVIDERE 6|BELVIDERE 6 Voting District
17|007|001007|BELVIDERE 7|BELVIDERE 7 Voting District
17|007|001008|BELVIDERE 8|BELVIDERE 8 Voting District
17|007|001009|BELVIDERE 9|BELVIDERE 9 Voting District
17|007|001010|BELVIDERE 10|BELVIDERE 10 Voting District
17|007|001011|BELVIDERE 11|BELVIDERE 11 Voting District
17|007|001012|BELVIDERE 12|BELVIDERE 12 Voting District
17|007|001013|BELVIDERE 13|BELVIDERE 13 Voting District
17|007|001014|BELVIDERE 14|BELVIDERE 14 Voting District
17|007|001015|BELVIDERE 15|BELVIDERE 15 Voting District
17|007|001016|BELVIDERE 16|BELVIDERE 16 Voting District
17|007|001017|BELVIDERE 17|BELVIDERE 17 Voting District
17|007|001018|BELVIDERE 18|BELVIDERE 18 Voting District
17|007|001019|BELVIDERE 19|BELVIDERE 19 Voting District
17|007|001020|BELVIDERE 20|BELVIDERE 20 Voting District
17|007|001021|BELVIDERE 21|BELVIDERE 21 Voting District
17|007|001022|BELVIDERE 22|BELVIDERE 22 Voting District
17|007|002001|FLORA 1|FLORA 1 Voting District
17|007|002002|FLORA 2|FLORA 2 Voting District
17|007|003001|CALEDONIA 1|CALEDONIA 1 Voting District
17|007|003002|CALEDONIA 2|CALEDONIA 2 Voting District
17|007|003003|CALEDONIA 3|CALEDONIA 3 Voting District
17|007|004001|MANCHESTER|MANCHESTER Voting District
17|007|005001|SPRING|SPRING Voting District
17|007|006001|BONUS 1|BONUS 1 Voting District
17|007|006002|BONUS 2|BONUS 2 Voting District
17|007|006003|BONUS 3|BONUS 3 Voting District
17|007|007001|BOONE 1|BOONE 1 Voting District
17|007|007002|BOONE 2|BOONE 2 Voting District
17|007|008001|LEROY|LEROY Voting District
17|007|009001|POPLAR GROVE 1|POPLAR GROVE 1 Voting District
17|007|009002|POPLAR GROVE 2|POPLAR GROVE 2 Voting District
17|007|009003|POPLAR GROVE 3|POPLAR GROVE 3 Voting District
17|009|000101|BUCKHORN|BUCKHORN Voting District
17|009|000201|COOPERSTOWN|COOPERSTOWN Voting District
17|009|000301|ELKHORN|ELKHORN Voting District
17|009|000401|LEE|LEE Voting District
17|009|000501|MISSOURI|MISSOURI Voting District
17|009|000601|MT STERLING 1|MT STERLING 1 Voting District
17|009|000602|MT STERLING 2|MT STERLING 2 Voting District
17|009|000603|MT STERLING 3|MT STERLING 3 Voting District
17|009|000604|MT STERLING 4|MT STERLING 4 Voting District
17|009|000605|MT STERLING 5|MT STERLING 5 Voting District
17|009|000701|PEA RIDGE|PEA RIDGE Voting District
17|009|000801|RIPLEY|RIPLEY Voting District
17|009|000901|VERSAILLES 1|VERSAILLES 1 Voting District
17|009|000902|VERSAILLES 2|VERSAILLES 2 Voting District
17|011|001001|CLARION|CLARION Voting District
17|011|002001|LA MOILLE 1|LA MOILLE 1 Voting District
17|011|002002|LA MOILLE 2|LA MOILLE 2 Voting District
17|011|003001|OHIO 1|OHIO 1 Voting District
17|011|003002|OHIO 2|OHIO 2 Voting District
17|011|004001|WALNUT 1|WALNUT 1 Voting District
17|011|004002|WALNUT 2|WALNUT 2 Voting District
17|011|005001|GREENVILLE|GREENVILLE Voting District
17|011|006001|FAIRFIELD|FAIRFIELD Voting District
17|011|007001|WESTFIELD 1|WESTFIELD 1 Voting District
17|011|007002|WESTFIELD 2|WESTFIELD 2 Voting District
17|011|008001|BERLIN|BERLIN Voting District
17|011|009001|DOVER|DOVER Voting District
17|011|010001|BUREAU|BUREAU Voting District
17|011|011001|MANLIUS|MANLIUS Voting District
17|011|012001|GOLD|GOLD Voting District
17|011|013001|HALL 1|HALL 1 Voting District
17|011|013002|HALL 2|HALL 2 Voting District
17|011|013003|HALL 3|HALL 3 Voting District
17|011|013004|HALL 4|HALL 4 Voting District
17|011|013005|HALL 5|HALL 5 Voting District
17|011|013006|HALL 6|HALL 6 Voting District
17|011|013007|HALL 7|HALL 7 Voting District
17|011|013008|HALL 8|HALL 8 Voting District
17|011|013009|HALL 9|HALL 9 Voting District
17|011|013010|HALL 10|HALL 10 Voting District
17|011|014001|SELBY 1|SELBY 1 Voting District
17|011|014002|SELBY 2|SELBY 2 Voting District
17|011|014003|SELBY 3|SELBY 3 Voting District
17|011|015001|PRINCETON 1|PRINCETON 1 Voting District
17|011|015002|PRINCETON 2|PRINCETON 2 Voting District
17|011|015003|PRINCETON 3|PRINCETON 3 Voting District
17|011|015004|PRINCETON 4|PRINCETON 4 Voting District
17|011|015005|PRINCETON 5|PRINCETON 5 Voting District
17|011|015006|PRINCETON 6|PRINCETON 6 Voting District
17|011|015007|PRINCETON 7|PRINCETON 7 Voting District
17|011|015008|PRINCETON 8|PRINCETON 8 Voting District
17|011|015009|PRINCETON 9|PRINCETON 9 Voting District
17|011|016001|WYANET 1|WYANET 1 Voting District
17|011|016002|WYANET 2|WYANET 2 Voting District
17|011|017001|CONCORD 1|CONCORD 1 Voting District
17|011|017002|CONCORD 2|CONCORD 2 Voting District
17|011|018001|MINERAL|MINERAL Voting District
17|011|019001|LEEPERTOWN|LEEPERTOWN Voting District
17|011|020001|ARISPIE|ARISPIE Voting District
17|011|021001|INDIANTOWN|INDIANTOWN Voting District
