STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
21|001|00A102|WHITE OAK|WHITE OAK
21|001|00A104|EUNICE PELLYTON|EUNICE PELLYTON
21|001|00A105|LITTLE CAKE|LITTLE CAKE
21|001|00B102|E. COLUMBIA|E. COLUMBIA
21|001|00B104|OZARK|OZARK
21|001|00C102|SOUTH COLUMBIA HARMONY|SOUTH COLUMBIA HARMONY
21|001|00C104|GLENSFORK MELSON RIDGE|GLENSFORK MELSON RIDGE
21|001|00D101|GRADYVILLE NELL|GRADYVILLE NELL
21|001|00D103|SPARKSVILLE BREEDING|SPARKSVILLE BREEDING
21|001|00D104|SOUTH COLUMBIA NO. 2|SOUTH COLUMBIA NO. 2
21|001|00E101|MILLTOWN|MILLTOWN
21|001|00E104|WEST COLUMBIA|WEST COLUMBIA
21|001|00F101|CANE VALLEY HOLMES|CANE VALLEY HOLMES
21|001|00F103|KNIFLEY ROLEY|KNIFLEY ROLEY
21|001|00G101|NORTH COLUMBIA|NORTH COLUMBIA
21|001|00G102|HURT|HURT
21|003|00A101|ONE|ONE
21|003|00A102|FOUR|FOUR
21|003|00B101|TWO|TWO
21|003|00B102|FIVE|FIVE
21|003|00B103|NINE|NINE
21|003|00C101|THREE|THREE
21|003|00C102|SIX|SIX
21|003|00D101|SEVEN|SEVEN
21|003|00D102|EIGHT|EIGHT
21|003|00D103|THIRTEEN|THIRTEEN
21|003|00E101|TEN|TEN
21|003|00E102|ELEVEN|ELEVEN
21|003|00E103|TWELVE|TWELVE
21|005|00A101|EAST LAWRENCEBURG|EAST LAWRENCEBURG
21|005|00A102|DUNCAN|DUNCAN
21|005|00B101|WEST LAWRENCEBURG|WEST LAWRENCEBURG
21|005|00B102|WEST DUNCAN|WEST DUNCAN
21|005|00C101|LILLARD|LILLARD
21|005|00C102|WITHERSPOON|WITHERSPOON
21|005|00D101|MCBRAYER|MCBRAYER
21|005|00D102|SOUTH LILLARD|SOUTH LILLARD
21|005|00E101|ALTON|ALTON
21|005|00E103|WEST ALTON|WEST ALTON
21|005|00F101|HICKORY GROVE|HICKORY GROVE
21|005|00F102|WESTERN|WESTERN
21|005|00F103|RUTHERFORD|RUTHERFORD
21|005|00F104|BIRDIE|BIRDIE
21|007|00A101|BANDANA|BANDANA
21|007|00A102|KEVIL|KEVIL
21|007|00A103|INGLESIDE|INGLESIDE
21|007|00B101|LA CENTER|LA CENTER
21|007|00B102|OSCAR|OSCAR
21|007|00C101|HINKLEVILLE|HINKLEVILLE
21|007|00C102|GAGE|GAGE
21|007|00C103|LOVELACEVILLE|LOVELACEVILLE
21|007|00C104|BLANDVILLE|BLANDVILLE
21|007|00D101|BARLOW|BARLOW
21|007|00D102|SLATER|SLATER
21|007|00E101|N. WICKLIFFE|N. WICKLIFFE
21|007|00E102|S. WICKLIFFE|S. WICKLIFFE
21|009|00A101|GLASGOW #1|GLASGOW #1
21|009|00A102|GLASGOW #2|GLASGOW #2
21|009|00A103|GLASGOW #3|GLASGOW #3
21|009|00A104|FOX HOLLOW|FOX HOLLOW
21|009|00B101|HAYWOOD WEST|HAYWOOD WEST
21|009|00B102|HAYWOOD EAST|HAYWOOD EAST
21|009|00B103|THOMERSON PARK|THOMERSON PARK
21|009|00B104|AUSTIN|AUSTIN
21|009|00C101|EASTERN|EASTERN
21|009|00C102|GREEN VALLEY|GREEN VALLEY
21|009|00C103|EIGHTY EIGHT|EIGHTY EIGHT
21|009|00C104|TEMPLE HILL|TEMPLE HILL
21|009|00D101|HISEVILLE-GOODNIGHT|HISEVILLE-GOODNIGHT
21|009|00D102|GLASGOW MIDDLE SCHOOL|GLASGOW MIDDLE SCHOOL
21|009|00D103|GLASGOW HIGH SCHOOL|GLASGOW HIGH SCHOOL
21|009|00E101|EXTENSION SERVICE EAST|EXTENSION SERVICE EAST
21|009|00E102|EXTENSION SERVICE WEST|EXTENSION SERVICE WEST
21|009|00E103|BECKTON|BECKTON
21|009|00E104|RED CROSS|RED CROSS
21|009|00F101|CAVE CITY NORTH|CAVE CITY NORTH
21|009|00F102|CAVE CITY SOUTH|CAVE CITY SOUTH
21|009|00F103|PARK CITY|PARK CITY
21|009|00G101|GLASGOW #4|GLASGOW #4
21|009|00G102|GLASGOW #5|GLASGOW #5
21|009|00G103|GLASGOW #6|GLASGOW #6
21|011|00A101|SHARPSBURG NO. 1|SHARPSBURG NO. 1
21|011|00A102|SHARPSBURG NO. 2|SHARPSBURG NO. 2
21|011|00A103|BETHEL|BETHEL
21|011|00A104|SOUTH SHERBURNE|SOUTH SHERBURNE
21|011|00A105|OWINGSVILLE NO. 1|OWINGSVILLE NO. 1
21|011|00B102|OWINGSVILLE NO. 2|OWINGSVILLE NO. 2
21|011|00B103|OWINGSVILLE NO. 3|OWINGSVILLE NO. 3
21|011|00B104|PRESTON|PRESTON
21|011|00C101|SALT LICK NO. 1|SALT LICK NO. 1
21|011|00C102|SALT LICK NO. 2|SALT LICK NO. 2
21|011|00C103|WHITE SULPHUR|WHITE SULPHUR
21|011|00C104|OLYMPIA|OLYMPIA
21|013|00A101|PAGE|PAGE
21|013|00A102|BLACKMONT|BLACKMONT
21|013|00A103|BROWNIES CREEK|BROWNIES CREEK
21|013|00A104|HUTCH|HUTCH
21|013|00A105|MELDRUM|MELDRUM
21|013|00B101|PINEVILLE EAST|PINEVILLE EAST
21|013|00B102|PINEVILLE CENTRAL|PINEVILLE CENTRAL
21|013|00B103|PINEVILLE WEST|PINEVILLE WEST
21|013|00B104|ARJAY|ARJAY
21|013|00B105|DORTON BRANCH|DORTON BRANCH
21|013|00B106|BEVERLY|BEVERLY
21|013|00B107|RIGHT FORK|RIGHT FORK
21|013|00B108|STRAIGHT CREEK|STRAIGHT CREEK
21|013|00C101|BINGHAMTOWN|BINGHAMTOWN
21|013|00C102|DORCHESTER|DORCHESTER
21|013|00C103|NOETOWN|NOETOWN
21|013|00C104|JUNCTION|JUNCTION
21|013|00C105|EDGEWOOD|EDGEWOOD
21|013|00D101|CITY HALL|CITY HALL
21|013|00D102|EAST END|EAST END
21|013|00D103|WINCHESTER|WINCHESTER
21|013|00D104|SOUTHSIDE|SOUTHSIDE
21|013|00D105|WEST CENTRAL|WEST CENTRAL
21|013|00D106|EXETER|EXETER
21|013|00E101|LAUREL A|LAUREL A
21|013|00E102|LAUREL B|LAUREL B
21|013|00E103|LONE JACK|LONE JACK
21|013|00E104|GREASY CREEK|GREASY CREEK
21|013|00E105|CLEAR CREEK|CLEAR CREEK
21|013|00E106|SUTTY|SUTTY
21|015|00A102|BELLEVIEW|BELLEVIEW
21|015|00A103|BULLITTSVILLE|BULLITTSVILLE
21|015|00A104|BURLINGTON #1|BURLINGTON #1
21|015|00A105|BURLINGTON #2|BURLINGTON #2
21|015|00A106|CARLTON|CARLTON
21|015|00A107|CONSTANCE|CONSTANCE
21|015|00A108|HEBRON #1|HEBRON #1
21|015|00A109|HEBRON #2|HEBRON #2
21|015|00A110|PETERSBURG|PETERSBURG
21|015|00A111|BURLINGTON #3|BURLINGTON #3
21|015|00A112|BURLINGTON #4|BURLINGTON #4
21|015|00A113|BURLINGTON #5|BURLINGTON #5
21|015|00A114|HEBRON #3|HEBRON #3
21|015|00A115|BURLINGTON #6|BURLINGTON #6
21|015|00A116|BURLINGTON #7|BURLINGTON #7
21|015|00A117|HEBRON #4|HEBRON #4
21|015|00A118|HAMILTON|HAMILTON
21|015|00A119|LIMABURG|LIMABURG
21|015|00A120|BURLINGTON #8|BURLINGTON #8
21|015|00A121|HEBRON #5|HEBRON #5
21|015|00A122|BURLINGTON #9|BURLINGTON #9
21|015|00A123|CAMP ERNST|CAMP ERNST
21|015|00B114|BEAVER|BEAVER
21|015|00B115|GLENVIEW|GLENVIEW
21|015|00B116|GREENVIEW|GREENVIEW
21|015|00B117|HOPEFUL|HOPEFUL
21|015|00B118|LINKVIEW|LINKVIEW
21|015|00B119|OAKBROOK|OAKBROOK
21|015|00B120|PLEASANT VALLEY|PLEASANT VALLEY
21|015|00B121|RICHWOOD|RICHWOOD
21|015|00B122|UNION #1|UNION #1
21|015|00B123|UNION #2|UNION #2
21|015|00B124|UNION #3|UNION #3
21|015|00B125|UNION #4|UNION #4
21|015|00B126|VERONA|VERONA
21|015|00B127|WALTON #1|WALTON #1
21|015|00B128|WALTON #2|WALTON #2
21|015|00B129|UNION #5|UNION #5
21|015|00B130|UNION #6|UNION #6
21|015|00B131|SUMMITVIEW|SUMMITVIEW
21|015|00B132|HEARTHSTONE|HEARTHSTONE
21|015|00B133|FLORENCE #15|FLORENCE #15
21|015|00B134|KENSINGTON|KENSINGTON
21|015|00B135|UNION #7|UNION #7
21|015|00C102|DEVON #1|DEVON #1
21|015|00C110|DEVON #2|DEVON #2
21|015|00C117|DEVON #3|DEVON #3
21|015|00C121|SHAMROCK|SHAMROCK
21|015|00C123|AIRPORT|AIRPORT
21|015|00C124|FLORENCE #1|FLORENCE #1
21|015|00C125|FLORENCE #2|FLORENCE #2
21|015|00C126|FLORENCE #3|FLORENCE #3
21|015|00C127|FLORENCE #4|FLORENCE #4
21|015|00C128|FLORENCE #5|FLORENCE #5
21|015|00C129|FLORENCE #6|FLORENCE #6
21|015|00C130|FLORENCE #7|FLORENCE #7
21|015|00C131|FLORENCE #8|FLORENCE #8
21|015|00C132|FLORENCE #9|FLORENCE #9
21|015|00C133|FLORENCE #10|FLORENCE #10
