STATEFP|AIANNHCE|NAME|NAMELSAD
22|0635|Chitimacha|Chitimacha Reservation
22|0795|Coushatta|Coushatta Reservation and Off-Reservation Trust Land
22|1690|Jena Band of Choctaw|Jena Band of Choctaw Reservation
22|4315|Tunica-Biloxi|Tunica-Biloxi Reservation and Off-Reservation Trust Land
22|9510|Adai Caddo|Adai Caddo SDTSA
22|9515|Apache Choctaw|Apache Choctaw SDTSA
22|9520|Bayou Lafourche|Bayou Lafourche SDTSA
22|9630|Clifton Choctaw|Clifton Choctaw SDTSA
22|9720|Four Winds Cherokee|Four Winds Cherokee SDTSA
22|9735|Grand Caillou/Dulac|Grand Caillou/Dulac SDTSA
22|9775|Isle de Jean Charles|Isle de Jean Charles SDTSA
22|9836|Natchitoches|Natchitoches SDTSA
22|9849|Pointe-au-Chien|Pointe-au-Chien SDTSA
22|9960|United Houma Nation|United Houma Nation SDTSA
