STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
22|001|0001-1|1-1|1-1
22|001|0001-2|1-2|1-2
22|001|0001-3|1-3|1-3
22|001|0001-4|1-4|1-4
22|001|0001-5|1-5|1-5
22|001|0001-6|1-6|1-6
22|001|0001-8|1-8|1-8
22|001|0001-9|1-9|1-9
22|001|0002-1|2-1|2-1
22|001|0002-2|2-2|2-2
22|001|0002-3|2-3|2-3
22|001|0002-5|2-5|2-5
22|001|0003-1|3-1|3-1
22|001|0003-2|3-2|3-2
22|001|0003-3|3-3|3-3
22|001|0003-4|3-4|3-4
22|001|0003-5|3-5|3-5
22|001|0003-7|3-7|3-7
22|001|0004-1|4-1|4-1
22|001|0004-2|4-2|4-2
22|001|0004-4|4-4|4-4
22|001|0004-5|4-5|4-5
22|001|0004-6|4-6|4-6
22|001|0005-1|5-1|5-1
22|001|0005-2|5-2|5-2
22|001|0005-3|5-3|5-3
22|001|0005-4|5-4|5-4
22|001|0005-5|5-5|5-5
22|001|0006-1|6-1|6-1
22|001|0006-2|6-2|6-2
22|001|0006-3|6-3|6-3
22|001|0006-4|6-4|6-4
22|001|0006-5|6-5|6-5
22|001|0006-6|6-6|6-6
22|001|0006-7|6-7|6-7
22|001|0006-8|6-8|6-8
22|001|0007-2|7-2|7-2
22|001|0007-3|7-3|7-3
22|001|0007-4|7-4|7-4
22|001|006-10|6-10|6-10
22|001|006-12|6-12|6-12
22|001|006-13|6-13|6-13
22|001|006-14|6-14|6-14
22|001|006-15|6-15|6-15
22|001|006-16|6-16|6-16
22|003|0001-1|1-1|1-1
22|003|0001-2|1-2|1-2
22|003|0001-3|1-3|1-3
22|003|0001-4|1-4|1-4
22|003|0001-5|1-5|1-5
22|003|0001-6|1-6|1-6
22|003|0002-1|2-1|2-1
22|003|0002-2|2-2|2-2
22|003|0002-3|2-3|2-3
22|003|0002-5|2-5|2-5
22|003|0002-6|2-6|2-6
22|003|0003-1|3-1|3-1
22|003|0003-2|3-2|3-2
22|003|0004-2|4-2|4-2
22|003|0004-3|4-3|4-3
22|003|0005-2|5-2|5-2
22|003|0005-3|5-3|5-3
22|003|0005-5|5-5|5-5
22|003|0005-7|5-7|5-7
22|003|0005-9|5-9|5-9
22|003|005-10|5-10|5-10
22|003|005-12|5-12|5-12
22|003|005-13|5-13|5-13
22|003|005-8A|5-8A|5-8A
22|003|02-2-A|2-2-A|2-2-A
22|003|02-4-C|2-4-C|2-4-C
22|003|02-4-O|2-4-O|2-4-O
22|003|05-4-C|5-4-C|5-4-C
22|003|05-4-O|5-4-O|5-4-O
22|005|000001|1|1
22|005|000002|2|2
22|005|000003|3|3
22|005|000004|4|4
22|005|000005|5|5
22|005|000006|6|6
22|005|000007|7|7
22|005|000008|8|8
22|005|000009|9|9
22|005|000010|10|10
22|005|000011|11|11
22|005|000012|12|12
22|005|000013|13|13
22|005|000014|14|14
22|005|000015|15|15
22|005|000016|16|16
22|005|000017|17|17
22|005|000018|18|18
22|005|000020|20|20
22|005|000021|21|21
22|005|000022|22|22
22|005|000023|23|23
22|005|000024|24|24
22|005|000025|25|25
22|005|000026|26|26
22|005|000027|27|27
22|005|000028|28|28
22|005|000030|30|30
22|005|000031|31|31
22|005|000032|32|32
22|005|000033|33|33
22|005|000034|34|34
22|005|000035|35|35
22|005|000036|36|36
22|005|000037|37|37
22|005|000039|39|39
22|005|000040|40|40
22|005|000041|41|41
22|005|000042|42|42
22|005|000043|43|43
22|005|000044|44|44
22|005|000045|45|45
22|005|000047|47|47
22|005|000048|48|48
22|005|000050|50|50
22|005|000051|51|51
22|005|000052|52|52
22|005|000053|53|53
22|005|000054|54|54
22|005|000055|55|55
22|005|000057|57|57
22|005|000058|58|58
22|005|000061|61|61
22|005|000062|62|62
22|005|000063|63|63
22|005|000064|64|64
22|005|000065|65|65
22|005|000066|66|66
22|005|000071|71|71
22|005|000072|72|72
22|005|000073|73|73
22|005|000076|76|76
22|005|000077|77|77
22|005|000078|78|78
22|007|0001-1|1-1|1-1
22|007|0001-2|1-2|1-2
22|007|0002-1|2-1|2-1
22|007|0002-2|2-2|2-2
22|007|0002-3|2-3|2-3
22|007|0002-4|2-4|2-4
22|007|0002-5|2-5|2-5
22|007|0003-1|3-1|3-1
22|007|0003-2|3-2|3-2
22|007|0004-1|4-1|4-1
22|007|0004-2|4-2|4-2
22|007|0004-3|4-3|4-3
22|007|0005-1|5-1|5-1
22|007|0005-2|5-2|5-2
22|007|0005-3|5-3|5-3
22|007|0005-5|5-5|5-5
22|007|0006-1|6-1|6-1
22|007|0006-2|6-2|6-2
22|007|0006-3|6-3|6-3
22|007|0007-1|7-1|7-1
22|007|0007-2|7-2|7-2
22|007|0007-3|7-3|7-3
22|007|0008-1|8-1|8-1
22|007|0009-1|9-1|9-1
22|009|0001-1|1-1|1-1
22|009|0001-2|1-2|1-2
22|009|0001-3|1-3|1-3
22|009|0002-1|2-1|2-1
22|009|0002-2|2-2|2-2
22|009|0002-4|2-4|2-4
22|009|0002-5|2-5|2-5
22|009|0002-7|2-7|2-7
22|009|0002-8|2-8|2-8
22|009|0003-1|3-1|3-1
22|009|0003-3|3-3|3-3
22|009|0004-1|4-1|4-1
22|009|0004-2|4-2|4-2
22|009|0005-1|5-1|5-1
22|009|0006-2|6-2|6-2
22|009|0007-1|7-1|7-1
22|009|0007-3|7-3|7-3
22|009|0008-1|8-1|8-1
22|009|0008-3|8-3|8-3
22|009|0009-2|9-2|9-2
22|009|0009-3|9-3|9-3
22|009|0009-4|9-4|9-4
22|009|0010-2|10-2|10-2
22|009|0010-4|10-4|10-4
22|009|0011-1|11-1|11-1
22|009|002-2A|2-2A|2-2A
22|009|002-2B|2-2B|2-2B
22|009|002-2C|2-2C|2-2C
22|009|002-2D|2-2D|2-2D
22|009|002-2F|2-2F|2-2F
22|009|002-3A|2-3A|2-3A
22|009|002-4A|2-4A|2-4A
22|009|002-5B|2-5B|2-5B
22|009|002-5E|2-5E|2-5E
22|009|003-1B|3-1B|3-1B
22|009|004-2A|4-2A|4-2A
22|009|005-1A|5-1A|5-1A
22|009|006-1A|6-1A|6-1A
22|009|006-2A|6-2A|6-2A
22|009|007-3B|7-3B|7-3B
22|009|008-2A|8-2A|8-2A
22|009|008-2B|8-2B|8-2B
22|009|008-3A|8-3A|8-3A
22|009|009-1A|9-1A|9-1A
22|009|009-2A|9-2A|9-2A
22|009|009-4B|9-4B|9-4B
22|009|009-5B|9-5B|9-5B
22|009|010-2A|10-2A|10-2A
22|009|010-3A|10-3A|10-3A
22|009|011-2A|11-2A|11-2A
22|011|000001|1|1
22|011|000002|2|2
22|011|000003|3|3
22|011|000004|4|4
22|011|000005|5|5
22|011|000006|6|6
22|011|000007|7|7
22|011|000009|9|9
22|011|000010|10|10
22|011|000011|11|11
22|011|000012|12|12
22|011|000013|13|13
22|011|000014|14|14
22|011|000015|15|15
22|011|000016|16|16
22|011|000017|17|17
22|011|000018|18|18
22|011|000019|19|19
22|011|000020|20|20
22|011|000021|21|21
22|011|000022|22|22
22|011|000025|25|25
22|011|000026|26|26
22|011|000027|27|27
22|011|000028|28|28
22|011|000030|30|30
22|011|00012A|12A|12A
22|011|00012B|12B|12B
22|011|00013A|13A|13A
22|011|00014A|14A|14A
22|011|00016A|16A|16A
22|011|00016B|16B|16B
22|011|00017A|17A|17A
22|011|00018A|18A|18A
22|011|00019C|19C|19C
22|011|00025A|25A|25A
22|011|00025B|25B|25B
22|011|00027A|27A|27A
22|011|00027B|27B|27B
22|011|00027D|27D|27D
22|013|0001-1|1-1|1-1
22|013|0001-2|1-2|1-2
22|013|0001-3|1-3|1-3
22|013|0001-4|1-4|1-4
22|013|0002-1|2-1|2-1
22|013|0002-2|2-2|2-2
22|013|0002-3|2-3|2-3
22|013|0002-4|2-4|2-4
22|013|0002-5|2-5|2-5
22|013|0002-6|2-6|2-6
22|013|0003-1|3-1|3-1
22|013|0003-2|3-2|3-2
22|013|0003-3|3-3|3-3
22|013|0003-4|3-4|3-4
22|013|0003-5|3-5|3-5
22|013|0003-6|3-6|3-6
22|013|0003-7|3-7|3-7
22|013|0004-1|4-1|4-1
22|013|0004-2|4-2|4-2
22|013|0004-4|4-4|4-4
22|013|0005-1|5-1|5-1
22|013|0005-2|5-2|5-2
22|013|0005-3|5-3|5-3
22|013|0005-4|5-4|5-4
22|013|0006-1|6-1|6-1
22|013|0006-2|6-2|6-2
22|013|0006-3|6-3|6-3
22|013|0006-4|6-4|6-4
22|013|0007-1|7-1|7-1
22|013|0007-2|7-2|7-2
22|013|0007-3|7-3|7-3
22|013|0007-4|7-4|7-4
22|013|0007-5|7-5|7-5
22|015|0001-1|1-1|1-1
22|015|0001-2|1-2|1-2
22|015|0001-3|1-3|1-3
22|015|0001-4|1-4|1-4
22|015|0001-5|1-5|1-5
22|015|0002-1|2-1|2-1
22|015|0002-2|2-2|2-2
22|015|0002-3|2-3|2-3
22|015|0002-4|2-4|2-4
22|015|0002-6|2-6|2-6
22|015|0002-7|2-7|2-7
22|015|0002-8|2-8|2-8
22|015|0002-9|2-9|2-9
22|015|0003-1|3-1|3-1
22|015|0003-2|3-2|3-2
22|015|0003-3|3-3|3-3
22|015|0003-4|3-4|3-4
22|015|0004-2|4-2|4-2
22|015|0004-9|4-9|4-9
22|015|001-3A|1-3A|1-3A
22|015|001-3B|1-3B|1-3B
22|015|002-10|2-10|2-10
22|015|002-11|2-11|2-11
22|015|002-13|2-13|2-13
22|015|002-14|2-14|2-14
22|015|002-15|2-15|2-15
22|015|002-16|2-16|2-16
22|015|002-19|2-19|2-19
22|015|002-20|2-20|2-20
22|015|002-23|2-23|2-23
22|015|002-3A|2-3A|2-3A
22|015|002-5A|2-5A|2-5A
22|015|004-10|4-10|4-10
22|015|004-1A|4-1A|4-1A
22|015|004-3A|4-3A|4-3A
22|015|004-3B|4-3B|4-3B
22|015|004-3C|4-3C|4-3C
22|015|004-3D|4-3D|4-3D
22|015|004-4A|4-4A|4-4A
22|015|004-4B|4-4B|4-4B
22|015|004-5A|4-5A|4-5A
22|015|004-6A|4-6A|4-6A
22|015|004-6B|4-6B|4-6B
22|015|004-7A|4-7A|4-7A
22|015|004-7B|4-7B|4-7B
22|015|004-8A|4-8A|4-8A
22|015|004-8B|4-8B|4-8B
22|015|004-8C|4-8C|4-8C
22|015|004-8D|4-8D|4-8D
22|015|004-8E|4-8E|4-8E
22|015|004-8G|4-8G|4-8G
22|015|02-11A|2-11A|2-11A
22|015|02-12A|2-12A|2-12A
22|015|02-12B|2-12B|2-12B
22|015|02-12C|2-12C|2-12C
22|015|02-17A|2-17A|2-17A
22|015|02-17B|2-17B|2-17B
22|015|02-18B|2-18B|2-18B
22|015|02-18C|2-18C|2-18C
22|015|02-18D|2-18D|2-18D
22|015|02-18E|2-18E|2-18E
22|015|02-18F|2-18F|2-18F
22|015|02-18G|2-18G|2-18G
