STATEFP|DISTRICT|NAME|NAMELSAD
24|004|4|State Legislative District 4
24|005|5|State Legislative District 5
24|006|6|State Legislative District 6
24|007|7|State Legislative District 7
24|008|8|State Legislative District 8
24|010|10|State Legislative District 10
24|011|11|State Legislative District 11
24|012|12|State Legislative District 12
24|013|13|State Legislative District 13
24|014|14|State Legislative District 14
24|015|15|State Legislative District 15
24|016|16|State Legislative District 16
24|017|17|State Legislative District 17
24|018|18|State Legislative District 18
24|019|19|State Legislative District 19
24|01A|1A|State Legislative Subdistrict 1A
24|01B|1B|State Legislative Subdistrict 1B
24|01C|1C|State Legislative Subdistrict 1C
24|020|20|State Legislative District 20
24|021|21|State Legislative District 21
24|022|22|State Legislative District 22
24|024|24|State Legislative District 24
24|025|25|State Legislative District 25
24|026|26|State Legislative District 26
24|028|28|State Legislative District 28
24|02A|2A|State Legislative Subdistrict 2A
24|02B|2B|State Legislative Subdistrict 2B
24|032|32|State Legislative District 32
24|033|33|State Legislative District 33
24|036|36|State Legislative District 36
24|039|39|State Legislative District 39
24|03A|3A|State Legislative Subdistrict 3A
24|03B|3B|State Legislative Subdistrict 3B
24|040|40|State Legislative District 40
24|041|41|State Legislative District 41
24|043|43|State Legislative District 43
24|045|45|State Legislative District 45
24|046|46|State Legislative District 46
24|09A|9A|State Legislative Subdistrict 9A
24|09B|9B|State Legislative Subdistrict 9B
24|23A|23A|State Legislative Subdistrict 23A
24|23B|23B|State Legislative Subdistrict 23B
24|27A|27A|State Legislative Subdistrict 27A
24|27B|27B|State Legislative Subdistrict 27B
24|27C|27C|State Legislative Subdistrict 27C
24|29A|29A|State Legislative Subdistrict 29A
24|29B|29B|State Legislative Subdistrict 29B
24|29C|29C|State Legislative Subdistrict 29C
24|30A|30A|State Legislative Subdistrict 30A
24|30B|30B|State Legislative Subdistrict 30B
24|31A|31A|State Legislative Subdistrict 31A
24|31B|31B|State Legislative Subdistrict 31B
24|34A|34A|State Legislative Subdistrict 34A
24|34B|34B|State Legislative Subdistrict 34B
24|35A|35A|State Legislative Subdistrict 35A
24|35B|35B|State Legislative Subdistrict 35B
24|37A|37A|State Legislative Subdistrict 37A
24|37B|37B|State Legislative Subdistrict 37B
24|38A|38A|State Legislative Subdistrict 38A
24|38B|38B|State Legislative Subdistrict 38B
24|38C|38C|State Legislative Subdistrict 38C
24|42A|42A|State Legislative Subdistrict 42A
24|42B|42B|State Legislative Subdistrict 42B
24|44A|44A|State Legislative Subdistrict 44A
24|44B|44B|State Legislative Subdistrict 44B
24|47A|47A|State Legislative Subdistrict 47A
24|47B|47B|State Legislative Subdistrict 47B
24|ZZZ|State House Districts not defined|State House Districts not defined
