STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
24|001|01-000|Allegany Precinct 01-000|Allegany Precinct 01-000
24|001|02-000|Allegany Precinct 02-000|Allegany Precinct 02-000
24|001|03-000|Allegany Precinct 03-000|Allegany Precinct 03-000
24|001|04-002|Allegany Precinct 04-002|Allegany Precinct 04-002
24|001|04-003|Allegany Precinct 04-003|Allegany Precinct 04-003
24|001|04-004|Allegany Precinct 04-004|Allegany Precinct 04-004
24|001|04-005|Allegany Precinct 04-005|Allegany Precinct 04-005
24|001|04-008|Allegany Precinct 04-008|Allegany Precinct 04-008
24|001|05-004|Allegany Precinct 05-004|Allegany Precinct 05-004
24|001|05-006|Allegany Precinct 05-006|Allegany Precinct 05-006
24|001|06-001|Allegany Precinct 06-001|Allegany Precinct 06-001
24|001|06-003|Allegany Precinct 06-003|Allegany Precinct 06-003
24|001|06-005|Allegany Precinct 06-005|Allegany Precinct 06-005
24|001|06-006|Allegany Precinct 06-006|Allegany Precinct 06-006
24|001|06-099|Allegany Precinct 06-099|Allegany Precinct 06-099
24|001|07-001|Allegany Precinct 07-001|Allegany Precinct 07-001
24|001|07-002|Allegany Precinct 07-002|Allegany Precinct 07-002
24|001|08-000|Allegany Precinct 08-000|Allegany Precinct 08-000
24|001|09-000|Allegany Precinct 09-000|Allegany Precinct 09-000
24|001|10-000|Allegany Precinct 10-000|Allegany Precinct 10-000
24|001|11-000|Allegany Precinct 11-000|Allegany Precinct 11-000
24|001|12-000|Allegany Precinct 12-000|Allegany Precinct 12-000
24|001|13-000|Allegany Precinct 13-000|Allegany Precinct 13-000
24|001|14-000|Allegany Precinct 14-000|Allegany Precinct 14-000
24|001|16-000|Allegany Precinct 16-000|Allegany Precinct 16-000
24|001|18-000|Allegany Precinct 18-000|Allegany Precinct 18-000
24|001|20-000|Allegany Precinct 20-000|Allegany Precinct 20-000
24|001|21-000|Allegany Precinct 21-000|Allegany Precinct 21-000
24|001|22-001|Allegany Precinct 22-001|Allegany Precinct 22-001
24|001|22-002|Allegany Precinct 22-002|Allegany Precinct 22-002
24|001|23-000|Allegany Precinct 23-000|Allegany Precinct 23-000
24|001|24-000|Allegany Precinct 24-000|Allegany Precinct 24-000
24|001|26-000|Allegany Precinct 26-000|Allegany Precinct 26-000
24|001|29-001|Allegany Precinct 29-001|Allegany Precinct 29-001
24|001|29-002|Allegany Precinct 29-002|Allegany Precinct 29-002
24|001|29-003|Allegany Precinct 29-003|Allegany Precinct 29-003
24|001|31-000|Allegany Precinct 31-000|Allegany Precinct 31-000
24|001|34-000|Allegany Precinct 34-000|Allegany Precinct 34-000
24|003|01-001|ANNE ARUNDEL PRECINCT 01-001|ANNE ARUNDEL PRECINCT 01-001
24|003|01-002|ANNE ARUNDEL PRECINCT 01-002|ANNE ARUNDEL PRECINCT 01-002
24|003|01-003|ANNE ARUNDEL PRECINCT 01-003|ANNE ARUNDEL PRECINCT 01-003
24|003|01-004|ANNE ARUNDEL PRECINCT 01-004|ANNE ARUNDEL PRECINCT 01-004
24|003|01-005|ANNE ARUNDEL PRECINCT 01-005|ANNE ARUNDEL PRECINCT 01-005
24|003|01-006|ANNE ARUNDEL PRECINCT 01-006|ANNE ARUNDEL PRECINCT 01-006
24|003|01-007|ANNE ARUNDEL PRECINCT 01-007|ANNE ARUNDEL PRECINCT 01-007
24|003|01-008|ANNE ARUNDEL PRECINCT 01-008|ANNE ARUNDEL PRECINCT 01-008
24|003|01-009|ANNE ARUNDEL PRECINCT 01-009|ANNE ARUNDEL PRECINCT 01-009
24|003|01-010|ANNE ARUNDEL PRECINCT 01-010|ANNE ARUNDEL PRECINCT 01-010
24|003|01-011|ANNE ARUNDEL PRECINCT 01-011|ANNE ARUNDEL PRECINCT 01-011
24|003|01-012|ANNE ARUNDEL PRECINCT 01-012|ANNE ARUNDEL PRECINCT 01-012
24|003|01-013|ANNE ARUNDEL PRECINCT 01-013|ANNE ARUNDEL PRECINCT 01-013
24|003|01-014|ANNE ARUNDEL PRECINCT 01-014|ANNE ARUNDEL PRECINCT 01-014
24|003|01-015|ANNE ARUNDEL PRECINCT 01-015|ANNE ARUNDEL PRECINCT 01-015
24|003|01-016|ANNE ARUNDEL PRECINCT 01-016|ANNE ARUNDEL PRECINCT 01-016
24|003|01-017|ANNE ARUNDEL PRECINCT 01-017|ANNE ARUNDEL PRECINCT 01-017
24|003|01-018|ANNE ARUNDEL PRECINCT 01-018|ANNE ARUNDEL PRECINCT 01-018
24|003|01-019|ANNE ARUNDEL PRECINCT 01-019|ANNE ARUNDEL PRECINCT 01-019
24|003|01-020|ANNE ARUNDEL PRECINCT 01-020|ANNE ARUNDEL PRECINCT 01-020
24|003|01-021|ANNE ARUNDEL PRECINCT 01-021|ANNE ARUNDEL PRECINCT 01-021
24|003|01-022|ANNE ARUNDEL PRECINCT 01-022|ANNE ARUNDEL PRECINCT 01-022
24|003|01-023|ANNE ARUNDEL PRECINCT 01-023|ANNE ARUNDEL PRECINCT 01-023
24|003|01-024|ANNE ARUNDEL PRECINCT 01-024|ANNE ARUNDEL PRECINCT 01-024
24|003|01-025|ANNE ARUNDEL PRECINCT 01-025|ANNE ARUNDEL PRECINCT 01-025
24|003|01-026|ANNE ARUNDEL PRECINCT 01-026|ANNE ARUNDEL PRECINCT 01-026
24|003|01-099|ANNE ARUNDEL PRECINCT 01-099|ANNE ARUNDEL PRECINCT 01-099
24|003|02-001|ANNE ARUNDEL PRECINCT 02-001|ANNE ARUNDEL PRECINCT 02-001
24|003|02-002|ANNE ARUNDEL PRECINCT 02-002|ANNE ARUNDEL PRECINCT 02-002
24|003|02-003|ANNE ARUNDEL PRECINCT 02-003|ANNE ARUNDEL PRECINCT 02-003
24|003|02-004|ANNE ARUNDEL PRECINCT 02-004|ANNE ARUNDEL PRECINCT 02-004
24|003|02-005|ANNE ARUNDEL PRECINCT 02-005|ANNE ARUNDEL PRECINCT 02-005
24|003|02-006|ANNE ARUNDEL PRECINCT 02-006|ANNE ARUNDEL PRECINCT 02-006
24|003|02-007|ANNE ARUNDEL PRECINCT 02-007|ANNE ARUNDEL PRECINCT 02-007
24|003|02-008|ANNE ARUNDEL PRECINCT 02-008|ANNE ARUNDEL PRECINCT 02-008
24|003|02-009|ANNE ARUNDEL PRECINCT 02-009|ANNE ARUNDEL PRECINCT 02-009
24|003|02-010|ANNE ARUNDEL PRECINCT 02-010|ANNE ARUNDEL PRECINCT 02-010
24|003|02-011|ANNE ARUNDEL PRECINCT 02-011|ANNE ARUNDEL PRECINCT 02-011
24|003|02-012|ANNE ARUNDEL PRECINCT 02-012|ANNE ARUNDEL PRECINCT 02-012
24|003|02-013|ANNE ARUNDEL PRECINCT 02-013|ANNE ARUNDEL PRECINCT 02-013
24|003|02-014|ANNE ARUNDEL PRECINCT 02-014|ANNE ARUNDEL PRECINCT 02-014
24|003|02-015|ANNE ARUNDEL PRECINCT 02-015|ANNE ARUNDEL PRECINCT 02-015
24|003|02-016|ANNE ARUNDEL PRECINCT 02-016|ANNE ARUNDEL PRECINCT 02-016
24|003|02-017|ANNE ARUNDEL PRECINCT 02-017|ANNE ARUNDEL PRECINCT 02-017
24|003|02-018|ANNE ARUNDEL PRECINCT 02-018|ANNE ARUNDEL PRECINCT 02-018
24|003|02-019|ANNE ARUNDEL PRECINCT 02-019|ANNE ARUNDEL PRECINCT 02-019
24|003|02-020|ANNE ARUNDEL PRECINCT 02-020|ANNE ARUNDEL PRECINCT 02-020
24|003|02-021|ANNE ARUNDEL PRECINCT 02-021|ANNE ARUNDEL PRECINCT 02-021
24|003|02-022|ANNE ARUNDEL PRECINCT 02-022|ANNE ARUNDEL PRECINCT 02-022
