STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
25|001|000107|Barnstable Town Precinct 1|Barnstable Town Precinct 1
25|001|000108|Barnstable Town Precinct 10|Barnstable Town Precinct 10
25|001|000109|Barnstable Town Precinct 11|Barnstable Town Precinct 11
25|001|000110|Barnstable Town Precinct 12|Barnstable Town Precinct 12
25|001|000111|Barnstable Town Precinct 13|Barnstable Town Precinct 13
25|001|000112|Barnstable Town Precinct 2|Barnstable Town Precinct 2
25|001|000113|Barnstable Town Precinct 3|Barnstable Town Precinct 3
25|001|000114|Barnstable Town Precinct 4|Barnstable Town Precinct 4
25|001|000115|Barnstable Town Precinct 5|Barnstable Town Precinct 5
25|001|000116|Barnstable Town Precinct 6|Barnstable Town Precinct 6
25|001|000117|Barnstable Town Precinct 7|Barnstable Town Precinct 7
25|001|000118|Barnstable Town Precinct 8|Barnstable Town Precinct 8
25|001|000119|Barnstable Town Precinct 9|Barnstable Town Precinct 9
25|001|000430|Bourne Town Precinct 1|Bourne Town Precinct 1
25|001|000431|Bourne Town Precinct 2|Bourne Town Precinct 2
25|001|000432|Bourne Town Precinct 3|Bourne Town Precinct 3
25|001|000433|Bourne Town Precinct 4|Bourne Town Precinct 4
25|001|000434|Bourne Town Precinct 5|Bourne Town Precinct 5
25|001|000435|Bourne Town Precinct 6|Bourne Town Precinct 6
25|001|000436|Bourne Town Precinct 7|Bourne Town Precinct 7
25|001|000454|Brewster Town Precinct 1|Brewster Town Precinct 1
25|001|000455|Brewster Town Precinct 2|Brewster Town Precinct 2
25|001|000456|Brewster Town Precinct 3|Brewster Town Precinct 3
25|001|000566|Chatham Town Precinct 1|Chatham Town Precinct 1
25|001|000656|Dennis Town Precinct 1|Dennis Town Precinct 1
25|001|000657|Dennis Town Precinct 2|Dennis Town Precinct 2
25|001|000658|Dennis Town Precinct 3|Dennis Town Precinct 3
25|001|000659|Dennis Town Precinct 4|Dennis Town Precinct 4
25|001|000660|Dennis Town Precinct 5|Dennis Town Precinct 5
25|001|000695|Eastham Town Precinct 1|Eastham Town Precinct 1
25|001|000756|Falmouth Town Precinct 1|Falmouth Town Precinct 1
25|001|000757|Falmouth Town Precinct 2|Falmouth Town Precinct 2
25|001|000758|Falmouth Town Precinct 3|Falmouth Town Precinct 3
25|001|000759|Falmouth Town Precinct 4|Falmouth Town Precinct 4
25|001|000760|Falmouth Town Precinct 5|Falmouth Town Precinct 5
25|001|000761|Falmouth Town Precinct 6|Falmouth Town Precinct 6
25|001|000762|Falmouth Town Precinct 7|Falmouth Town Precinct 7
25|001|000763|Falmouth Town Precinct 8|Falmouth Town Precinct 8
25|001|000764|Falmouth Town Precinct 9|Falmouth Town Precinct 9
25|001|000881|Harwich Town Precinct 1|Harwich Town Precinct 1
25|001|000882|Harwich Town Precinct 2|Harwich Town Precinct 2
25|001|000883|Harwich Town Precinct 3|Harwich Town Precinct 3
25|001|000884|Harwich Town Precinct 4|Harwich Town Precinct 4
25|001|001167|Mashpee Town Precinct 1|Mashpee Town Precinct 1
25|001|001168|Mashpee Town Precinct 2|Mashpee Town Precinct 2
25|001|001169|Mashpee Town Precinct 3|Mashpee Town Precinct 3
25|001|001170|Mashpee Town Precinct 4|Mashpee Town Precinct 4
25|001|001171|Mashpee Town Precinct 5|Mashpee Town Precinct 5
25|001|001454|Orleans Town Precinct 1|Orleans Town Precinct 1
25|001|001530|Provincetown Town Precinct 1|Provincetown Town Precinct 1
25|001|001643|Sandwich Town Precinct 1|Sandwich Town Precinct 1
25|001|001644|Sandwich Town Precinct 2|Sandwich Town Precinct 2
25|001|001645|Sandwich Town Precinct 3|Sandwich Town Precinct 3
25|001|001646|Sandwich Town Precinct 4|Sandwich Town Precinct 4
25|001|001647|Sandwich Town Precinct 5|Sandwich Town Precinct 5
25|001|001648|Sandwich Town Precinct 6|Sandwich Town Precinct 6
25|001|001877|Truro Town Precinct 1|Truro Town Precinct 1
25|001|001964|Wellfleet Town Precinct 1|Wellfleet Town Precinct 1
25|001|002145|Yarmouth Town Precinct 1|Yarmouth Town Precinct 1
25|001|002146|Yarmouth Town Precinct 2|Yarmouth Town Precinct 2
25|001|002147|Yarmouth Town Precinct 3|Yarmouth Town Precinct 3
25|001|002148|Yarmouth Town Precinct 4|Yarmouth Town Precinct 4
25|001|002149|Yarmouth Town Precinct 5|Yarmouth Town Precinct 5
25|001|002150|Yarmouth Town Precinct 6|Yarmouth Town Precinct 6
25|001|002151|Yarmouth Town Precinct 7|Yarmouth Town Precinct 7
25|001|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
25|003|000015|Adams Town Precinct 1|Adams Town Precinct 1
25|003|000016|Adams Town Precinct 2|Adams Town Precinct 2
25|003|000017|Adams Town Precinct 3|Adams Town Precinct 3
25|003|000018|Adams Town Precinct 4|Adams Town Precinct 4
25|003|000019|Adams Town Precinct 5|Adams Town Precinct 5
25|003|000028|Alford Town Precinct 1|Alford Town Precinct 1
25|003|000122|Becket Town Precinct 1|Becket Town Precinct 1
25|003|000592|Cheshire Town Precinct 1|Cheshire Town Precinct 1
25|003|000614|Clarksburg Town Precinct 1|Clarksburg Town Precinct 1
25|003|000629|Dalton Town Precinct 1|Dalton Town Precinct 1
25|003|000630|Dalton Town Precinct 2|Dalton Town Precinct 2
25|003|000708|Egremont Town Precinct 1|Egremont Town Precinct 1
25|003|000777|Florida Town Precinct 1|Florida Town Precinct 1
25|003|000846|Great Barrington Town Precinct A|Great Barrington Town Precinct A
25|003|000847|Great Barrington Town Precinct B|Great Barrington Town Precinct B
25|003|000848|Great Barrington Town Precinct C|Great Barrington Town Precinct C
25|003|000849|Great Barrington Town Precinct D|Great Barrington Town Precinct D
25|003|000871|Hancock Town Precinct 1|Hancock Town Precinct 1
25|003|000915|Hinsdale Town Precinct 1|Hinsdale Town Precinct 1
25|003|000974|Lanesborough Town Precinct 1|Lanesborough Town Precinct 1
25|003|000999|Lee Town Precinct 1|Lee Town Precinct 1
25|003|001004|Lenox Town Precinct 1|Lenox Town Precinct 1
25|003|001275|Monterey Town Precinct 1|Monterey Town Precinct 1
25|003|001277|Mount Washington Town Precinct 1|Mount Washington Town Precinct 1
25|003|001300|New Ashford Town Precinct 1|New Ashford Town Precinct 1
25|003|001338|New Marlborough Town Precinct 1|New Marlborough Town Precinct 1
25|003|001383|North Adams City Ward 1 Precinct 1|North Adams City Ward 1 Precinct 1
25|003|001384|North Adams City Ward 2 Precinct 2|North Adams City Ward 2 Precinct 2
25|003|001385|North Adams City Ward 3 Precinct 3|North Adams City Ward 3 Precinct 3
25|003|001386|North Adams City Ward 4 Precinct 4|North Adams City Ward 4 Precinct 4
25|003|001387|North Adams City Ward 5 Precinct 5|North Adams City Ward 5 Precinct 5
25|003|001455|Otis Town Precinct 1|Otis Town Precinct 1
25|003|001492|Peru Town Precinct 1|Peru Town Precinct 1
25|003|001495|Pittsfield City Ward 1 Precinct A|Pittsfield City Ward 1 Precinct A
25|003|001496|Pittsfield City Ward 1 Precinct B|Pittsfield City Ward 1 Precinct B
25|003|001497|Pittsfield City Ward 2 Precinct A|Pittsfield City Ward 2 Precinct A
25|003|001498|Pittsfield City Ward 2 Precinct B|Pittsfield City Ward 2 Precinct B
25|003|001499|Pittsfield City Ward 3 Precinct A|Pittsfield City Ward 3 Precinct A
25|003|001500|Pittsfield City Ward 3 Precinct B|Pittsfield City Ward 3 Precinct B
25|003|001501|Pittsfield City Ward 4 Precinct A|Pittsfield City Ward 4 Precinct A
25|003|001502|Pittsfield City Ward 4 Precinct B|Pittsfield City Ward 4 Precinct B
25|003|001503|Pittsfield City Ward 5 Precinct A|Pittsfield City Ward 5 Precinct A
25|003|001504|Pittsfield City Ward 5 Precinct B|Pittsfield City Ward 5 Precinct B
25|003|001505|Pittsfield City Ward 6 Precinct A|Pittsfield City Ward 6 Precinct A
25|003|001506|Pittsfield City Ward 6 Precinct B|Pittsfield City Ward 6 Precinct B
25|003|001507|Pittsfield City Ward 7 Precinct A|Pittsfield City Ward 7 Precinct A
25|003|001508|Pittsfield City Ward 7 Precinct B|Pittsfield City Ward 7 Precinct B
25|003|001606|Richmond Town Precinct 1|Richmond Town Precinct 1
25|003|001642|Sandisfield Town Precinct 1|Sandisfield Town Precinct 1
25|003|001659|Savoy Town Precinct 1|Savoy Town Precinct 1
25|003|001675|Sheffield Town Precinct 1|Sheffield Town Precinct 1
25|003|001803|Stockbridge Town Precinct 1|Stockbridge Town Precinct 1
25|003|001882|Tyringham Town Precinct 1|Tyringham Town Precinct 1
25|003|001934|Washington Town Precinct 1|Washington Town Precinct 1
25|003|001981|West Stockbridge Town Precinct 1|West Stockbridge Town Precinct 1
25|003|002050|Williamstown Town Precinct 1|Williamstown Town Precinct 1
25|003|002051|Williamstown Town Precinct 2|Williamstown Town Precinct 2
25|003|002052|Williamstown Town Precinct 3|Williamstown Town Precinct 3
25|003|002070|Windsor Town Precinct 1|Windsor Town Precinct 1
25|005|000012|Acushnet Town Precinct 1|Acushnet Town Precinct 1
25|005|000013|Acushnet Town Precinct 2|Acushnet Town Precinct 2
25|005|000014|Acushnet Town Precinct 3|Acushnet Town Precinct 3
25|005|000087|Attleboro City Ward 1 Precinct A|Attleboro City Ward 1 Precinct A
25|005|000088|Attleboro City Ward 1 Precinct B|Attleboro City Ward 1 Precinct B
