STATEFP|PLACEFP|NAME|NAMELSAD
26|00480|Advance|Advance CDP
26|00900|Alba|Alba CDP
26|01060|Alden|Alden CDP
26|01340|Allendale|Allendale CDP
26|01960|Amasa|Amasa CDP
26|03300|Arcadia|Arcadia CDP
26|03400|Argentine|Argentine CDP
26|03920|Atlanta|Atlanta CDP
26|03960|Atlantic Mine|Atlantic Mine CDP
26|04020|Attica|Attica CDP
26|04280|Au Sable|Au Sable CDP
26|05466|Barnes Lake|Barnes Lake CDP
26|05880|Bath|Bath CDP
26|06120|Bay Port|Bay Port CDP
26|06180|Bay Shore|Bay Shore CDP
26|06260|Bay View|Bay View CDP
26|06360|Beal City|Beal City CDP
26|06430|Bear Lake|Bear Lake CDP
26|06820|Beecher|Beecher CDP
26|06880|Beechwood|Beechwood CDP
26|07220|Bendon|Bendon CDP
26|07540|Benton Heights|Benton Heights CDP
26|07620|Bergland|Bergland CDP
26|08180|Big Bay|Big Bay CDP
26|09560|Boon|Boon CDP
26|10300|Brethren|Brethren CDP
26|10440|Bridgeport|Bridgeport CDP
26|10680|Brimley|Brimley CDP
26|11200|Brownlee Park|Brownlee Park CDP
26|11320|Bruce Crossing|Bruce Crossing CDP
26|11380|Brutus|Brutus CDP
26|11555|Buena Vista|Buena Vista CDP
26|12000|Burt|Burt CDP
26|12280|Byron Center|Byron Center CDP
26|12290|Caberfae|Caberfae CDP
26|12680|Cambria|Cambria CDP
26|12980|Canada Creek Ranch|Canada Creek Ranch CDP
26|13010|Canadian Lakes|Canadian Lakes CDP
26|13100|Cannonsburg|Cannonsburg CDP
26|13480|Carp Lake|Carp Lake CDP
26|14020|Cedar|Cedar CDP
26|14900|Chassell|Chassell CDP
26|15715|Chums Corner|Chums Corner CDP
26|17690|Comstock Northwest|Comstock Northwest CDP
26|17700|Comstock Park|Comstock Park CDP
26|17900|Conway|Conway CDP
26|18100|Copper Harbor|Copper Harbor CDP
26|18580|Covington|Covington CDP
26|18880|Cross Village|Cross Village CDP
26|19060|Crystal|Crystal CDP
26|19135|Crystal Downs Country Club|Crystal Downs Country Club CDP
26|19195|Crystal Mountain|Crystal Mountain CDP
26|19500|Cutlerville|Cutlerville CDP
26|21560|Delton|Delton CDP
26|22040|Detroit Beach|Detroit Beach CDP
26|22500|Dodgeville|Dodgeville CDP
26|22520|Dollar Bay|Dollar Bay CDP
26|22660|Dorr|Dorr CDP
26|22900|Dowling|Dowling CDP
26|23600|Eagle Harbor|Eagle Harbor CDP
26|23740|Eagle River|Eagle River CDP
26|24300|Eastport|Eastport CDP
26|24500|Eastwood|Eastwood CDP
