STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
26|001|00000|County subdivisions not defined|County subdivisions not defined
26|001|01040|Alcona|Alcona township
26|001|12460|Caledonia|Caledonia township
26|001|19320|Curtis|Curtis township
26|001|34820|Greenbush|Greenbush township
26|001|35740|Gustin|Gustin township
26|001|36860|Harrisville|Harrisville city
26|001|36880|Harrisville|Harrisville township
26|001|37220|Hawes|Hawes township
26|001|37380|Haynes|Haynes township
26|001|53880|Mikado|Mikado township
26|001|54060|Millen|Millen township
26|001|54740|Mitchell|Mitchell township
26|003|00000|County subdivisions not defined|County subdivisions not defined
26|003|04460|Au Train|Au Train township
26|003|11960|Burt|Burt township
26|003|33380|Grand Island|Grand Island township
26|003|47540|Limestone|Limestone township
26|003|52360|Mathias|Mathias township
26|003|56200|Munising|Munising city
26|003|56220|Munising|Munising township
26|003|60820|Onota|Onota township
26|003|69160|Rock River|Rock River township
26|005|00000|County subdivisions not defined|County subdivisions not defined
26|005|01260|Allegan|Allegan city
26|005|01280|Allegan|Allegan township
26|005|13700|Casco|Casco township
26|005|15200|Cheshire|Cheshire township
26|005|16720|Clyde|Clyde township
26|005|22680|Dorr|Dorr township
26|005|22740|Douglas|Douglas city
26|005|27740|Fennville|Fennville city
26|005|28120|Fillmore|Fillmore township
26|005|31360|Ganges|Ganges township
26|005|35720|Gun Plain|Gun Plain township
26|005|37460|Heath|Heath township
26|005|38640|Holland|Holland city
26|005|39200|Hopkins|Hopkins township
26|005|45180|Laketown|Laketown township
26|005|46600|Lee|Lee township
26|005|46760|Leighton|Leighton township
26|005|50840|Manlius|Manlius township
26|005|52000|Martin|Martin township
26|005|55200|Monterey|Monterey township
26|005|61620|Otsego|Otsego city
26|005|61640|Otsego|Otsego township
26|005|61820|Overisel|Overisel township
26|005|64740|Plainwell|Plainwell city
26|005|71100|Salem|Salem township
26|005|71700|Saugatuck|Saugatuck city
26|005|71720|Saugatuck|Saugatuck township
26|005|74980|South Haven|South Haven city
26|005|80620|Trowbridge|Trowbridge township
26|005|81580|Valley|Valley township
26|005|84580|Watson|Watson township
26|005|84880|Wayland|Wayland city
26|005|84900|Wayland|Wayland township
26|007|00000|County subdivisions not defined|County subdivisions not defined
26|007|01740|Alpena|Alpena city
26|007|01760|Alpena|Alpena township
26|007|34740|Green|Green township
26|007|49360|Long Rapids|Long Rapids township
26|007|51220|Maple Ridge|Maple Ridge township
26|007|61520|Ossineke|Ossineke township
26|007|71240|Sanborn|Sanborn township
26|007|85180|Wellington|Wellington township
26|007|87680|Wilson|Wilson township
26|009|00000|County subdivisions not defined|County subdivisions not defined
26|009|05240|Banks|Banks township
26|009|14420|Central Lake|Central Lake township
26|009|15380|Chestonia|Chestonia township
26|009|19400|Custer|Custer township
26|009|24640|Echo|Echo township
26|009|25340|Elk Rapids|Elk Rapids township
26|009|29600|Forest Home|Forest Home township
26|009|37500|Helena|Helena township
26|009|41960|Jordan|Jordan township
26|009|42400|Kearney|Kearney township
26|009|50640|Mancelona|Mancelona township
26|009|54440|Milton|Milton township
26|009|76260|Star|Star township
26|009|80100|Torch Lake|Torch Lake township
26|009|83300|Warner|Warner township
26|011|00000|County subdivisions not defined|County subdivisions not defined
26|011|00280|Adams|Adams township
