STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
27|001|00460|Aitkin|Aitkin city
27|001|00478|Aitkin|Aitkin township
27|001|03358|Ball Bluff|Ball Bluff township
27|001|03412|Balsam|Balsam township
27|001|04384|Beaver|Beaver township
27|001|11620|Clark|Clark township
27|001|13330|Cornish|Cornish township
27|001|14903|Davidson|Davidson UT
27|001|20654|Farm Island|Farm Island township
27|001|21230|Fleming|Fleming township
27|001|23930|Glen|Glen township
27|001|27602|Haugen|Haugen township
27|001|28052|Hazelton|Hazelton township
27|001|29096|Hill City|Hill City city
27|001|29114|Hill Lake|Hill Lake township
27|001|30788|Idun|Idun township
27|001|31958|Jevne|Jevne township
27|001|31966|Jewett|Jewett UT
27|001|33218|Kimberly|Kimberly township
27|001|34982|Lakeside|Lakeside township
27|001|36152|Lee|Lee township
27|001|36908|Libby|Libby township
27|001|37844|Logan|Logan township
27|001|38996|McGrath|McGrath city
27|001|39014|McGregor|McGregor city
27|001|39032|McGregor|McGregor township
27|001|39212|Macville|Macville township
27|001|39590|Malmo|Malmo township
27|001|42300|Millward|Millward township
27|001|44278|Morrison|Morrison township
27|001|46546|Nordland|Nordland township
27|001|46890|Northeast Aitkin|Northeast Aitkin UT
27|001|47342|Northwest Aitkin|Northwest Aitkin UT
27|001|49498|Palisade|Palisade city
27|001|51694|Pliny|Pliny township
27|001|54106|Rice River|Rice River township
27|001|58270|Salo|Salo township
27|001|59134|Seavey|Seavey township
27|001|59368|Shamrock|Shamrock township
27|001|61546|Spalding|Spalding township
27|001|61654|Spencer|Spencer township
27|001|64156|Tamarack|Tamarack city
27|001|65722|Turner|Turner township
27|001|66748|Verdon|Verdon township
27|001|67540|Wagner|Wagner township
27|001|68692|Waukenabo|Waukenabo township
27|001|68872|Wealthwood|Wealthwood township
27|001|70132|White Pine|White Pine township
27|001|70384|Williams|Williams township
27|001|71716|Workman|Workman township
27|003|01486|Andover|Andover city
27|003|01720|Anoka|Anoka city
27|003|05554|Bethel|Bethel city
27|003|06382|Blaine|Blaine city
27|003|10648|Centerville|Centerville city
27|003|11494|Circle Pines|Circle Pines city
27|003|12700|Columbia Heights|Columbia Heights city
27|003|12718|Columbus|Columbus city
27|003|13114|Coon Rapids|Coon Rapids city
27|003|17486|East Bethel|East Bethel city
27|003|22814|Fridley|Fridley city
27|003|26738|Ham Lake|Ham Lake city
27|003|29258|Hilltop|Hilltop city
27|003|36836|Lexington|Lexington city
27|003|37322|Lino Lakes|Lino Lakes city
27|003|37376|Linwood|Linwood township
27|003|47536|Nowthen|Nowthen city
27|003|47690|Oak Grove|Oak Grove city
27|003|53026|Ramsey|Ramsey city
27|003|56950|St. Francis|St. Francis city
27|003|61996|Spring Lake Park|Spring Lake Park city
27|005|02674|Atlanta|Atlanta township
27|005|02728|Audubon|Audubon city
