STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
27|001|000005|Aitkin|Aitkin
27|001|000010|Aitkin Twp|Aitkin Twp
27|001|000015|Ball Bluff Twp|Ball Bluff Twp
27|001|000020|Balsam Twp|Balsam Twp
27|001|000025|Beaver Twp|Beaver Twp
27|001|000030|Clark Twp|Clark Twp
27|001|000035|Cornish Twp|Cornish Twp
27|001|000038|Unorg 47-24 (Davidson Unorg)|Unorg 47-24 (Davidson Unorg)
27|001|000040|Farm Island Twp|Farm Island Twp
27|001|000045|Fleming Twp|Fleming Twp
27|001|000050|Glen Twp|Glen Twp
27|001|000055|Haugen Twp|Haugen Twp
27|001|000060|Hazelton Twp|Hazelton Twp
27|001|000065|Hill City|Hill City
27|001|000070|Hill Lake Twp|Hill Lake Twp
27|001|000075|Idun Twp|Idun Twp
27|001|000080|Jevne Twp|Jevne Twp
27|001|000082|Unorg 45-24 (Jewett Unorg)|Unorg 45-24 (Jewett Unorg)
27|001|000085|Kimberly Twp|Kimberly Twp
27|001|000090|Lakeside Twp|Lakeside Twp
27|001|000095|Lee Twp|Lee Twp
27|001|000100|Libby Twp P-East|Libby Twp P-East
27|001|000105|Libby Twp P-West|Libby Twp P-West
27|001|000110|Logan Twp|Logan Twp
27|001|000115|McGrath|McGrath
27|001|000120|McGregor|McGregor
27|001|000125|McGregor Twp|McGregor Twp
27|001|000130|Macville Twp|Macville Twp
27|001|000132|Millward Twp|Millward Twp
27|001|000135|Malmo Twp|Malmo Twp
27|001|000140|Morrison Twp|Morrison Twp
27|001|000145|Nordland Twp|Nordland Twp
27|001|000150|Palisade|Palisade
27|001|000155|Pliny Twp|Pliny Twp
27|001|000160|Rice River Twp|Rice River Twp
27|001|000165|Salo Twp|Salo Twp
27|001|000170|Seavey Twp|Seavey Twp
27|001|000175|Shamrock Twp|Shamrock Twp
27|001|000180|Spalding Twp|Spalding Twp
27|001|000185|Spencer Twp|Spencer Twp
27|001|000190|Tamarack|Tamarack
27|001|000195|Turner Twp|Turner Twp
27|001|000200|Verdon Twp|Verdon Twp
27|001|000205|Wagner Twp|Wagner Twp
27|001|000210|Waukenabo Twp|Waukenabo Twp
27|001|000215|Wealthwood Twp|Wealthwood Twp
27|001|000220|White Pine Twp|White Pine Twp
27|001|000225|Williams Twp|Williams Twp
27|001|000230|Workman Twp|Workman Twp
27|001|000240|Northeast Aitkin Unorg|Northeast Aitkin Unorg
27|001|000255|Unorg 48-27 (Blind Lake Unorg)|Unorg 48-27 (Blind Lake Unorg)
27|001|000260|Northwest Aitkin Unorg P-2|Northwest Aitkin Unorg P-2
