STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
28|001|000101|Courthouse|Courthouse Voting District
28|001|000102|By-Pass Firestation|By-Pass Firestation Voting District
28|001|000103|Bellemont|Bellemont Voting District
28|001|000201|Liberty Park|Liberty Park Voting District
28|001|000202|Duncan Park|Duncan Park Voting District
28|001|000203|Beau Pre|Beau Pre Voting District
28|001|000204|Kingston|Kingston Voting District
28|001|000301|Concord|Concord Voting District
28|001|000302|Convention Center|Convention Center Voting District
28|001|000303|Maryland|Maryland Voting District
28|001|000304|Palestine|Palestine Voting District
28|001|000401|Northside School|Northside School Voting District
28|001|000403|Pine Ridge|Pine Ridge Voting District
28|001|000404|Carpenter|Carpenter Voting District
28|001|000405|Morgantown|Morgantown Voting District
28|001|000501|Foster Mound|Foster Mound Voting District
28|001|000502|Airport|Airport Voting District
28|001|000503|Oakland|Oakland Voting District
28|001|000504|Washington|Washington Voting District
28|003|000016|Shady Grove|Shady Grove Voting District
28|003|000101|Five-Point|Five-Point Voting District
28|003|000102|North Corinth|North Corinth Voting District
28|003|000103|Wenasoga|Wenasoga Voting District
28|003|000201|Central|Central Voting District
28|003|000202|Glen|Glen Voting District
28|003|000203|Jacinto|Jacinto Voting District
28|003|000204|Pinecrest|Pinecrest Voting District
28|003|000301|South Corinth|South Corinth Voting District
28|003|000302|Biggersville|Biggersville Voting District
28|003|000303|Rienzi|Rienzi Voting District
28|003|000401|College Hill|College Hill Voting District
28|003|000402|Kossuth|Kossuth Voting District
28|003|000501|West Corinth|West Corinth Voting District
28|003|000502|Union Center|Union Center Voting District
28|003|000503|Bethel|Bethel Voting District
28|003|000504|East Corinth|East Corinth Voting District
28|005|000024|Vance Park|Vance Park Voting District
28|005|000101|East Gloster|East Gloster Voting District
28|005|000102|Liberty|Liberty Voting District
28|005|000103|New Zion|New Zion Voting District
28|005|000104|Zion Hill|Zion Hill Voting District
28|005|000201|Ariel|Ariel Voting District
28|005|000202|Berwick|Berwick Voting District
28|005|000203|East Centreville|East Centreville Voting District
28|005|000205|Amite River|Amite River Voting District
28|005|000301|Crosby|Crosby Voting District
28|005|000302|Gloster|Gloster Voting District
28|005|000303|Homochitto|Homochitto Voting District
28|005|000304|Oneil|Oneil Voting District
28|005|000401|East Fork|East Fork Voting District
