STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
29|001|000002|Brashear|Brashear Voting District
29|001|000003|Northeast 4|Northeast 4 Voting District
29|001|000004|Northeast 5|Northeast 5 Voting District
29|001|000005|Northeast 6|Northeast 6 Voting District
29|001|000006|Novinger|Novinger Voting District
29|001|000007|Rural Benton|Rural Benton Voting District
29|001|000008|Southeast 2|Southeast 2 Voting District
29|001|000009|Southeast 3|Southeast 3 Voting District
29|001|000010|Southwest 1|Southwest 1 Voting District
29|001|000011|Truman State University|Truman State University Voting District
29|003|000002|John Glenn A|John Glenn A Voting District
29|003|000003|Country Club|Country Club Voting District
29|003|000004|Monroe East|Monroe East Voting District
29|003|000005|Monroe West|Monroe West Voting District
29|003|000006|John Glenn|John Glenn Voting District
29|003|000007|Beeler|Beeler Voting District
29|003|000008|Savannah Southeast|Savannah Southeast Voting District
29|003|000009|Savannah Southwest|Savannah Southwest Voting District
29|003|000010|Helena|Helena Voting District
29|003|000011|Lincoln|Lincoln Voting District
29|003|000012|Rochester|Rochester Voting District
29|003|000013|Savannah Northwest|Savannah Northwest Voting District
29|003|000014|Savannah Northeast|Savannah Northeast Voting District
29|003|000015|Empire East|Empire East Voting District
29|003|000016|Fillmore|Fillmore Voting District
29|003|000017|Rosendale|Rosendale Voting District
29|003|000018|Platte East|Platte East Voting District
29|003|000019|Platte West|Platte West Voting District
29|003|000020|Bolckow|Bolckow Voting District
29|003|000021|Clay|Clay Voting District
29|005|000002|Fairfax|Fairfax Voting District
29|005|000004|Rock Port|Rock Port Voting District
29|005|000005|Tarkio|Tarkio Voting District
29|005|000006|Watson|Watson Voting District
29|005|000007|Westboro|Westboro Voting District
29|007|000502|Friendship|Friendship Voting District
29|007|000506|Thompson|Thompson Voting District
29|007|000508|Community|Community Voting District
29|007|000510|Laddonia|Laddonia Voting District
29|007|000512|Farber|Farber Voting District
29|007|000513|I E Cuivre|I E Cuivre Voting District
29|007|000545|South Fork|South Fork Voting District
29|007|000616|Mexico No. 4|Mexico No. 4 Voting District
29|007|000623|Mexico No. 1|Mexico No. 1 Voting District
29|007|000632|Mexico No. 2|Mexico No. 2 Voting District
29|007|000633|Mexico No. 3|Mexico No. 3 Voting District
29|007|000641|Mexico No. 5|Mexico No. 5 Voting District
29|007|000642|Mexico No. 6|Mexico No. 6 Voting District
29|007|000657|Martinsburg|Martinsburg Voting District
29|007|000658|Benton City|Benton City Voting District
29|007|000667|Wilson/Salt River|Wilson/Salt River Voting District
29|009|000002|Ash|Ash Voting District
29|009|000003|Butterfield|Butterfield Voting District
29|009|000004|Capps Creek|Capps Creek Voting District
29|009|000005|Cassville City|Cassville City Voting District
29|009|000006|Cassville Rural|Cassville Rural Voting District
29|009|000007|Crane Creek|Crane Creek Voting District
29|009|000008|Exeter|Exeter Voting District
29|009|000009|Golden|Golden Voting District
29|009|000010|Jenkins|Jenkins Voting District
29|009|000011|Kings Prairie|Kings Prairie Voting District
29|009|000012|McDonald|McDonald Voting District
29|009|000013|McDowell|McDowell Voting District
29|009|000014|Mineral|Mineral Voting District
29|009|000015|Monett|Monett Voting District
29|009|000016|Ozark|Ozark Voting District
29|009|000017|Pleasant Ridge|Pleasant Ridge Voting District
29|009|000018|Purdy|Purdy Voting District
29|009|000019|Roaring River|Roaring River Voting District
29|009|000020|Seligman|Seligman Voting District
29|009|000021|Shell Knob|Shell Knob Voting District
29|009|000022|Washburn|Washburn Voting District
29|009|000023|Wheaton|Wheaton Voting District
29|011|000004|Vote Center #5|Vote Center #5
29|011|000008|Vote Center #8|Vote Center #8
29|011|000010|Vote Center #1|Vote Center #1
29|011|000011|Vote Center #2|Vote Center #2
29|011|000015|Vote Center #6|Vote Center #6
29|011|000016|Vote Center #7|Vote Center #7
29|011|16-018|Vote Center #3|Vote Center #3
29|011|16-021|Vote Center #4|Vote Center #4
29|013|002701|Drexel|Drexel Voting District
29|013|002703|Adrian South|Adrian South Voting District
29|013|002705|Adrian North|Adrian North Voting District
29|013|002722|Ballard|Ballard Voting District
29|013|002767|Amsterdam|Amsterdam Voting District
29|013|002801|Butler No. 1|Butler No. 1 Voting District
29|013|002814|Butler No. 2|Butler No. 2 Voting District
29|013|002825|Amoret|Amoret Voting District
29|013|002847|Hudson|Hudson Voting District
29|013|002849|Butler No. 3|Butler No. 3 Voting District
29|013|002850|Butler No. 4|Butler No. 4 Voting District
