STATEFP|PLACEFP|NAME|NAMELSAD
30|00175|Absarokee|Absarokee CDP
30|00400|Acton|Acton CDP
30|00850|Alder|Alder CDP
30|01300|Alzada|Alzada CDP
30|01525|Amsterdam|Amsterdam CDP
30|02050|Antelope|Antelope CDP
30|02350|Argenta|Argenta CDP
30|02425|Arlee|Arlee CDP
30|02800|Ashland|Ashland CDP
30|03025|Augusta|Augusta CDP
30|03175|Avon|Avon CDP
30|03196|Ayers Ranch Colony|Ayers Ranch Colony CDP
30|03212|Azure|Azure CDP
30|03250|Babb|Babb CDP
30|03625|Ballantine|Ballantine CDP
30|04150|Basin|Basin CDP
30|04230|Batavia|Batavia CDP
30|04410|Bear Dance|Bear Dance CDP
30|04575|Beaver Creek|Beaver Creek CDP
30|04900|Belfry|Belfry CDP
30|05050|Belknap|Belknap CDP
30|05650|Biddle|Biddle CDP
30|05800|Big Arm|Big Arm CDP
30|05875|Bigfork|Bigfork CDP
30|06325|Big Sky|Big Sky CDP
30|06410|Big Sky Colony|Big Sky Colony CDP
30|06440|Big Stone Colony|Big Stone Colony CDP
30|06815|Birch Creek Colony|Birch Creek Colony CDP
30|06925|Birney|Birney CDP
30|07150|Black Eagle|Black Eagle CDP
30|07300|Blackfoot|Blackfoot CDP
30|07675|Bloomfield|Bloomfield CDP
30|08162|Boneau|Boneau CDP
30|08462|Bonner-West Riverside|Bonner-West Riverside CDP
30|08725|Box Elder|Box Elder CDP
30|08800|Boyd|Boyd CDP
30|09250|Brady|Brady CDP
30|09400|Brandon|Brandon CDP
30|09500|Bridger|Bridger CDP
30|10000|Brockton|Brockton CDP
30|10075|Brockway|Brockway CDP
30|10150|Brooks|Brooks CDP
30|10935|Bull Lake|Bull Lake CDP
30|11200|Busby|Busby CDP
30|11500|Bynum|Bynum CDP
30|11800|Camas|Camas CDP
30|11995|Camp Three|Camp Three CDP
30|11999|Camrose Colony|Camrose Colony CDP
30|12025|Canyon Creek|Canyon Creek CDP
30|12400|Cardwell|Cardwell CDP
30|12435|Carlton|Carlton CDP
30|12625|Carter|Carter CDP
30|12783|Cascade Colony|Cascade Colony CDP
30|13375|Centerville|Centerville CDP
30|13900|Charlo|Charlo CDP
30|13975|Charlos Heights|Charlos Heights CDP
30|14875|Churchill|Churchill CDP
30|15100|Clancy|Clancy CDP
30|15475|Clinton|Clinton CDP
30|16000|Coffee Creek|Coffee Creek CDP
30|17050|Condon|Condon CDP
30|17200|Conner|Conner CDP
30|17350|Cooke City|Cooke City CDP
30|17500|Coram|Coram CDP
30|17725|Corvallis|Corvallis CDP
30|17800|Corwin Springs|Corwin Springs CDP
30|18025|Craig|Craig CDP
30|18100|Crane|Crane CDP
30|18250|Crow Agency|Crow Agency CDP
30|18700|Custer|Custer CDP
30|18850|Cyr|Cyr CDP
