STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
30|001|000001|PRECINCT 01|PRECINCT 01
30|001|000002|PRECINCT 02|PRECINCT 02
30|001|000003|PRECINCT 03|PRECINCT 03
30|001|000004|PRECINCT 04|PRECINCT 04
30|001|000005|PRECINCT 05|PRECINCT 05
30|001|000006|PRECINCT 06|PRECINCT 06
30|001|000007|PRECINCT 07|PRECINCT 07
30|001|000008|PRECINCT 08|PRECINCT 08
30|001|000009|PRECINCT 09|PRECINCT 09
30|001|000012|PRECINCT 12|PRECINCT 12
30|001|000014|PRECINCT 14|PRECINCT 14
30|001|000017|PRECINCT 17|PRECINCT 17
30|001|000019|PRECINCT 19|PRECINCT 19
30|001|000020|PRECINCT 20|PRECINCT 20
30|001|000021|PRECINCT 21|PRECINCT 21
30|001|000023|PRECINCT 23|PRECINCT 23
30|003|000001|PRECINCT #1|PRECINCT #1
30|003|000002|PRECINCT #2|PRECINCT #2
30|003|000003|PRECINCT #3|PRECINCT #3
30|003|000004|PRECINCT #4|PRECINCT #4
30|003|000005|PRECINCT #5|PRECINCT #5
30|003|000006|PRECINCT #6|PRECINCT #6
30|003|000007|PRECINCT #7|PRECINCT #7
30|003|000008|PRECINCT #8|PRECINCT #8
30|003|000009|PRECINCT #9|PRECINCT #9
30|003|000010|PRECINCT #10|PRECINCT #10
30|003|000014|PRECINCT #14|PRECINCT #14
30|003|000015|PRECINCT #15|PRECINCT #15
30|003|000017|PRECINCT #17|PRECINCT #17
30|003|000018|PRECINCT #18|PRECINCT #18
30|003|000019|PRECINCT #19|PRECINCT #19
30|003|000021|PRECINCT #21|PRECINCT #21
30|003|000025|PRECINCT #25|PRECINCT #25
30|003|000026|PRECINCT #26|PRECINCT #26
30|003|00004N|PRECINCT #4N|PRECINCT #4N
30|005|000001|TURNER 1-33|TURNER 1-33
30|005|000003|BELKNAP 3-32|BELKNAP 3-32
30|005|000008|HARLEM 8-32|HARLEM 8-32
30|005|000009|HARLEM 9-32|HARLEM 9-32
30|005|000010|SO CHINOOK 10-32|SO CHINOOK 10-32
30|005|000011|CHINOOK 11-33|CHINOOK 11-33
30|005|000013|NO CHINOOK 13-33|NO CHINOOK 13-33
30|005|000015|HAYS 15-32|HAYS 15-32
30|007|000001|Precinct 1|Precinct 1
30|007|000007|Precinct 7|Precinct 7
30|007|000011|Precinct 11|Precinct 11
30|007|000012|Precinct 12|Precinct 12
30|007|000013|Precinct 13|Precinct 13
30|009|000001|P 1|P 1
30|009|000002|P 2|P 2
30|009|000003|P 3|P 3
30|009|000004|P 4|P 4
30|009|000005|P 5|P 5
30|009|000006|P 6|P 6
30|009|000007|P 7|P 7
30|009|000008|P 8|P 8
30|009|000009|P 9|P 9
30|009|000010|P 10|P 10
30|009|000011|P 11|P 11
30|009|000015|P 15|P 15
30|009|000016|P 16|P 16
30|011|000001|PRECINCT #1 ALZADA|PRECINCT #1 ALZADA
30|011|000003|PRECINCT #3 HAMMOND|PRECINCT #3 HAMMOND
30|011|000013|PRECINCT #13 EKALAKA|PRECINCT #13 EKALAKA
30|011|000014|PRECINCT #14 RURAL EKALAKA|PRECINCT #14 RURAL EKALAKA
30|013|000023|P23|P23
30|013|000024|P24|P24
30|013|000025|P25|P25
30|013|000027|P27|P27
30|013|000030|P30|P30
30|013|00019C|P19C|P19C
30|013|00019D|P19D|P19D
30|013|00019E|P19E|P19E
30|013|00020A|P20A|P20A
30|013|00020B|P20B|P20B
30|013|00021A|P21A|P21A
30|013|00021B|P21B|P21B
30|013|00022A|P22A|P22A
30|013|00022B|P22B|P22B
30|013|00022C|P22C|P22C
30|013|00026A|P26A|P26A
30|013|00026B|P26B|P26B
30|013|0019A1|P19A1|P19A1
30|013|0019A2|P19A2|P19A2
30|013|0019A3|P19A3|P19A3
30|013|0019A4|P19A4|P19A4
30|013|0019B1|P19B1|P19B1
30|013|0019B2|P19B2|P19B2
30|015|000001|FORT BENTON 1|FORT BENTON 1
30|015|000002|FORT BENTON 2|FORT BENTON 2
30|015|000003|GERALDINE 3|GERALDINE 3
30|015|000004|CARTER 4|CARTER 4
30|015|000005|ROCKY BOY 5|ROCKY BOY 5
30|015|000006|HIGHWOOD 6|HIGHWOOD 6
30|015|000007|LOMA 7|LOMA 7
30|015|000008|BIG SANDY 8|BIG SANDY 8
30|015|000009|BIG SANDY 9|BIG SANDY 9
30|017|000001|WASHINGTON SCH|WASHINGTON SCH
30|017|000002|CCDHS|CCDHS
30|017|000003|HIGHLAND PARK SCH|HIGHLAND PARK SCH
30|017|000004|JEFFERSON SCH|JEFFERSON SCH
30|017|000005|KIRCHER|KIRCHER
30|017|000006|NAT'L GUARD|NAT'L GUARD
30|017|000007|KINSEY|KINSEY
30|017|000008|SHEFFIELD MOON|SHEFFIELD MOON
30|017|000009|S-H SCHOOL|S-H SCHOOL
30|017|000010|SY SCHOOL|SY SCHOOL
30|017|000011|SPRING CREEK SCH|SPRING CREEK SCH
30|017|000012|RIVERVIEW SCHOOL|RIVERVIEW SCHOOL
30|017|000013|KNOWLTON SCH|KNOWLTON SCH
30|017|000014|ISMAY CHURCH|ISMAY CHURCH
