STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
31|001|00001P|Kenesaw Precinct|Kenesaw Precinct
31|001|00001W|1A|Voting District 1A
31|001|00002E|2E Precinct|2E Precinct
31|001|00002P|Verona Precinct|Verona Precinct
31|001|00002W|1B|Voting District 1B
31|001|00003P|Juniata Precinct|Juniata Precinct
31|001|00003W|1C|Voting District 1C
31|001|00004P|West Blue/Highland Precinct|West Blue/Highland Precinct
31|001|00005P|Denver Precinct|Denver Precinct
31|001|00005W|2A|Voting District 2A
31|001|00006P|Blaine Precinct|Blaine Precinct
31|001|00006W|2B|Voting District 2B
31|001|00007P|Holstein Precinct|Holstein Precinct
31|001|00007W|2C|Voting District 2C
31|001|00008P|Roseland Precinct|Roseland Precinct
31|001|00008W|2D|Voting District 2D
31|001|00009P|Ayr Precinct|Ayr Precinct
31|001|00009W|3A|Voting District 3A
31|001|00010P|Pauline Precinct|Pauline Precinct
31|001|00010W|3B|Voting District 3B
31|001|00011W|3C|Voting District 3C
31|001|00012W|3D|Voting District 3D
31|001|00013W|3E|Voting District 3E
31|001|00014W|4A|Voting District 4A
31|001|00015W|4B|Voting District 4B
31|001|00016W|4C|Voting District 4C
31|001|00017W|4D|Voting District 4D
31|003|00001P|Orchard Precinct|Orchard Precinct
31|003|00001W|Tilden 1st Ward|Tilden 1st Ward
31|003|00002P|Royal Precinct|Royal Precinct
31|003|00002W|Neligh City 2nd Ward|Neligh City 2nd Ward
31|003|00003P|Brunswick Precinct|Brunswick Precinct
31|003|00003W|Neligh City 1st Ward|Neligh City 1st Ward
31|003|00004P|Clearwater Precinct|Clearwater Precinct
31|003|00004W|Elgin 1st Ward|Elgin 1st Ward
31|003|00005P|Neligh Precinct|Neligh Precinct
31|003|00005W|Elgin 2nd Ward|Elgin 2nd Ward
31|003|00006P|Elgin Precinct|Elgin Precinct
31|003|00007P|Oakdale Precinct|Oakdale Precinct
31|003|00008P|Tilden Precinct|Tilden Precinct
31|005|00001P|Arthur Precinct|Arthur Precinct
31|007|00001P|Long Springs Precinct|Long Springs Precinct
31|009|000001|Blaine Precinct|Blaine Precinct
31|011|00001P|Oakland Precinct|Oakland Precinct
31|011|00002P|North Branch-Shell Creek Precinct|North Branch-Shell Creek Precinct
31|011|00003P|Dublin-Bonanza Precinct|Dublin-Bonanza Precinct
31|011|00004P|North Manchester Precinct|North Manchester Precinct
31|011|00005P|Southwest Manchester Precinct|Southwest Manchester Precinct
31|011|00006P|Southeast Manchester Precinct|Southeast Manchester Precinct
31|011|00007P|Ceder Precinct|Ceder Precinct
31|011|00008P|Boone Precinct|Boone Precinct
31|011|00009P|Beaver Precinct|Beaver Precinct
31|013|001301|Voting Precinct 1|Voting Precinct 1
31|013|001302|Voting Precinct 2|Voting Precinct 2
31|013|001303|Voting Precinct 3|Voting Precinct 3
31|013|001304|Voting Precinct 4|Voting Precinct 4
31|013|001305|Voting Precinct 5|Voting Precinct 5
31|013|001306|Voting Precinct 6|Voting Precinct 6
31|013|001311|Voting Precinct 11|Voting Precinct 11
31|013|001312|Voting Precinct 12|Voting Precinct 12
31|013|001315|Voting Precinct 15|Voting Precinct 15
31|015|000001|Basin - McCulley - Butte Precinct|Basin - McCulley - Butte Precinct
31|015|000002|Spencer - Morton Precinct|Spencer - Morton Precinct
31|015|000003|Bristow - Mullen - Lynch - Bush Precinct|Bristow - Mullen - Lynch - Bush Precinct
31|017|00001P|City of Ainsworth Precinct|City of Ainsworth Precinct
31|017|00002P|Pines Precinct|Pines Precinct
31|017|00003P|Ainsworth Precinct|Ainsworth Precinct
31|019|000001|Precinct 1|Precinct 1
31|019|000002|Precinct 2|Precinct 2
31|019|000003|Precinct 3|Precinct 3
31|019|000004|Precinct 4|Precinct 4
31|019|000005|Precinct 5|Precinct 5
