STATEFP|DISTRICT|NAME|NAMELSAD
32|001|1|State Senate District 1
32|002|2|State Senate District 2
32|003|3|State Senate District 3
32|004|4|State Senate District 4
32|005|5|State Senate District 5
32|006|6|State Senate District 6
32|007|7|State Senate District 7
32|008|8|State Senate District 8
32|009|9|State Senate District 9
32|010|10|State Senate District 10
32|011|11|State Senate District 11
32|012|12|State Senate District 12
32|013|13|State Senate District 13
32|014|14|State Senate District 14
32|015|15|State Senate District 15
32|016|16|State Senate District 16
32|017|17|State Senate District 17
32|018|18|State Senate District 18
32|019|19|State Senate District 19
32|020|20|State Senate District 20
32|021|21|State Senate District 21
