STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
32|001|000001|CHURCHILL PRECINCT 01|CHURCHILL PRECINCT 01
32|001|000002|CHURCHILL PRECINCT 02|CHURCHILL PRECINCT 02
32|001|000003|CHURCHILL PRECINCT 03|CHURCHILL PRECINCT 03
32|001|000004|CHURCHILL PRECINCT 04|CHURCHILL PRECINCT 04
32|001|000005|CHURCHILL PRECINCT 05|CHURCHILL PRECINCT 05
32|001|000006|CHURCHILL PRECINCT 06|CHURCHILL PRECINCT 06
32|001|000007|CHURCHILL PRECINCT 07|CHURCHILL PRECINCT 07
32|001|000008|CHURCHILL PRECINCT 08|CHURCHILL PRECINCT 08
32|001|000009|CHURCHILL PRECINCT 09|CHURCHILL PRECINCT 09
32|001|000010|CHURCHILL PRECINCT 10|CHURCHILL PRECINCT 10
32|001|000011|CHURCHILL PRECINCT 11|CHURCHILL PRECINCT 11
32|001|000012|CHURCHILL PRECINCT 12|CHURCHILL PRECINCT 12
32|001|000013|CHURCHILL PRECINCT 13|CHURCHILL PRECINCT 13
32|001|000014|CHURCHILL PRECINCT 14|CHURCHILL PRECINCT 14
32|001|000015|CHURCHILL PRECINCT 15|CHURCHILL PRECINCT 15
32|001|000016|CHURCHILL PRECINCT 16|CHURCHILL PRECINCT 16
32|001|000017|CHURCHILL PRECINCT 17|CHURCHILL PRECINCT 17
32|001|000018|CHURCHILL PRECINCT 18|CHURCHILL PRECINCT 18
32|001|000019|CHURCHILL PRECINCT 19|CHURCHILL PRECINCT 19
32|001|007-01|CHURCHILL PRECINCT 07-01|CHURCHILL PRECINCT 07-01
32|001|008-01|CHURCHILL PRECINCT 08-01|CHURCHILL PRECINCT 08-01
32|001|008-02|CHURCHILL PRECINCT 08-02|CHURCHILL PRECINCT 08-02
32|001|008-03|CHURCHILL PRECINCT 08-03|CHURCHILL PRECINCT 08-03
32|001|012-01|CHURCHILL PRECINCT 12-01|CHURCHILL PRECINCT 12-01
32|001|012-02|CHURCHILL PRECINCT 12-02|CHURCHILL PRECINCT 12-02
32|001|012-03|CHURCHILL PRECINCT 12-03|CHURCHILL PRECINCT 12-03
32|001|015-01|CHURCHILL PRECINCT 15-01|CHURCHILL PRECINCT 15-01
32|001|015-02|CHURCHILL PRECINCT 15-02|CHURCHILL PRECINCT 15-02
32|001|015-03|CHURCHILL PRECINCT 15-03|CHURCHILL PRECINCT 15-03
32|001|015-04|CHURCHILL PRECINCT 15-04|CHURCHILL PRECINCT 15-04
32|001|015-05|CHURCHILL PRECINCT 15-05|CHURCHILL PRECINCT 15-05
32|001|015-06|CHURCHILL PRECINCT 15-06|CHURCHILL PRECINCT 15-06
32|001|015-07|CHURCHILL PRECINCT 15-07|CHURCHILL PRECINCT 15-07
32|001|015-08|CHURCHILL PRECINCT 15-08|CHURCHILL PRECINCT 15-08
32|001|015-09|CHURCHILL PRECINCT 15-09|CHURCHILL PRECINCT 15-09
32|001|015-10|CHURCHILL PRECINCT 15-10|CHURCHILL PRECINCT 15-10
32|003|001038|1038|1038
32|003|001039|1039|1039
32|003|001063|1063|1063
32|003|001067|1067|1067
32|003|001072|1072|1072
32|003|001074|1074|1074
32|003|001137|1137|1137
32|003|001302|1302|1302
32|003|001303|1303|1303
32|003|001304|1304|1304
32|003|001307|1307|1307
32|003|001309|1309|1309
32|003|001318|1318|1318
32|003|001327|1327|1327
32|003|001328|1328|1328
32|003|001330|1330|1330
32|003|001331|1331|1331
32|003|001332|1332|1332
32|003|001333|1333|1333
32|003|001334|1334|1334
32|003|001335|1335|1335
32|003|001336|1336|1336
32|003|001337|1337|1337
32|003|001340|1340|1340
32|003|001341|1341|1341
32|003|001342|1342|1342
32|003|001343|1343|1343
32|003|001344|1344|1344
32|003|001345|1345|1345
32|003|001346|1346|1346
32|003|001348|1348|1348
32|003|001349|1349|1349
32|003|001351|1351|1351
32|003|001352|1352|1352
32|003|001353|1353|1353
32|003|001354|1354|1354
32|003|001356|1356|1356
32|003|001361|1361|1361
32|003|001363|1363|1363
32|003|001365|1365|1365
32|003|001367|1367|1367
32|003|001368|1368|1368
32|003|001371|1371|1371
32|003|001374|1374|1374
32|003|001375|1375|1375
32|003|001376|1376|1376
32|003|001377|1377|1377
32|003|001378|1378|1378
32|003|001379|1379|1379
32|003|001380|1380|1380
32|003|001381|1381|1381
32|003|001382|1382|1382
32|003|001384|1384|1384
32|003|001385|1385|1385
32|003|001386|1386|1386
32|003|001387|1387|1387
32|003|001389|1389|1389
32|003|001390|1390|1390
32|003|001391|1391|1391
32|003|001394|1394|1394
32|003|001395|1395|1395
32|003|001396|1396|1396
32|003|001410|1410|1410
32|003|001411|1411|1411
32|003|001509|1509|1509
32|003|001510|1510|1510
32|003|001511|1511|1511
32|003|001513|1513|1513
32|003|001514|1514|1514
32|003|001517|1517|1517
32|003|001518|1518|1518
32|003|001519|1519|1519
32|003|001520|1520|1520
32|003|001521|1521|1521
32|003|001525|1525|1525
32|003|001528|1528|1528
32|003|001533|1533|1533
32|003|001543|1543|1543
32|003|001550|1550|1550
32|003|001552|1552|1552
32|003|001553|1553|1553
32|003|001601|1601|1601
32|003|001602|1602|1602
32|003|001603|1603|1603
32|003|001604|1604|1604
32|003|001605|1605|1605
32|003|001606|1606|1606
32|003|001607|1607|1607
32|003|001608|1608|1608
32|003|001609|1609|1609
32|003|001611|1611|1611
32|003|001612|1612|1612
32|003|001613|1613|1613
32|003|001614|1614|1614
32|003|001615|1615|1615
32|003|001616|1616|1616
32|003|001617|1617|1617
32|003|001618|1618|1618
32|003|001619|1619|1619
32|003|001621|1621|1621
32|003|001623|1623|1623
32|003|001624|1624|1624
32|003|001625|1625|1625
32|003|001631|1631|1631
32|003|001632|1632|1632
32|003|001633|1633|1633
