STATEFP|DISTRICT|NAME|NAMELSAD
33|001|Belknap County No. 1|State House District Belknap County No. 1
33|002|Belknap County No. 2|State House District Belknap County No. 2
33|003|Belknap County No. 3|State House District Belknap County No. 3
33|004|Belknap County No. 4|State House District Belknap County No. 4
33|005|Belknap County No. 5|State House District Belknap County No. 5
33|006|Belknap County No. 6|State House District Belknap County No. 6
33|007|Belknap County No. 7|State House District Belknap County No. 7
33|101|Carroll County No. 1|State House District Carroll County No. 1
33|102|Carroll County No. 2|State House District Carroll County No. 2
33|103|Carroll County No. 3|State House District Carroll County No. 3
33|104|Carroll County No. 4|State House District Carroll County No. 4
33|105|Carroll County No. 5|State House District Carroll County No. 5
33|106|Carroll County No. 6|State House District Carroll County No. 6
33|201|Cheshire County No. 1|State House District Cheshire County No. 1
33|202|Cheshire County No. 2|State House District Cheshire County No. 2
33|203|Cheshire County No. 3|State House District Cheshire County No. 3
33|204|Cheshire County No. 4|State House District Cheshire County No. 4
33|205|Cheshire County No. 5|State House District Cheshire County No. 5
33|206|Cheshire County No. 6|State House District Cheshire County No. 6
33|207|Cheshire County No. 7|State House District Cheshire County No. 7
33|208|Cheshire County No. 8|State House District Cheshire County No. 8
33|209|Cheshire County No. 9|State House District Cheshire County No. 9
33|210|Cheshire County No. 10|State House District Cheshire County No. 10
33|211|Cheshire County No. 11|State House District Cheshire County No. 11
33|212|Cheshire County No. 12|State House District Cheshire County No. 12
33|213|Cheshire County No. 13|State House District Cheshire County No. 13
33|301|Coos County No. 1|State House District Coos County No. 1
33|302|Coos County No. 2|State House District Coos County No. 2
33|303|Coos County No. 3|State House District Coos County No. 3
33|304|Coos County No. 4|State House District Coos County No. 4
33|305|Coos County No. 5|State House District Coos County No. 5
33|306|Coos County No. 6|State House District Coos County No. 6
33|401|Grafton County No. 1|State House District Grafton County No. 1
33|402|Grafton County No. 2|State House District Grafton County No. 2
33|403|Grafton County No. 3|State House District Grafton County No. 3
33|404|Grafton County No. 4|State House District Grafton County No. 4
33|405|Grafton County No. 5|State House District Grafton County No. 5
33|406|Grafton County No. 6|State House District Grafton County No. 6
33|407|Grafton County No. 7|State House District Grafton County No. 7
33|408|Grafton County No. 8|State House District Grafton County No. 8
33|409|Grafton County No. 9|State House District Grafton County No. 9
33|410|Grafton County No. 10|State House District Grafton County No. 10
33|411|Grafton County No. 11|State House District Grafton County No. 11
33|412|Grafton County No. 12|State House District Grafton County No. 12
33|413|Grafton County No. 13|State House District Grafton County No. 13
33|501|Hillsborough County No. 1|State House District Hillsborough County No. 1
33|502|Hillsborough County No. 2|State House District Hillsborough County No. 2
33|503|Hillsborough County No. 3|State House District Hillsborough County No. 3
33|504|Hillsborough County No. 4|State House District Hillsborough County No. 4
33|505|Hillsborough County No. 5|State House District Hillsborough County No. 5
33|506|Hillsborough County No. 6|State House District Hillsborough County No. 6
33|507|Hillsborough County No. 7|State House District Hillsborough County No. 7
33|508|Hillsborough County No. 8|State House District Hillsborough County No. 8
33|509|Hillsborough County No. 9|State House District Hillsborough County No. 9
33|510|Hillsborough County No. 10|State House District Hillsborough County No. 10
33|511|Hillsborough County No. 11|State House District Hillsborough County No. 11
33|512|Hillsborough County No. 12|State House District Hillsborough County No. 12
33|513|Hillsborough County No. 13|State House District Hillsborough County No. 13
33|514|Hillsborough County No. 14|State House District Hillsborough County No. 14
33|515|Hillsborough County No. 15|State House District Hillsborough County No. 15
33|516|Hillsborough County No. 16|State House District Hillsborough County No. 16
33|517|Hillsborough County No. 17|State House District Hillsborough County No. 17
33|518|Hillsborough County No. 18|State House District Hillsborough County No. 18
33|519|Hillsborough County No. 19|State House District Hillsborough County No. 19
33|520|Hillsborough County No. 20|State House District Hillsborough County No. 20
33|521|Hillsborough County No. 21|State House District Hillsborough County No. 21
