STATEFP|PLACEFP|NAME|NAMELSAD
34|00160|Absecon Highlands|Absecon Highlands CDP
34|00640|Allamuchy|Allamuchy CDP
34|00790|Allenwood|Allenwood CDP
34|00850|Alloway|Alloway CDP
34|01184|Ampere North|Ampere North CDP
34|01300|Anderson|Anderson CDP
34|01480|Annandale|Annandale CDP
34|01825|Arrowhead Lake|Arrowhead Lake CDP
34|01900|Asbury|Asbury CDP
34|01990|Ashland|Ashland CDP
34|02020|Atco|Atco CDP
34|02170|Auburn|Auburn CDP
34|02350|Avenel|Avenel CDP
34|02880|Barclay|Barclay CDP
34|02920|Bargaintown|Bargaintown CDP
34|03040|Barnegat|Barnegat CDP
34|03340|Basking Ridge|Basking Ridge CDP
34|04120|Beach Haven West|Beach Haven West CDP
34|04252|Beattystown|Beattystown CDP
34|04400|Beckett|Beckett CDP
34|04420|Bedminster|Bedminster CDP
34|04540|Beesleys Point|Beesleys Point CDP
34|04600|Belford|Belford CDP
34|04630|Belle Mead|Belle Mead CDP
34|04660|Belleplain|Belleplain CDP
34|06025|Blackwells Mills|Blackwells Mills CDP
34|06040|Blackwood|Blackwood CDP
34|06130|Blairstown|Blairstown CDP
34|06190|Blawenburg|Blawenburg CDP
34|07000|Bradley Gardens|Bradley Gardens CDP
34|07120|Brainards|Brainards CDP
34|07360|Brass Castle|Brass Castle CDP
34|07570|Bridgeport|Bridgeport CDP
34|07660|Bridgeville|Bridgeville CDP
34|07728|Bridgewater Center|Bridgewater Center CDP
34|08020|Broadway|Broadway CDP
34|08110|Brookdale|Brookdale CDP
34|08140|Brookfield|Brookfield CDP
34|08260|Brookside|Brookside CDP
34|08455|Browns Mills|Browns Mills CDP
34|08492|Brownville|Brownville CDP
34|08620|Budd Lake|Budd Lake CDP
34|08890|Burleigh|Burleigh CDP
34|09100|Buttzville|Buttzville CDP
34|09170|Byram Center|Byram Center CDP
34|10300|Cape May Court House|Cape May Court House CDP
34|10450|Carlls Corner|Carlls Corner CDP
34|10600|Carneys Point|Carneys Point CDP
34|11140|Cedar Glen Lakes|Cedar Glen Lakes CDP
34|11155|Cedar Glen West|Cedar Glen West CDP
34|11290|Cedar Knolls|Cedar Knolls CDP
34|11410|Cedarville|Cedarville CDP
34|11770|Centre Grove|Centre Grove CDP
34|12385|Cherry Hill Mall|Cherry Hill Mall CDP
34|13395|Clearbrook|Clearbrook CDP
34|13630|Cliffwood Beach|Cliffwood Beach CDP
34|13990|Clyde|Clyde CDP
34|14230|Collings Lakes|Collings Lakes CDP
34|14350|Cologne|Cologne CDP
34|14380|Colonia|Colonia CDP
34|14590|Columbia|Columbia CDP
34|14758|Concordia|Concordia CDP
34|14815|Connecticut Farms|Connecticut Farms CDP
34|14980|Cookstown|Cookstown CDP
34|15250|Country Lake Estates|Country Lake Estates CDP
34|15520|Cranbury|Cranbury CDP
34|15610|Crandon Lakes|Crandon Lakes CDP
34|15638|Cranford|Cranford CDP
34|15730|Cream Ridge|Cream Ridge CDP
34|15910|Crestwood Village|Crestwood Village CDP
34|16060|Crosswicks|Crosswicks CDP
34|16278|Cumberland-Hesstown|Cumberland-Hesstown CDP
34|16630|Dayton|Dayton CDP
34|16720|Deans|Deans CDP
34|16960|Deerfield Street|Deerfield Street CDP
