STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
34|001|00000|County subdivisions not defined|County subdivisions not defined
34|001|00100|Absecon|Absecon city
34|001|02080|Atlantic City|Atlantic City city
34|001|07810|Brigantine|Brigantine city
34|001|08680|Buena|Buena borough
34|001|08710|Buena Vista|Buena Vista township
34|001|15160|Corbin City|Corbin City city
34|001|20290|Egg Harbor|Egg Harbor township
34|001|20350|Egg Harbor City|Egg Harbor City city
34|001|21870|Estell Manor|Estell Manor city
34|001|23940|Folsom|Folsom borough
34|001|25560|Galloway|Galloway township
34|001|29280|Hamilton|Hamilton township
34|001|29430|Hammonton|Hammonton town
34|001|40530|Linwood|Linwood city
34|001|41370|Longport|Longport borough
34|001|43890|Margate City|Margate City city
34|001|49410|Mullica|Mullica township
34|001|52950|Northfield|Northfield city
34|001|59640|Pleasantville|Pleasantville city
34|001|60600|Port Republic|Port Republic city
34|001|68430|Somers Point|Somers Point city
34|001|75620|Ventnor City|Ventnor City city
34|001|80330|Weymouth|Weymouth township
34|003|00700|Allendale|Allendale borough
34|003|01090|Alpine|Alpine borough
34|003|05170|Bergenfield|Bergenfield borough
34|003|06490|Bogota|Bogota borough
34|003|10480|Carlstadt|Carlstadt borough
34|003|13570|Cliffside Park|Cliffside Park borough
34|003|13810|Closter|Closter borough
34|003|15820|Cresskill|Cresskill borough
34|003|17530|Demarest|Demarest borough
34|003|18400|Dumont|Dumont borough
34|003|19510|East Rutherford|East Rutherford borough
34|003|20020|Edgewater|Edgewater borough
34|003|21300|Elmwood Park|Elmwood Park borough
34|003|21450|Emerson|Emerson borough
34|003|21480|Englewood|Englewood city
34|003|21510|Englewood Cliffs|Englewood Cliffs borough
34|003|22470|Fair Lawn|Fair Lawn borough
34|003|22560|Fairview|Fairview borough
34|003|24420|Fort Lee|Fort Lee borough
34|003|24990|Franklin Lakes|Franklin Lakes borough
34|003|25770|Garfield|Garfield city
34|003|26640|Glen Rock|Glen Rock borough
34|003|28680|Hackensack|Hackensack city
34|003|30150|Harrington Park|Harrington Park borough
34|003|30420|Hasbrouck Heights|Hasbrouck Heights borough
34|003|30540|Haworth|Haworth borough
34|003|31920|Hillsdale|Hillsdale borough
34|003|32310|Ho-Ho-Kus|Ho-Ho-Kus borough
34|003|40020|Leonia|Leonia borough
34|003|40680|Little Ferry|Little Ferry borough
34|003|41100|Lodi|Lodi borough
34|003|42090|Lyndhurst|Lyndhurst township
34|003|42750|Mahwah|Mahwah township
