STATEFP|DISTRICT|NAME|NAMELSAD
34|00690|Alexandria Township School District|Alexandria Township School District
34|00750|Allendale Borough School District|Allendale Borough School District
34|01020|Atlantic Highlands Borough School District|Atlantic Highlands Borough School District
34|01200|Bass River Township School District|Bass River Township School District
34|01290|Beach Haven Borough School District|Beach Haven Borough School District
34|01380|Bellmawr Borough School District|Bellmawr Borough School District
34|01560|Berkeley Township School District|Berkeley Township School District
34|01590|Berlin Borough School District|Berlin Borough School District
34|01710|Bethlehem Township School District|Bethlehem Township School District
34|01800|Blairstown Township School District|Blairstown Township School District
34|02550|Byram Township School District|Byram Township School District
34|02610|Califon Borough School District|Califon Borough School District
34|02700|Cape May City School District|Cape May City School District
34|02790|Carlstadt Borough School District|Carlstadt Borough School District
34|03060|Chester Township School District|Chester Township School District
34|03090|Chesterfield Township School District|Chesterfield Township School District
34|03330|Clinton Town-Glen Gardner School District|Clinton Town-Glen Gardner School District
34|03360|Clinton Township School District|Clinton Township School District
34|03390|Closter Borough School District|Closter Borough School District
34|03450|Colts Neck Township School District|Colts Neck Township School District
34|03660|Deerfield Township School District|Deerfield Township School District
34|03720|Delaware Township School District|Delaware Township School District
34|03810|Demarest Borough School District|Demarest Borough School District
34|03870|Denville Township School District|Denville Township School District
34|04050|Eagleswood Township School District|Eagleswood Township School District
34|04080|East Amwell Township School District|East Amwell Township School District
34|04140|East Greenwich Township School District|East Greenwich Township School District
34|04170|East Hanover Township School District|East Hanover Township School District
34|04290|East Rutherford Borough School District|East Rutherford Borough School District
34|04350|Eastampton Township School District|Eastampton Township School District
34|04410|Eatontown Borough School District|Eatontown Borough School District
34|04530|Egg Harbor City School District|Egg Harbor City School District
34|04620|Elk Township School District|Elk Township School District
34|04830|Essex Fells Borough School District|Essex Fells Borough School District
34|04890|Evesham Township School District|Evesham Township School District
34|04950|Fair Haven Borough School District|Fair Haven Borough School District
34|05010|Fairfield Township School District|Fairfield Township School District
34|05040|Fairfield Township School District|Fairfield Township School District
34|05130|Farmingdale Borough School District|Farmingdale Borough School District
34|05190|Flemington-Raritan Regional School District|Flemington-Raritan Regional School District
34|05250|Florham Park Borough School District|Florham Park Borough School District
34|05340|Frankford Township School District|Frankford Township School District
34|05370|Franklin Lakes Borough School District|Franklin Lakes Borough School District
34|05400|Franklin Borough School District|Franklin Borough School District
34|05430|Franklin Township School District|Franklin Township School District
34|05460|Franklin Township School District|Franklin Township School District
34|05520|Franklin Township School District|Franklin Township School District
34|05550|Fredon Township School District|Fredon Township School District
34|05580|Freehold Borough School District|Freehold Borough School District
34|05640|Freehold Township School District|Freehold Township School District
34|05670|Frelinghuysen Township School District|Frelinghuysen Township School District
34|05700|Frenchtown Borough School District|Frenchtown Borough School District
34|05730|Galloway Township School District|Galloway Township School District
34|05850|Gibbsboro Borough School District|Gibbsboro Borough School District
34|06030|Gloucester Township School District|Gloucester Township School District
34|06150|Greenwich Township School District|Greenwich Township School District
34|06420|Hainesport Township School District|Hainesport Township School District
34|06450|Haledon Borough School District|Haledon Borough School District
34|06480|Hamburg Borough School District|Hamburg Borough School District
34|06510|Hamilton Township School District|Hamilton Township School District
34|06600|Hampton Borough School District|Hampton Borough School District
34|06630|Hampton Township School District|Hampton Township School District
34|06690|Hanover Township School District|Hanover Township School District
34|06780|Hardyston Township School District|Hardyston Township School District
34|06840|Harrington Park Borough School District|Harrington Park Borough School District
34|06900|Harrison Township School District|Harrison Township School District
34|06960|Haworth Borough School District|Haworth Borough School District
34|07110|High Bridge Borough School District|High Bridge Borough School District
34|07200|Highlands Borough School District|Highlands Borough School District
34|07260|Hillsdale Borough School District|Hillsdale Borough School District
34|07380|Holland Township School District|Holland Township School District
34|07500|Hopewell Township School District|Hopewell Township School District
34|07560|Howell Township School District|Howell Township School District
34|07710|Island Heights Borough School District|Island Heights Borough School District
34|08010|Kingwood Township School District|Kingwood Township School District
34|08070|Knowlton Township School District|Knowlton Township School District
34|08130|Lafayette Township School District|Lafayette Township School District
34|08430|Lebanon Borough School District|Lebanon Borough School District
34|08460|Lebanon Township School District|Lebanon Township School District
34|08670|Linwood City School District|Linwood City School District
34|08700|Little Egg Harbor Township School District|Little Egg Harbor Township School District
34|08730|Little Falls Township School District|Little Falls Township School District
34|08790|Little Silver Borough School District|Little Silver Borough School District
34|08910|Long Beach Island School District|Long Beach Island School District
34|09150|Lower Township School District|Lower Township School District
34|09180|Lumberton Township School District|Lumberton Township School District
34|09300|Magnolia Borough School District|Magnolia Borough School District
34|09390|Manalapan-Englishtown Regional School District|Manalapan-Englishtown Regional School District
34|09510|Mansfield Township School District|Mansfield Township School District
34|09540|Mansfield Township School District|Mansfield Township School District
34|09600|Mantua Township School District|Mantua Township School District
34|09720|Marlboro Township School District|Marlboro Township School District
34|09840|Medford Lakes Borough School District|Medford Lakes Borough School District
34|09870|Medford Township School District|Medford Township School District
34|09900|Mendham Borough School District|Mendham Borough School District
34|09930|Mendham Township School District|Mendham Township School District
34|10170|Milford Borough School District|Milford Borough School District
34|10380|Monmouth Beach Borough School District|Monmouth Beach Borough School District
34|10620|Montvale Borough School District|Montvale Borough School District
34|10920|Mount Holly Township School District|Mount Holly Township School District
34|10950|Mount Laurel Township School District|Mount Laurel Township School District
34|11070|Mullica Township School District|Mullica Township School District
34|11100|National Park Borough School District|National Park Borough School District
34|11190|Netcong Borough School District|Netcong Borough School District
34|11520|North Caldwell Borough School District|North Caldwell Borough School District
34|11550|North Haledon Borough School District|North Haledon Borough School District
34|11580|North Hanover Township School District|North Hanover Township School District
34|11790|Northfield City School District|Northfield City School District
34|11820|Northvale Borough School District|Northvale Borough School District
34|11850|Norwood Borough School District|Norwood Borough School District
34|11910|Oakland Borough School District|Oakland Borough School District
34|12030|Ocean Gate Borough School District|Ocean Gate Borough School District
34|12120|Oceanport Borough School District|Oceanport Borough School District
34|12150|Ogdensburg Borough School District|Ogdensburg Borough School District
34|12180|Old Tappan Borough School District|Old Tappan Borough School District
34|12240|Oradell Borough School District|Oradell Borough School District
34|12660|Long Hill Township School District|Long Hill Township School District
34|13470|Prospect Park Borough School District|Prospect Park Borough School District
34|13710|Readington Township School District|Readington Township School District
34|13740|Red Bank Borough School District|Red Bank Borough School District
34|13860|Ringwood Borough School District|Ringwood Borough School District
34|13890|River Edge Borough School District|River Edge Borough School District
34|13950|River Vale Township School District|River Vale Township School District
34|14100|Rockaway Borough School District|Rockaway Borough School District
34|14130|Rockaway Township School District|Rockaway Township School District
34|14250|Roseland Borough School District|Roseland Borough School District
34|14370|Rumson Borough School District|Rumson Borough School District
34|14430|Runnemede Borough School District|Runnemede Borough School District
34|14610|Sandyston-Walpack Township School District|Sandyston-Walpack Township School District
34|14790|Seaside Heights Borough School District|Seaside Heights Borough School District
34|14820|Seaside Park Borough School District|Seaside Park Borough School District
34|14880|Shamong Township School District|Shamong Township School District
34|14970|Shrewsbury Borough School District|Shrewsbury Borough School District
34|15000|Somerdale Borough School District|Somerdale Borough School District
34|15030|Somers Point City School District|Somers Point City School District
34|15270|South Harrison Township School District|South Harrison Township School District
34|15420|Southampton Township School District|Southampton Township School District
34|15660|Springfield Township School District|Springfield Township School District
34|15690|Stafford Township School District|Stafford Township School District
34|15720|Stanhope Borough School District|Stanhope Borough School District
34|15750|Stillwater Township School District|Stillwater Township School District
34|15840|Stow Creek Township School District|Stow Creek Township School District
34|15870|Stratford Borough School District|Stratford Borough School District
34|15960|Sussex-Wantage Regional School District|Sussex-Wantage Regional School District
34|15990|Swedesboro-Woolwich School District|Swedesboro-Woolwich School District
34|16020|Tabernacle Township School District|Tabernacle Township School District
34|16170|Tewksbury Township School District|Tewksbury Township School District
34|16200|Tinton Falls Borough School District|Tinton Falls Borough School District
34|16260|Totowa Borough School District|Totowa Borough School District
34|16320|Tuckerton Borough School District|Tuckerton Borough School District
34|16440|Union Township School District|Union Township School District
34|16530|Upper Deerfield Township School District|Upper Deerfield Township School District
34|16620|Upper Saddle River Borough School District|Upper Saddle River Borough School District
34|16830|Voorhees Township School District|Voorhees Township School District
34|16950|Wanaque Borough School District|Wanaque Borough School District
34|16980|Warren Township School District|Warren Township School District
34|17010|Washington Borough School District|Washington Borough School District
34|17130|Washington Township School District|Washington Township School District
34|17160|Washington Township School District|Washington Township School District
34|17190|Watchung Borough School District|Watchung Borough School District
34|17340|Wenonah Borough School District|Wenonah Borough School District
34|17400|West Cape May Borough School District|West Cape May Borough School District
34|17490|West Long Branch Borough School District|West Long Branch Borough School District
34|17640|Woodland Park Borough School District|Woodland Park Borough School District
34|17730|Westampton Township School District|Westampton Township School District
34|17790|Westville Borough School District|Westville Borough School District
34|17880|Wharton Borough School District|Wharton Borough School District
34|18180|Woodbury Heights Borough School District|Woodbury Heights Borough School District
34|18210|Woodcliff Lake Borough School District|Woodcliff Lake Borough School District
34|18240|Woodland Township School District|Woodland Township School District
34|18360|Wyckoff Township School District|Wyckoff Township School District
