STATEFP|DISTRICT|NAME|NAMELSAD
34|00004|The Chathams School District|The Chathams School District
34|00008|Great Meadows Regional School District|Great Meadows Regional School District
34|00009|Somerset Hills Regional School District|Somerset Hills Regional School District
34|00660|Absecon City School District|Absecon City School District
34|00720|Allamuchy Township School District|Allamuchy Township School District
34|00769|South Hunterdon Regional School District|South Hunterdon Regional School District
34|00780|Allenhurst Borough School District|Allenhurst Borough School District
34|00790|Loch Arbour School District|Loch Arbour School District
34|00810|Alloway Township School District|Alloway Township School District
34|00840|Alpha Borough School District|Alpha Borough School District
34|00870|Alpine Borough School District|Alpine Borough School District
34|00900|Andover Regional School District|Andover Regional School District
34|00930|Asbury Park City School District|Asbury Park City School District
34|00960|Atlantic City School District|Atlantic City School District
34|01050|Audubon Borough School District|Audubon Borough School District
34|01110|Avalon Borough School District|Avalon Borough School District
34|01140|Avon-by-the-Sea Borough School District|Avon-by-the-Sea Borough School District
34|01170|Barrington Borough School District|Barrington Borough School District
34|01230|Bay Head Borough School District|Bay Head Borough School District
34|01260|Bayonne City School District|Bayonne City School District
34|01320|Bedminster Township School District|Bedminster Township School District
34|01350|Belleville Town School District|Belleville Town School District
34|01410|Belmar Borough School District|Belmar Borough School District
34|01440|Belvidere Town School District|Belvidere Town School District
34|01500|Bergenfield Borough School District|Bergenfield Borough School District
34|01530|Berkeley Heights Township School District|Berkeley Heights Township School District
34|01620|Berlin Township School District|Berlin Township School District
34|01650|Bernards Township School District|Bernards Township School District
34|01740|Beverly City School District|Beverly City School District
34|01830|Bloomfield Township School District|Bloomfield Township School District
34|01860|Bloomingdale Borough School District|Bloomingdale Borough School District
34|01890|Bloomsbury Borough School District|Bloomsbury Borough School District
34|01920|Bogota Borough School District|Bogota Borough School District
34|01950|Boonton Town School District|Boonton Town School District
34|01980|Boonton Township School District|Boonton Township School District
34|02030|Bordentown Regional School District|Bordentown Regional School District
34|02100|Bound Brook Borough School District|Bound Brook Borough School District
34|02130|Bradley Beach Borough School District|Bradley Beach Borough School District
34|02160|Branchburg Township School District|Branchburg Township School District
34|02220|Brick Township School District|Brick Township School District
34|02250|Bridgeton City School District|Bridgeton City School District
34|02280|Bridgewater-Raritan Regional School District|Bridgewater-Raritan Regional School District
34|02310|Brielle Borough School District|Brielle Borough School District
