STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
34|001|005101|Absecon city ward 1 voting district 1|Absecon city ward 1 voting district 1
34|001|005102|Absecon city ward 1 voting district 2|Absecon city ward 1 voting district 2
34|001|005103|Absecon city ward 1 voting district 3|Absecon city ward 1 voting district 3
34|001|005201|Absecon city ward 2 voting district 1|Absecon city ward 2 voting district 1
34|001|005202|Absecon city ward 2 voting district 2|Absecon city ward 2 voting district 2
34|001|005203|Absecon city ward 2 voting district 3|Absecon city ward 2 voting district 3
34|001|010101|Atlantic City city ward 1 voting district 1|Atlantic City city ward 1 voting district 1
34|001|010102|Atlantic City city ward 1 voting district 2|Atlantic City city ward 1 voting district 2
34|001|010103|Atlantic City city ward 1 voting district 3|Atlantic City city ward 1 voting district 3
34|001|010104|Atlantic City city ward 1 voting district 4|Atlantic City city ward 1 voting district 4
34|001|010201|Atlantic City city ward 2 voting district 1|Atlantic City city ward 2 voting district 1
34|001|010202|Atlantic City city ward 2 voting district 2|Atlantic City city ward 2 voting district 2
34|001|010203|Atlantic City city ward 2 voting district 3|Atlantic City city ward 2 voting district 3
34|001|010301|Atlantic City city ward 3 voting district 1|Atlantic City city ward 3 voting district 1
34|001|010302|Atlantic City city ward 3 voting district 2|Atlantic City city ward 3 voting district 2
34|001|010303|Atlantic City city ward 3 voting district 3|Atlantic City city ward 3 voting district 3
34|001|010304|Atlantic City city ward 3 voting district 4|Atlantic City city ward 3 voting district 4
34|001|010401|Atlantic City city ward 4 voting district 1|Atlantic City city ward 4 voting district 1
34|001|010402|Atlantic City city ward 4 voting district 2|Atlantic City city ward 4 voting district 2
34|001|010403|Atlantic City city ward 4 voting district 3|Atlantic City city ward 4 voting district 3
34|001|010404|Atlantic City city ward 4 voting district 4|Atlantic City city ward 4 voting district 4
34|001|010501|Atlantic City city ward 5 voting district 1|Atlantic City city ward 5 voting district 1
34|001|010502|Atlantic City city ward 5 voting district 2|Atlantic City city ward 5 voting district 2
34|001|010601|Atlantic City city ward 6 voting district 1|Atlantic City city ward 6 voting district 1
34|001|010602|Atlantic City city ward 6 voting district 2|Atlantic City city ward 6 voting district 2
34|001|010603|Atlantic City city ward 6 voting district 3|Atlantic City city ward 6 voting district 3
34|001|010604|Atlantic City city ward 6 voting district 4|Atlantic City city ward 6 voting district 4
34|001|015101|Brigantine city ward 1 voting district 1|Brigantine city ward 1 voting district 1
34|001|015201|Brigantine city ward 2 voting district 1|Brigantine city ward 2 voting district 1
34|001|015301|Brigantine city ward 3 voting district 1|Brigantine city ward 3 voting district 1
34|001|015401|Brigantine city ward 4 voting district 1|Brigantine city ward 4 voting district 1
34|001|020001|Buena borough voting district 1|Buena borough voting district 1
34|001|020002|Buena borough voting district 2|Buena borough voting district 2
34|001|025001|Buena Vista township voting district 1|Buena Vista township voting district 1
34|001|025002|Buena Vista township voting district 2|Buena Vista township voting district 2
34|001|025003|Buena Vista township voting district 3|Buena Vista township voting district 3
34|001|025004|Buena Vista township voting district 4|Buena Vista township voting district 4
34|001|030101|Corbin City city ward 1 voting district 1|Corbin City city ward 1 voting district 1
34|001|040001|Egg Harbor township voting district 1|Egg Harbor township voting district 1
34|001|040002|Egg Harbor township voting district 2|Egg Harbor township voting district 2
34|001|040003|Egg Harbor township voting district 3|Egg Harbor township voting district 3
34|001|040004|Egg Harbor township voting district 4|Egg Harbor township voting district 4
34|001|040005|Egg Harbor township voting district 5|Egg Harbor township voting district 5
34|001|040006|Egg Harbor township voting district 6|Egg Harbor township voting district 6
34|001|040007|Egg Harbor township voting district 7|Egg Harbor township voting district 7
34|001|040008|Egg Harbor township voting district 8|Egg Harbor township voting district 8
34|001|040009|Egg Harbor township voting district 9|Egg Harbor township voting district 9
34|001|040010|Egg Harbor township voting district 10|Egg Harbor township voting district 10
34|001|040011|Egg Harbor township voting district 11|Egg Harbor township voting district 11
34|001|040012|Egg Harbor township voting district 12|Egg Harbor township voting district 12
34|001|040013|Egg Harbor township voting district 13|Egg Harbor township voting district 13
34|001|040014|Egg Harbor township voting district 14|Egg Harbor township voting district 14
34|001|040015|Egg Harbor township voting district 15|Egg Harbor township voting district 15
34|001|040016|Egg Harbor township voting district 16|Egg Harbor township voting district 16
34|001|040017|Egg Harbor township voting district 17|Egg Harbor township voting district 17
34|001|040018|Egg Harbor township voting district 18|Egg Harbor township voting district 18
34|001|040019|Egg Harbor township voting district 19|Egg Harbor township voting district 19
34|001|040020|Egg Harbor township voting district 20|Egg Harbor township voting district 20
34|001|040021|Egg Harbor township voting district 21|Egg Harbor township voting district 21
34|001|040022|Egg Harbor township voting district 22|Egg Harbor township voting district 22
34|001|042101|Egg Harbor City city ward 1 voting district 1|Egg Harbor City city ward 1 voting district 1
34|001|042102|Egg Harbor City city ward 1 voting district 2|Egg Harbor City city ward 1 voting district 2
34|001|042103|Egg Harbor City city ward 1 voting district 3|Egg Harbor City city ward 1 voting district 3
34|001|042201|Egg Harbor City city ward 2 voting district 1|Egg Harbor City city ward 2 voting district 1
34|001|042202|Egg Harbor City city ward 2 voting district 2|Egg Harbor City city ward 2 voting district 2
34|001|042203|Egg Harbor City city ward 2 voting district 3|Egg Harbor City city ward 2 voting district 3
34|001|045001|Estell Manor city voting district 1|Estell Manor city voting district 1
34|001|050001|Folsom borough voting district 1|Folsom borough voting district 1
34|001|055001|Galloway township voting district 1|Galloway township voting district 1
34|001|055002|Galloway township voting district 2|Galloway township voting district 2
34|001|055003|Galloway township voting district 3|Galloway township voting district 3
34|001|055004|Galloway township voting district 4|Galloway township voting district 4
34|001|055005|Galloway township voting district 5|Galloway township voting district 5
34|001|055006|Galloway township voting district 6|Galloway township voting district 6
34|001|055007|Galloway township voting district 7|Galloway township voting district 7
34|001|055008|Galloway township voting district 8|Galloway township voting district 8
34|001|055009|Galloway township voting district 9|Galloway township voting district 9
34|001|055010|Galloway township voting district 10|Galloway township voting district 10
34|001|055011|Galloway township voting district 11|Galloway township voting district 11
34|001|055012|Galloway township voting district 12|Galloway township voting district 12
34|001|055013|Galloway township voting district 13|Galloway township voting district 13
34|001|055014|Galloway township voting district 14|Galloway township voting district 14
34|001|055015|Galloway township voting district 15|Galloway township voting district 15
34|001|055016|Galloway township voting district 16|Galloway township voting district 16
34|001|055017|Galloway township voting district 17|Galloway township voting district 17
34|001|060001|Hamilton township voting district 1|Hamilton township voting district 1
34|001|060002|Hamilton township voting district 2|Hamilton township voting district 2
34|001|060003|Hamilton township voting district 3|Hamilton township voting district 3
34|001|060004|Hamilton township voting district 4|Hamilton township voting district 4
34|001|060005|Hamilton township voting district 5|Hamilton township voting district 5
34|001|060006|Hamilton township voting district 6|Hamilton township voting district 6
34|001|060007|Hamilton township voting district 7|Hamilton township voting district 7
34|001|060008|Hamilton township voting district 8|Hamilton township voting district 8
34|001|060009|Hamilton township voting district 9|Hamilton township voting district 9
34|001|060010|Hamilton township voting district 10|Hamilton township voting district 10
34|001|060011|Hamilton township voting district 11|Hamilton township voting district 11
34|001|060012|Hamilton township voting district 12|Hamilton township voting district 12
34|001|060013|Hamilton township voting district 13|Hamilton township voting district 13
34|001|065001|Hammonton town voting district 1|Hammonton town voting district 1
34|001|065002|Hammonton town voting district 2|Hammonton town voting district 2
34|001|065003|Hammonton town voting district 3|Hammonton town voting district 3
34|001|065004|Hammonton town voting district 4|Hammonton town voting district 4
34|001|065005|Hammonton town voting district 5|Hammonton town voting district 5
34|001|065006|Hammonton town voting district 6|Hammonton town voting district 6
34|001|065007|Hammonton town voting district 7|Hammonton town voting district 7
34|001|070101|Linwood city ward 1 voting district 1|Linwood city ward 1 voting district 1
34|001|070102|Linwood city ward 1 voting district 2|Linwood city ward 1 voting district 2
34|001|070201|Linwood city ward 2 voting district 1|Linwood city ward 2 voting district 1
34|001|070202|Linwood city ward 2 voting district 2|Linwood city ward 2 voting district 2
34|001|070203|Linwood city ward 2 voting district 3|Linwood city ward 2 voting district 3
34|001|075001|Longport borough voting district 1|Longport borough voting district 1
34|001|080001|Margate City city voting district 1|Margate City city voting district 1
34|001|080002|Margate City city voting district 2|Margate City city voting district 2
34|001|080003|Margate City city voting district 3|Margate City city voting district 3
34|001|080004|Margate City city voting district 4|Margate City city voting district 4
34|001|085101|Mullica township ward 1 voting district 1|Mullica township ward 1 voting district 1
34|001|085201|Mullica township ward 2 voting district 1|Mullica township ward 2 voting district 1
34|001|085301|Mullica township ward 3 voting district 1|Mullica township ward 3 voting district 1
34|001|090101|Northfield city ward 1 voting district 1|Northfield city ward 1 voting district 1
34|001|090102|Northfield city ward 1 voting district 2|Northfield city ward 1 voting district 2
34|001|090103|Northfield city ward 1 voting district 3|Northfield city ward 1 voting district 3
34|001|090104|Northfield city ward 1 voting district 4|Northfield city ward 1 voting district 4
34|001|090201|Northfield city ward 2 voting district 1|Northfield city ward 2 voting district 1
34|001|090202|Northfield city ward 2 voting district 2|Northfield city ward 2 voting district 2
34|001|090203|Northfield city ward 2 voting district 3|Northfield city ward 2 voting district 3
34|001|090204|Northfield city ward 2 voting district 4|Northfield city ward 2 voting district 4
34|001|095101|Pleasantville city ward 1 voting district 1|Pleasantville city ward 1 voting district 1
34|001|095102|Pleasantville city ward 1 voting district 2|Pleasantville city ward 1 voting district 2
34|001|095103|Pleasantville city ward 1 voting district 3|Pleasantville city ward 1 voting district 3
34|001|095104|Pleasantville city ward 1 voting district 4|Pleasantville city ward 1 voting district 4
34|001|095201|Pleasantville city ward 2 voting district 1|Pleasantville city ward 2 voting district 1
34|001|095202|Pleasantville city ward 2 voting district 2|Pleasantville city ward 2 voting district 2
