STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
36|001|01000|Albany|Albany city
36|001|06211|Berne|Berne town
36|001|06354|Bethlehem|Bethlehem town
36|001|16694|Coeymans|Coeymans town
36|001|16749|Cohoes|Cohoes city
36|001|17343|Colonie|Colonie town
36|001|30532|Green Island|Green Island town
36|001|31104|Guilderland|Guilderland town
36|001|40002|Knox|Knox town
36|001|50672|New Scotland|New Scotland town
36|001|61181|Rensselaerville|Rensselaerville town
36|001|78674|Watervliet|Watervliet city
36|001|79851|Westerlo|Westerlo town
36|003|01209|Alfred|Alfred town
36|003|01319|Allen|Allen town
36|003|01429|Alma|Alma town
36|003|01451|Almond|Almond town
36|003|02011|Amity|Amity town
36|003|02154|Andover|Andover town
36|003|02187|Angelica|Angelica town
36|003|05573|Belfast|Belfast town
36|003|06717|Birdsall|Birdsall town
36|003|07201|Bolivar|Bolivar town
36|003|11253|Burns|Burns town
36|003|12243|Caneadea|Caneadea town
36|003|13475|Centerville|Centerville town
36|003|15990|Clarksville|Clarksville town
36|003|19367|Cuba|Cuba town
36|003|27705|Friendship|Friendship town
36|003|28563|Genesee|Genesee town
36|003|29905|Granger|Granger town
36|003|30994|Grove|Grove town
36|003|36112|Hume|Hume town
36|003|37297|Independence|Independence town
36|003|50375|New Hudson|New Hudson town
36|003|54523|Oil Springs|Oil Springs Reservation
36|003|64166|Rushford|Rushford town
36|003|65772|Scio|Scio town
36|003|78201|Ward|Ward town
36|003|79103|Wellsville|Wellsville town
36|003|79202|West Almond|West Almond town
36|003|82095|Willing|Willing town
36|003|82623|Wirt|Wirt town
36|005|08510|Bronx|Bronx borough
36|007|04429|Barker|Barker town
36|007|06607|Binghamton|Binghamton city
36|007|06618|Binghamton|Binghamton town
36|007|15110|Chenango|Chenango town
36|007|17046|Colesville|Colesville town
36|007|17772|Conklin|Conklin town
36|007|20588|Dickinson|Dickinson town
36|007|25604|Fenton|Fenton town
36|007|39837|Kirkwood|Kirkwood town
36|007|42653|Lisle|Lisle town
36|007|44611|Maine|Maine town
36|007|49396|Nanticoke|Nanticoke town
36|007|65112|Sanford|Sanford town
36|007|75319|Triangle|Triangle town
36|007|76056|Union|Union town
36|007|77255|Vestal|Vestal town
36|007|82535|Windsor|Windsor town
36|009|01297|Allegany|Allegany town
36|009|01308|Allegany|Allegany Reservation
36|009|02759|Ashford|Ashford town
36|009|12661|Carrollton|Carrollton town
36|009|13035|Cattaraugus|Cattaraugus Reservation
36|009|16903|Coldspring|Coldspring town
36|009|17684|Conewango|Conewango town
36|009|19840|Dayton|Dayton town
36|009|22678|East Otto|East Otto town
36|009|24031|Ellicottville|Ellicottville town
36|009|25340|Farmersville|Farmersville town
36|009|27342|Franklinville|Franklinville town
36|009|27441|Freedom|Freedom town
36|009|30257|Great Valley|Great Valley town
36|009|34946|Hinsdale|Hinsdale town
