STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
37|001|000001|PATTERSON|PATTERSON
37|001|000002|COBLE|COBLE
37|001|000004|MORTON|MORTON
37|001|000005|FAUCETTE|FAUCETTE
37|001|000007|ALBRIGHT|ALBRIGHT
37|001|000011|PLEASANT GROVE|PLEASANT GROVE
37|001|000013|HAW RIVER|HAW RIVER
37|001|000035|BOONE 5|BOONE 5
37|001|00003C|CENTRAL BOONE|CENTRAL BOONE
37|001|00003N|NORTH BOONE|NORTH BOONE
37|001|00003S|SOUTH BOONE|SOUTH BOONE
37|001|00003W|WEST BOONE|WEST BOONE
37|001|000063|GRAHAM 3|GRAHAM 3
37|001|000064|GRAHAM 4|GRAHAM 4
37|001|00006E|EAST GRAHAM|EAST GRAHAM
37|001|00006N|NORTH GRAHAM|NORTH GRAHAM
37|001|00006S|SOUTH GRAHAM|SOUTH GRAHAM
37|001|00006W|WEST GRAHAM|WEST GRAHAM
37|001|00008N|NORTH NEWLIN|NORTH NEWLIN
37|001|00008S|SOUTH NEWLIN|SOUTH NEWLIN
37|001|00009N|NORTH THOMPSON|NORTH THOMPSON
37|001|00009S|SOUTH THOMPSON|SOUTH THOMPSON
37|001|000103|MELVILLE 3|MELVILLE 3
37|001|00010N|NORTH MELVILLE|NORTH MELVILLE
37|001|00010S|SOUTH MELVILLE|SOUTH MELVILLE
37|001|000124|BURLINGTON 4|BURLINGTON 4
37|001|000125|BURLINGTON 5|BURLINGTON 5
37|001|000126|BURLINGTON 6|BURLINGTON 6
37|001|000127|BURLINGTON 7|BURLINGTON 7
37|001|000128|BURLINGTON 8|BURLINGTON 8
37|001|000129|BURLINGTON 9|BURLINGTON 9
37|001|00012E|EAST BURLINGTON|EAST BURLINGTON
37|001|00012N|NORTH BURLINGTON|NORTH BURLINGTON
37|001|00012S|SOUTH BURLINGTON|SOUTH BURLINGTON
37|001|00012W|WEST BURLINGTON|WEST BURLINGTON
37|001|0003N2|NORTH BOONE 2|NORTH BOONE 2
37|001|001210|BURLINGTON 10|BURLINGTON 10
37|003|00000E|ELLENDALE|ELLENDALE
37|003|00000M|MILLERS|MILLERS
37|003|00000W|WITTENBURG|WITTENBURG
37|003|0000B1|BETHLEHEM 1|BETHLEHEM 1
37|003|0000B2|BETHLEHEM 2|BETHLEHEM 2
37|003|00G1G2|GWALTNEY 1 2|GWALTNEY 1 2
37|003|00LRSL|LITTLE RIVER AND SUGAR LOAF|LITTLE RIVER AND SUGAR LOAF
37|003|00S1S2|SHARPES 1 2|SHARPES 1 2
37|003|00T2T3|TAYLORSVILLE 2 3|TAYLORSVILLE 2 3
37|003|T1T4T5|TAYLORSVILLE 1 4 5|TAYLORSVILLE 1 4 5
37|005|000001|CHERRY LANE|CHERRY LANE
37|005|000004|GLADE CREEK|GLADE CREEK
37|005|00003A|GAP CIVIL|GAP CIVIL
37|005|00006A|PRATHERS CREEK|PRATHERS CREEK
37|007|0000MM|MORVEN/MCFARLAN|MORVEN/MCFARLAN
37|007|0000WS|WHITE STORE|WHITE STORE
37|007|000ANS|ANSONVILLE|ANSONVILLE
37|007|00BURN|BURNSVILLE|BURNSVILLE
37|007|00GULL|GULLEDGE|GULLEDGE
37|007|00LILE|LILESVILLE|LILESVILLE
37|007|00PEAC|PEACHLAND|PEACHLAND
37|007|00POLK|POLKTON|POLKTON
37|007|0WADES|Wadesboro|Wadesboro
37|009|000002|CLIFTON|CLIFTON
37|009|000003|CRESTON|CRESTON
37|009|000004|ELK|ELK
37|009|000006|HELTON|HELTON
37|009|000007|HORSE CREEK|HORSE CREEK
37|009|000008|HURRICANE|HURRICANE
37|009|000009|JEFFERSON|JEFFERSON
37|009|000010|LAUREL|LAUREL
37|009|000011|NEW RIVER|NEW RIVER
37|009|000012|NORTH FORK|NORTH FORK
37|009|000013|0BIDS|0BIDS
37|009|000014|OLD FIELDS|OLD FIELDS
37|009|000015|PEAK CREEK|PEAK CREEK
37|009|000016|PINE SWAMP|PINE SWAMP
37|009|000017|PINEY CREEK|PINEY CREEK
37|009|000018|POND MOUNTAIN|POND MOUNTAIN
37|009|000020|WEST JEFFERSON|WEST JEFFERSON
37|011|000001|ALTAMONT|ALTAMONT
37|011|000002|BANNER ELK|BANNER ELK
37|011|000003|BEECH MOUNTAIN|BEECH MOUNTAIN
37|011|000004|CAREYS FLAT|CAREYS FLAT
37|011|000005|CRANBERRY|CRANBERRY
37|011|000006|ELK PARK|ELK PARK
37|011|000007|FRANK|FRANK
37|011|000008|HEATON|HEATON
37|011|000009|HUGHES|HUGHES
37|011|000010|INGALLS|INGALLS
37|011|000011|LINVILLE|LINVILLE
37|011|000012|MINNEAPOLIS|MINNEAPOLIS
37|011|000013|MONTEZUMA|MONTEZUMA
37|011|000014|NEWLAND 1|NEWLAND 1
37|011|000015|NEWLAND 2|NEWLAND 2
37|011|000016|PINEOLA|PINEOLA
37|011|000017|PLUMTREE|PLUMTREE
37|011|000018|PYATTE|PYATTE
37|011|000019|ROARING CREEK|ROARING CREEK
37|013|0000HB|HUNTERS BRIDGE|HUNTERS BRIDGE
37|013|00BLCK|BLOUNTS CREEK|BLOUNTS CREEK
37|013|00NCRK|NORTH CREEK|NORTH CREEK
37|013|00OLDF|OLD FORD|OLD FORD
37|013|00RVRD|RIVER ROAD|RIVER ROAD
37|013|00TCRK|TRANTERS CREEK|TRANTERS CREEK
37|013|00WDPD|WOODARDS POND|WOODARDS POND
37|013|0AUROR|AURORA|AURORA
37|013|0BEADM|BEAVER DAM|BEAVER DAM
37|013|0BELHV|BELHAVEN|BELHAVEN
37|013|0CHOCO|CHOCOWINITY|CHOCOWINITY
37|013|0EDWAR|EDWARD|EDWARD
37|013|0GILEA|GILEAD|GILEAD
37|013|0PANTE|PANTEGO|PANTEGO
37|013|0PINET|PINETOWN|PINETOWN
37|013|0PSJW3|P S JONES-WASH W3|P S JONES-WASH W3
37|013|0SURBA|SURRY-BATH|SURRY-BATH
37|013|0WASH1|WASHINGTON WARD 1|WASHINGTON WARD 1
37|013|0WASH2|WASHINGTON WARD 2|WASHINGTON WARD 2
37|013|0WASH4|WASHINGTON WARD 4|WASHINGTON WARD 4
37|013|0WASHP|WASHINGTON PARK|WASHINGTON PARK
37|015|0000C1|COLERAIN 1|COLERAIN 1
37|015|0000C2|COLERAIN 2|COLERAIN 2
37|015|0000IW|INDIAN WOODS|INDIAN WOODS
37|015|0000M1|MITCHELLS 1|MITCHELLS 1
37|015|0000M2|MITCHELLS 2|MITCHELLS 2
37|015|0000MH|MERRY HILL|MERRY HILL
37|015|0000RX|ROXOBEL|ROXOBEL
37|015|0000SN|SNAKEBITE|SNAKEBITE
37|015|0000W1|WINDSOR 1|WINDSOR 1
37|015|0000W2|WINDSOR 2|WINDSOR 2
37|015|0000WD|WOODVILLE|WOODVILLE
37|015|0000WH|WHITES|WHITES
37|017|000P10|ABBOTTS|ABBOTTS
37|017|000P15|BETHEL|BETHEL
37|017|000P25|BROWN MARSH|BROWN MARSH
37|017|000P30|CARVERS CREEK|CARVERS CREEK
37|017|000P35|CENTRAL|CENTRAL
37|017|000P40|COLLY|COLLY
37|017|000P45|CYPRESS CREEK|CYPRESS CREEK
37|017|000P55|FRENCHES CREEK|FRENCHES CREEK
37|017|000P60|HOLLOW|HOLLOW
37|017|000P65|LAKE CREEK|LAKE CREEK
37|017|000P70|TURNBULL|TURNBULL
37|017|000P75|WHITES CREEK|WHITES CREEK
37|017|000P80|WHITE OAK|WHITE OAK
37|017|00P201|BLADENBORO 1|BLADENBORO 1
37|017|00P202|BLADENBORO 2|BLADENBORO 2
37|017|00P501|ELIZABETHTOWN 1|ELIZABETHTOWN 1
37|017|00P502|ELIZABETHTOWN 2|ELIZABETHTOWN 2
37|019|000001|HOOD CREEK|HOOD CREEK
37|019|000002|LELAND|LELAND
37|019|000003|WOODBURN|WOODBURN
37|019|000005|TOWNCREEK|TOWNCREEK
37|019|000006|BOLIVIA|BOLIVIA
37|019|000007|SOUTHPORT 1|SOUTHPORT 1
37|019|000008|SOUTHPORT 2|SOUTHPORT 2
37|019|000009|OAK ISLAND 1|OAK ISLAND 1
37|019|000011|SUPPLY|SUPPLY
37|019|000012|SECESSION 1|SECESSION 1
37|019|000013|SHALLOTTE|SHALLOTTE
37|019|000014|FRYING PAN|FRYING PAN
37|019|000015|GRISSETTOWN|GRISSETTOWN
37|019|000016|SHINGLETREE 1|SHINGLETREE 1
37|019|000017|LONGWOOD|LONGWOOD
37|019|000018|WACCAMAW|WACCAMAW
37|019|000019|SHINGLETREE 2|SHINGLETREE 2
37|019|000020|SECESSION 2|SECESSION 2
37|019|000021|BOILING SPRING LAKES|BOILING SPRING LAKES
37|019|000022|OAK ISLAND 2|OAK ISLAND 2
37|019|000023|OAK ISLAND 3|OAK ISLAND 3
37|019|00004A|BELVILLE 1|BELVILLE 1
37|019|00010A|MOSQUITO 1|MOSQUITO 1
37|019|00010B|MOSQUITO 2|MOSQUITO 2
37|019|0004B2|04C1_04B1|04C1_04B1
37|021|0001.1|STEPHENS LEE COMMUNITY CENTER|STEPHENS LEE COMMUNITY CENTER
37|021|0002.1|MONTFORD COMMUNITY CENTER|MONTFORD COMMUNITY CENTER
37|021|0003.1|ST MARKS LUTHERAN CHURCH|ST MARKS LUTHERAN CHURCH
37|021|0004.1|NORTH ASHEVILLE COMMUNITY CENTER|NORTH ASHEVILLE COMMUNITY CENTER
37|021|0005.1|ST EUGENES CHURCH|ST EUGENES CHURCH
37|021|0006.1|TRINITY PRESBYTERIAN CHURCH|TRINITY PRESBYTERIAN CHURCH
37|021|0007.1|KENILWORTH PRESBYTERIAN CHURCH|KENILWORTH PRESBYTERIAN CHURCH
37|021|0008.2|SHILOH COMMUNITY CENTER|SHILOH COMMUNITY CENTER
37|021|0008.3|FAITH TABERNACLE CHRISTIAN CENTER|FAITH TABERNACLE CHRISTIAN CENTER
37|021|0009.1|MURPHY-OAKLEY COMMUNITY CENTER|MURPHY-OAKLEY COMMUNITY CENTER
37|021|0010.1|W C REID RECREATION CENTER|W C REID RECREATION CENTER
37|021|0011.1|ASHEVILLE SENIOR OPPORTUNITY CENTER|ASHEVILLE SENIOR OPPORTUNITY CENTER
37|021|0012.1|HALL FLETCHER SCHOOL|HALL FLETCHER SCHOOL
37|021|0013.1|WEST ASHEVILLE CHURCH OF GOD|WEST ASHEVILLE CHURCH OF GOD
37|021|0014.2|ASHEVILLE PRE-SCHOOL|ASHEVILLE PRE-SCHOOL
37|021|0014.3|ELIADA HOME - PAUL AMOS REC CENTER|ELIADA HOME - PAUL AMOS REC CENTER
37|021|0015.1|VANCE ELEMENTARY SCHOOL|VANCE ELEMENTARY SCHOOL
37|021|0016.2|WEST ASHEVILLE LIBRARY|WEST ASHEVILLE LIBRARY
37|021|0017.1|BETH ISRAEL SYNAGOGUE|BETH ISRAEL SYNAGOGUE
37|021|0018.2|TC ROBERSON HIGH SCHOOL|TC ROBERSON HIGH SCHOOL
37|021|0019.1|SKYLAND FIRE DEPARTMENT|SKYLAND FIRE DEPARTMENT
37|021|0020.1|ASHEVILLE APOSTOLIC CHURCH|ASHEVILLE APOSTOLIC CHURCH
37|021|0021.1|HAW CREEK ELEMENTARY SCHOOL|HAW CREEK ELEMENTARY SCHOOL
37|021|0022.2|IRA B JONES SCHOOL AUDITORIUM|IRA B JONES SCHOOL AUDITORIUM
37|021|0023.2|ASHEVILLE APOSTOLIC CHURCH|ASHEVILLE APOSTOLIC CHURCH
37|021|0023.3|EVERGREEN CHARTER SCHOOL|EVERGREEN CHARTER SCHOOL
37|021|0024.1|CROSSROADS ASSEMBLY|CROSSROADS ASSEMBLY
37|021|0025.1|CHARLES C BELL SCHOOL|CHARLES C BELL SCHOOL
37|021|0026.1|ASHEVILLE SCHOOL ATHLETIC CENTER|ASHEVILLE SCHOOL ATHLETIC CENTER
37|021|0027.2|BEAVERDAM COMMUNITY CENTER|BEAVERDAM COMMUNITY CENTER
37|021|0028.1|COVENANT REFORMED PRESBYTERIAN|COVENANT REFORMED PRESBYTERIAN
37|021|0029.2|NEW HOPE PRESBYTERIAN|NEW HOPE PRESBYTERIAN
37|021|0030.2|AVERYS CREEK ELEMENTARY SCHOOL|AVERYS CREEK ELEMENTARY SCHOOL
37|021|0030.3|AVERYS CREEK COMMUNITY CENTER|AVERYS CREEK COMMUNITY CENTER
37|021|0031.1|BILTMORE FOREST TOWN HALL|BILTMORE FOREST TOWN HALL
37|021|0032.1|BLACK MOUNTAIN 1 - OWEN MIDDLE SCHOOL|BLACK MOUNTAIN 1 - OWEN MIDDLE SCHOOL
37|021|0033.2|BLACK MOUNTAIN PRIMARY SCHOOL|BLACK MOUNTAIN PRIMARY SCHOOL
37|021|0033.3|BLACK MOUNTAIN ELEMENTARY SCHOOL|BLACK MOUNTAIN ELEMENTARY SCHOOL
37|021|0034.1|BLACK MOUNTAIN 3 - LAKE TOMAHAWK|BLACK MOUNTAIN 3 - LAKE TOMAHAWK
37|021|0035.1|BLACK MOUNTAIN 4 - CARVER COMMUNITY CENTER|BLACK MOUNTAIN 4 - CARVER COMMUNITY CENTER
37|021|0036.1|BLACK MOUNTAIN 5 - MONTREAT CTR WALKUP BLDG|BLACK MOUNTAIN 5 - MONTREAT CTR WALKUP BLDG
37|021|0037.1|BROAD RIVER COMMUNITY CENTER|BROAD RIVER COMMUNITY CENTER
37|021|0038.2|CANE CREEK MIDDLE SCHOOL|CANE CREEK MIDDLE SCHOOL
37|021|0038.3|TRINITY OF FAIRVIEW CHURCH|TRINITY OF FAIRVIEW CHURCH
37|021|0039.2|FAIRVIEW VOLUNTEER FIRE DEPT|FAIRVIEW VOLUNTEER FIRE DEPT
37|021|0039.3|FAIRVIEW COMMUNITY CENTER|FAIRVIEW COMMUNITY CENTER
37|021|0040.2|FLAT CREEK - NORTH BUNCOMBE ELEMENTARY|FLAT CREEK - NORTH BUNCOMBE ELEMENTARY
37|021|0041.1|FRENCH BROAD FIRE DEPT|FRENCH BROAD FIRE DEPT
37|021|0042.1|HAZEL 1 - EMMA ELEMENTARY SCHOOL|HAZEL 1 - EMMA ELEMENTARY SCHOOL
37|021|0043.2|HAZEL 2 - JOHNSTON SCHOOL|HAZEL 2 - JOHNSTON SCHOOL
37|021|0044.1|LOWER HOMINY 1 - OAK FOREST PRESBYTERIAN|LOWER HOMINY 1 - OAK FOREST PRESBYTERIAN
37|021|0045.1|ENKA MIDDLE SCHOOL|ENKA MIDDLE SCHOOL
37|021|0046.1|LOWER HOMINY 3 - ARBORETUM MAIN BLDG ROOM 1|LOWER HOMINY 3 - ARBORETUM MAIN BLDG ROOM 1
37|021|0047.1|UPPER HOMINY 1 - PISGAH ELEMENTARY|UPPER HOMINY 1 - PISGAH ELEMENTARY
37|021|0048.1|HOMINY VALLEY ELEMENTARY|HOMINY VALLEY ELEMENTARY
37|021|0049.1|UPPER HOMINY 3 - POLE CREEK BAPTIST|UPPER HOMINY 3 - POLE CREEK BAPTIST
37|021|0050.1|IVY 1 - BARNARDSVILLE SCHOOL|IVY 1 - BARNARDSVILLE SCHOOL
37|021|0051.2|NORTH WINDY RIDGE SCHOOL|NORTH WINDY RIDGE SCHOOL
37|021|0052.1|LEICESTER 1 - LEICESTER SCHOOL|LEICESTER 1 - LEICESTER SCHOOL
37|021|0053.1|LEICESTER 2 - COMMUNITY CENTER|LEICESTER 2 - COMMUNITY CENTER
37|021|0054.2|LUTHERAN CHURCH OF THE NATIVITY|LUTHERAN CHURCH OF THE NATIVITY
37|021|0055.1|LIMESTONE 2 - GLEN ARDEN SCHOOL|LIMESTONE 2 - GLEN ARDEN SCHOOL
37|021|0056.2|LIMESTONE 3 - ARDEN FIRST BAPTIST|LIMESTONE 3 - ARDEN FIRST BAPTIST
37|021|0057.1|LIMESTONE 4 - SKYLAND FIRE BISHOP SUBSTATION|LIMESTONE 4 - SKYLAND FIRE BISHOP SUBSTATION
37|021|0058.1|NORTH BUNCOMBE - MIDDLE SCHOOL|NORTH BUNCOMBE - MIDDLE SCHOOL
