STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
38|001|003901|39-01|39-01
38|003|002401|24-01|24-01
38|003|002402|24-02|24-02
38|003|002403|24-03|24-03
38|003|002404|24-04|24-04
38|003|002405|24-05|24-05
38|003|002406|24-06|24-06
38|003|002407|24-07|24-07
38|003|002408|24-08|24-08
38|003|002409|24-09|24-09
38|003|002410|24-10|24-10
38|003|002411|24-11|24-11
38|003|002412|24-12|24-12
38|003|002413|24-13|24-13
38|003|002414|24-14|24-14
38|003|002415|24-15|24-15
38|005|001401|14-01|14-01
38|005|002301|23-01|23-01
38|005|002302|23-02|23-02
38|005|002303|23-03|23-03
38|007|003901|39-01|39-01
38|007|003902|39-02|39-02
38|007|003903|39-03|39-03
38|009|000601|06-01|06-01
38|009|000602|06-02|06-02
38|009|000603|06-03|06-03
38|009|000604|06-04|06-04
38|009|000605|06-05|06-05
38|011|003901|39-01|39-01
38|011|003902|39-02|39-02
38|011|003903|39-03|39-03
38|011|003904|39-04|39-04
38|013|000201|02-01|02-01
38|013|000202|02-02|02-02
38|013|000203|02-03|02-03
38|013|000204|02-04|02-04
38|013|000205|02-05|02-05
38|013|000206|02-06|02-06
38|015|000701|07-01|07-01
38|015|000702|07-02|07-02
38|015|000703|07-03|07-03
38|015|000704|07-04|07-04
38|015|000705|07-05|07-05
38|015|000706|07-06|07-06
38|015|000707|07-07|07-07
38|015|000708|07-08|07-08
38|015|000801|08-01|08-01
38|015|000802|08-02|08-02
38|015|000803|08-03|08-03
38|015|000804|08-04|08-04
38|015|000805|08-05|08-05
38|015|000806|08-06|08-06
38|015|002801|28-01|28-01
38|015|002802|28-02|28-02
38|015|002803|28-03|28-03
38|015|003001|30-01|30-01
38|015|003002|30-02|30-02
38|015|003003|30-03|30-03
38|015|003004|30-04|30-04
38|015|003201|32-01|32-01
38|015|003202|32-02|32-02
38|015|003203|32-03|32-03
38|015|003204|32-04|32-04
38|015|003205|32-05|32-05
38|015|003206|32-06|32-06
38|015|003207|32-07|32-07
38|015|003501|35-01|35-01
38|015|003502|35-02|35-02
38|015|003503|35-03|35-03
38|015|003504|35-04|35-04
38|015|003505|35-05|35-05
38|015|003506|35-06|35-06
38|015|004701|47-01|47-01
38|015|004702|47-02|47-02
38|015|004703|47-03|47-03
38|015|004704|47-04|47-04
38|017|011-01|11-01|11-01
38|017|011-02|11-02|11-02
38|017|013-01|13-01|13-01
38|017|013-02|13-02|13-02
38|017|013-03|13-03|13-03
38|017|016-01|16-01|16-01
38|017|016-02|16-02|16-02
38|017|016-03|16-03|16-03
38|017|016-04|16-04|16-04
38|017|020-01|20-01|20-01
38|017|021-01|21-01|21-01
38|017|021-02|21-02|21-02
38|017|022-01|22-01|22-01
38|017|022-02|22-02|22-02
38|017|022-03|22-03|22-03
38|017|022-04|22-04|22-04
38|017|022-05|22-05|22-05
38|017|022-06|22-06|22-06
38|017|022-07|22-07|22-07
38|017|022-08|22-08|22-08
38|017|024-01|24-01|24-01
38|017|024-02|24-02|24-02
38|017|025-01|25-01|25-01
38|017|025-02|25-02|25-02
38|017|027-01|27-01|27-01
38|017|027-02|27-02|27-02
38|017|027-03|27-03|27-03
38|017|041-01|41-01|41-01
38|017|041-02|41-02|41-02
38|017|044-01|44-01|44-01
38|017|044-02|44-02|44-02
38|017|045-01|45-01|45-01
38|017|045-02|45-02|45-02
38|017|045-03|45-03|45-03
38|017|045-04|45-04|45-04
38|017|046-01|46-01|46-01
38|017|046-02|46-02|46-02
38|017|046-03|46-03|46-03
38|019|001001|10-01|10-01
38|021|002601|26-01|26-01
38|021|002602|26-02|26-02
38|021|002801|28-01|28-01
38|023|000201|02-01|02-01
38|023|000202|02-02|02-02
38|023|000203|02-03|02-03
38|023|000204|02-04|02-04
38|025|000401|04-01|04-01
38|025|000402|04-02|04-02
38|025|000403|04-03|04-03
38|025|000404|04-04|04-04
38|025|000405|04-05|04-05
38|025|003601|36-01|36-01
38|025|003602|36-02|36-02
38|025|003603|36-03|36-03
38|025|003604|36-04|36-04
38|025|003901|39-01|39-01
38|025|003902|39-02|39-02
38|025|003903|39-03|39-03
38|027|002301|23-01|23-01
38|027|002302|23-02|23-02
38|029|002801|28-01|28-01
38|029|002802|28-02|28-02
38|029|002803|28-03|28-03
38|029|002804|28-04|28-04
38|029|002805|28-05|28-05
38|031|002901|29-01|29-01
38|031|002902|29-02|29-02
38|031|002903|29-03|29-03
38|031|002904|29-04|29-04
38|031|002905|29-05|29-05
38|031|002906|29-06|29-06
38|033|003901|39-01|39-01
38|035|001701|17-01|17-01
38|035|001702|17-02|17-02
38|035|001703|17-03|17-03
38|035|001704|17-04|17-04
38|035|001705|17-05|17-05
38|035|001801|18-01|18-01
38|035|001802|18-02|18-02
38|035|001803|18-03|18-03
38|035|001804|18-04|18-04
38|035|001805|18-05|18-05
38|035|001806|18-06|18-06
38|035|001807|18-07|18-07
38|035|001901|19-01|19-01
38|035|001902|19-02|19-02
38|035|001903|19-03|19-03
38|035|001904|19-04|19-04
38|035|002001|20-01|20-01
38|035|002002|20-02|20-02
38|035|004201|42-01|42-01
38|035|004202|42-02|42-02
38|035|004203|42-03|42-03
38|035|004204|42-04|42-04
38|035|004301|43-01|43-01
38|035|004302|43-02|43-02
38|035|004303|43-03|43-03
38|035|004304|43-04|43-04
38|035|004305|43-05|43-05
38|037|003101|31-01|31-01
38|037|003102|31-02|31-02
38|037|003103|31-03|31-03
38|037|003104|31-04|31-04
38|037|003105|31-05|31-05
38|039|002301|23-01|23-01
38|039|002302|23-02|23-02
38|039|002303|23-03|23-03
38|039|002304|23-04|23-04
38|039|002305|23-05|23-05
38|041|003101|31-01|31-01
38|041|003102|31-02|31-02
38|041|003601|36-01|36-01
38|041|003602|36-02|36-02
38|043|001401|14-01|14-01
38|043|001402|14-02|14-02
38|043|001403|14-03|14-03
38|043|001404|14-04|14-04
38|043|001405|14-05|14-05
38|043|001406|14-06|14-06
38|045|002801|28-01|28-01
38|045|002901|29-01|29-01
38|045|002902|29-02|29-02
38|045|002903|29-03|29-03
38|047|002801|28-01|28-01
38|047|002802|28-02|28-02
38|047|002803|28-03|28-03
38|047|002804|28-04|28-04
38|047|002805|28-05|28-05
38|049|000601|06-01|06-01
38|049|000602|06-02|06-02
38|049|000603|06-03|06-03
38|049|000604|06-04|06-04
38|049|000605|06-05|06-05
38|049|000606|06-06|06-06
38|049|000607|06-07|06-07
38|049|000608|06-08|06-08
38|051|002801|28-01|28-01
38|051|002802|28-02|28-02
38|051|002803|28-03|28-03
38|051|002804|28-04|28-04
38|051|002805|28-05|28-05
38|051|002806|28-06|28-06
38|053|000401|04-01|04-01
38|053|000402|04-02|04-02
38|053|003901|39-01|39-01
38|053|003902|39-02|39-02
38|053|003903|39-03|39-03
38|053|003904|39-04|39-04
38|053|003905|39-05|39-05
38|053|003906|39-06|39-06
38|053|003907|39-07|39-07
38|053|003908|39-08|39-08
38|053|003909|39-09|39-09
38|055|000401|04-01|04-01
38|055|000402|04-02|04-02
38|055|000801|08-01|08-01
38|057|000401|04-01|04-01
38|057|003301|33-01|33-01
38|057|003302|33-02|33-02
38|057|003303|33-03|33-03
38|057|003304|33-04|33-04
38|057|003305|33-05|33-05
38|057|003306|33-06|33-06
38|059|003101|31-01|31-01
38|059|003102|31-02|31-02
38|059|003103|31-03|31-03
38|059|003104|31-04|31-04
38|059|003105|31-05|31-05
38|059|003106|31-06|31-06
38|059|003301|33-01|33-01
38|059|003302|33-02|33-02
38|059|003303|33-03|33-03
38|059|003401|34-01|34-01
38|059|003402|34-02|34-02
38|059|003403|34-03|34-03
38|059|003404|34-04|34-04
38|059|003405|34-05|34-05
38|059|003406|34-06|34-06
38|059|003407|34-07|34-07
38|059|003601|36-01|36-01
38|059|003602|36-02|36-02
38|061|000201|02-01|02-01
38|061|000202|02-02|02-02
38|061|000203|02-03|02-03
38|061|000401|04-01|04-01
38|061|000402|04-02|04-02
38|061|000403|04-03|04-03
38|061|000404|04-04|04-04
38|061|000405|04-05|04-05
38|061|000406|04-06|04-06
38|061|000407|04-07|04-07
38|063|002301|23-01|23-01
38|065|003301|33-01|33-01
38|065|003302|33-02|33-02
38|065|003303|33-03|33-03
38|065|003304|33-04|33-04
