STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
39|001|001AAA|BRATTON TOWNSHIP|BRATTON TOWNSHIP
39|001|001AAB|BRUSH CREEK TOWNSHIP|BRUSH CREEK TOWNSHIP
39|001|001AAD|LOCUST GROVE|LOCUST GROVE
39|001|001AAE|GREEN TOWNSHIP|GREEN TOWNSHIP
39|001|001AAG|JEFFERSON TOWNSHIP|JEFFERSON TOWNSHIP
39|001|001AAI|LIBERTY TOWNSHIP|LIBERTY TOWNSHIP
39|001|001AAK|MANCHESTER UNITED TOWNSHIP|MANCHESTER UNITED TOWNSHIP
39|001|001AAN|MEIGS TOWNSHIP|MEIGS TOWNSHIP
39|001|001AAP|PEEBLES VILLAGE|PEEBLES VILLAGE
39|001|001AAR|MONROE TOWNSHIP|MONROE TOWNSHIP
39|001|001AAS|OLIVER TOWNSHIP|OLIVER TOWNSHIP
39|001|001AAT|SCOTT TOWNSHIP|SCOTT TOWNSHIP
39|001|001AAU|SEAMAN VILLAGE|SEAMAN VILLAGE
39|001|001AAW|SPRIGG TOWNSHIP|SPRIGG TOWNSHIP
39|001|001AAY|TIFFIN EAST|TIFFIN EAST
39|001|001AAZ|TIFFIN WEST|TIFFIN WEST
39|001|001ABA|WEST UNION A|WEST UNION A
39|001|001ABC|WEST UNION B|WEST UNION B
39|001|001ABE|WAYNE TOWNSHIP|WAYNE TOWNSHIP
39|001|001ABG|WINCHESTER TOWNSHIP|WINCHESTER TOWNSHIP
39|001|001ABH|WINCHESTER VILLAGE|WINCHESTER VILLAGE
39|003|002AAA|DELPHOS 1A|DELPHOS 1A
39|003|002AAC|DELPHOS 1B|DELPHOS 1B
39|003|002AAE|DELPHOS 2A|DELPHOS 2A
39|003|002AAG|DELPHOS 2B|DELPHOS 2B
39|003|002AAH|LIMA 1A|LIMA 1A
39|003|002AAJ|LIMA 1B|LIMA 1B
39|003|002AAK|LIMA 1C|LIMA 1C
39|003|002AAO|LIMA 2A|LIMA 2A
39|003|002AAP|LIMA 2B|LIMA 2B
39|003|002AAQ|LIMA 2C|LIMA 2C
39|003|002AAW|LIMA 3A|LIMA 3A
39|003|002AAX|LIMA 3B|LIMA 3B
39|003|002AAY|LIMA 3C|LIMA 3C
39|003|002ABE|LIMA 4A|LIMA 4A
39|003|002ABF|LIMA 4B|LIMA 4B
39|003|002ABH|LIMA 4C|LIMA 4C
39|003|002ABI|LIMA 4D|LIMA 4D
39|003|002ABP|LIMA 5A|LIMA 5A
39|003|002ABQ|LIMA 5B|LIMA 5B
39|003|002ABR|LIMA 5C|LIMA 5C
39|003|002ABT|LIMA 5D|LIMA 5D
39|003|002ABW|LIMA 6A|LIMA 6A
39|003|002ABX|LIMA 6B|LIMA 6B
39|003|002ABZ|LIMA 6C|LIMA 6C
39|003|002ACD|LIMA 7A|LIMA 7A
39|003|002ACE|LIMA 7B|LIMA 7B
39|003|002ACG|LIMA 7C|LIMA 7C
