STATEFP|PLACEFP|NAME|NAMELSAD
41|01650|Aloha|Aloha CDP
41|01700|Alpine|Alpine CDP
41|01800|Alsea|Alsea CDP
41|01850|Altamont|Altamont CDP
41|02200|Annex|Annex CDP
41|04125|Barnesdale|Barnesdale CDP
41|04400|Barview|Barview CDP
41|04850|Bayshore|Bayshore CDP
41|04925|Bayside Gardens|Bayside Gardens CDP
41|05150|Beatty|Beatty CDP
41|05200|Beaver|Beaver CDP
41|05250|Beavercreek|Beavercreek CDP
41|05300|Beaver Marsh|Beaver Marsh CDP
41|05700|Bellfountain|Bellfountain CDP
41|05950|Bethany|Bethany CDP
41|06400|Biggs Junction|Biggs Junction CDP
41|06650|Black Butte Ranch|Black Butte Ranch CDP
41|06950|Blodgett|Blodgett CDP
41|07150|Bly|Bly CDP
41|07550|Boring|Boring CDP
41|08600|Brogan|Brogan CDP
41|08750|Brooks|Brooks CDP
41|09535|Bull Mountain|Bull Mountain CDP
41|09600|Bunker Hill|Bunker Hill CDP
41|10100|Butteville|Butteville CDP
41|10550|Camp Sherman|Camp Sherman CDP
41|11050|Cape Meares|Cape Meares CDP
41|11700|Cascadia|Cascadia CDP
41|11900|Cayuse|Cayuse CDP
41|12050|Cedar Hills|Cedar Hills CDP
41|12150|Cedar Mill|Cedar Mill CDP
41|12750|Chemult|Chemult CDP
41|12800|Chenoweth|Chenoweth CDP
41|12850|Cherry Grove|Cherry Grove CDP
41|13000|Cheshire|Cheshire CDP
41|14200|Cloverdale|Cloverdale CDP
41|16350|Crabtree|Crabtree CDP
41|16450|Crane|Crane CDP
41|16650|Crawfordsville|Crawfordsville CDP
41|16750|Crescent|Crescent CDP
41|16800|Crescent Lake|Crescent Lake CDP
41|16975|Crooked River Ranch|Crooked River Ranch CDP
41|17800|Damascus|Damascus CDP
41|18150|Days Creek|Days Creek CDP
41|18450|Deer Island|Deer Island CDP
41|19020|Deschutes River Woods|Deschutes River Woods CDP
41|19250|Dexter|Dexter CDP
41|19600|Dillard|Dillard CDP
41|19650|Dilley|Dilley CDP
