STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
42|001|00116|Abbottstown|Abbottstown borough
42|001|02928|Arendtsville|Arendtsville borough
42|001|05536|Bendersville|Bendersville borough
42|001|05880|Berwick|Berwick township
42|001|06296|Biglerville|Biglerville borough
42|001|07560|Bonneauville|Bonneauville borough
42|001|10456|Butler|Butler township
42|001|11472|Carroll Valley|Carroll Valley borough
42|001|15632|Conewago|Conewago township
42|001|17640|Cumberland|Cumberland township
42|001|20792|East Berlin|East Berlin borough
42|001|24560|Fairfield|Fairfield borough
42|001|27320|Franklin|Franklin township
42|001|27704|Freedom|Freedom township
42|001|28936|Germany|Germany township
42|001|28960|Gettysburg|Gettysburg borough
42|001|32144|Hamilton|Hamilton township
42|001|32200|Hamiltonban|Hamiltonban township
42|001|34424|Highland|Highland township
42|001|36424|Huntington|Huntington township
42|001|41672|Latimore|Latimore township
42|001|43056|Liberty|Liberty township
42|001|43944|Littlestown|Littlestown borough
42|001|46376|McSherrystown|McSherrystown borough
42|001|48608|Menallen|Menallen township
42|001|51640|Mount Joy|Mount Joy township
42|001|51776|Mount Pleasant|Mount Pleasant township
42|001|53920|New Oxford|New Oxford borough
42|001|57472|Oxford|Oxford township
42|001|63616|Reading|Reading township
42|001|74680|Straban|Straban township
42|001|78160|Tyrone|Tyrone township
42|001|78264|Union|Union township
42|001|87136|York Springs|York Springs borough
42|003|00724|Aleppo|Aleppo township
42|003|03320|Aspinwall|Aspinwall borough
42|003|03608|Avalon|Avalon borough
42|003|03928|Baldwin|Baldwin borough
42|003|03932|Baldwin|Baldwin township
42|003|05216|Bell Acres|Bell Acres borough
42|003|05312|Bellevue|Bellevue borough
42|003|05504|Ben Avon|Ben Avon borough
42|003|05520|Ben Avon Heights|Ben Avon Heights borough
42|003|06064|Bethel Park|Bethel Park municipality
42|003|07000|Blawnox|Blawnox borough
42|003|07976|Brackenridge|Brackenridge borough
42|003|07992|Braddock|Braddock borough
42|003|08008|Braddock Hills|Braddock Hills borough
42|003|08064|Bradford Woods|Bradford Woods borough
42|003|08416|Brentwood|Brentwood borough
42|003|08624|Bridgeville|Bridgeville borough
42|003|11336|Carnegie|Carnegie borough
42|003|11680|Castle Shannon|Castle Shannon borough
42|003|12496|Chalfant|Chalfant borough
42|003|13392|Cheswick|Cheswick borough
42|003|13608|Churchill|Churchill borough
42|003|13704|Clairton|Clairton city
42|003|15216|Collier|Collier township
42|003|16144|Coraopolis|Coraopolis borough
42|003|16848|Crafton|Crafton borough
42|003|17048|Crescent|Crescent township
42|003|19576|Dormont|Dormont borough
42|003|19856|Dravosburg|Dravosburg borough
42|003|20432|Duquesne|Duquesne city
42|003|21024|East Deer|East Deer township
42|003|21444|East McKeesport|East McKeesport borough
42|003|21712|East Pittsburgh|East Pittsburgh borough
42|003|22520|Edgewood|Edgewood borough
42|003|22576|Edgeworth|Edgeworth borough
42|003|22992|Elizabeth|Elizabeth borough
42|003|23000|Elizabeth|Elizabeth township
42|003|23616|Emsworth|Emsworth borough
42|003|24160|Etna|Etna borough
42|003|25400|Fawn|Fawn township
42|003|25904|Findlay|Findlay township
42|003|26592|Forest Hills|Forest Hills borough
42|003|26896|Forward|Forward township
42|003|27120|Fox Chapel|Fox Chapel borough
42|003|27552|Franklin Park|Franklin Park borough
42|003|27608|Frazer|Frazer township
42|003|29432|Glassport|Glassport borough
42|003|29592|Glenfield|Glenfield borough
