STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
42|001|000010|ABBOTTSTOWN|ABBOTTSTOWN Voting District
42|001|000020|ARENDTSVILLE|ARENDTSVILLE Voting District
42|001|000030|BENDERSVILLE|BENDERSVILLE Voting District
42|001|000040|BERWICK|BERWICK Voting District
42|001|000050|BIGLERVILLE|BIGLERVILLE Voting District
42|001|000060|BONNEAUVILLE|BONNEAUVILLE Voting District
42|001|000070|BUTLER|BUTLER Voting District
42|001|000078|CARROLL VALLEY DISTRICT 01|CARROLL VALLEY DISTRICT 01
42|001|000082|CARROLL VALLEY DISTRICT 02|CARROLL VALLEY DISTRICT 02
42|001|000090|CONEWAGO DISTRICT 01|CONEWAGO DISTRICT 01
42|001|000100|CONEWAGO DISTRICT 02|CONEWAGO DISTRICT 02
42|001|000110|CUMBERLAND DISTRICT 01|CUMBERLAND DISTRICT 01
42|001|000120|CUMBERLAND DISTRICT 02|CUMBERLAND DISTRICT 02
42|001|000130|CUMBERLAND DISTRICT 03|CUMBERLAND DISTRICT 03
42|001|000140|CUMBERLAND DISTRICT 04|CUMBERLAND DISTRICT 04
42|001|000150|EAST BERLIN|EAST BERLIN Voting District
42|001|000160|FAIRFIELD|FAIRFIELD Voting District
42|001|000170|FRANKLIN DISTRICT 01|FRANKLIN DISTRICT 01
42|001|000180|FRANKLIN DISTRICT 02|FRANKLIN DISTRICT 02
42|001|000190|FREEDOM|FREEDOM Voting District
42|001|000200|GERMANY|GERMANY Voting District
42|001|000210|GETTYSBURG WARD 01 PRECINCT 01|GETTYSBURG WARD 01 PRECINCT 01
42|001|000230|GETTYSBURG WARD 02|GETTYSBURG WARD 02
42|001|000240|GETTYSBURG WARD 03 PRECINCT 01|GETTYSBURG WARD 03 PRECINCT 01
42|001|000260|HAMILTON|HAMILTON Voting District
42|001|000270|HAMILTONBAN|HAMILTONBAN Voting District
42|001|000280|HIGHLAND|HIGHLAND Voting District
42|001|000290|HUNTINGTON DISTRICT 01|HUNTINGTON DISTRICT 01
42|001|000310|LATIMORE|LATIMORE Voting District
42|001|000320|LIBERTY|LIBERTY Voting District
42|001|000330|LITTLESTOWN WARD 01|LITTLESTOWN WARD 01
42|001|000340|LITTLESTOWN WARD 02|LITTLESTOWN WARD 02
42|001|000350|MCSHERRYSTOWN DISTRICT 01|MCSHERRYSTOWN DISTRICT 01
42|001|000360|MCSHERRYSTOWN DISTRICT 02|MCSHERRYSTOWN DISTRICT 02
42|001|000370|MENALLEN|MENALLEN Voting District
42|001|000380|MOUNT JOY DISTRICT 01|MOUNT JOY DISTRICT 01
42|001|000385|MOUNT JOY DISTRICT 02|MOUNT JOY DISTRICT 02
42|001|000390|MOUNT PLEASANT DISTRICT 01|MOUNT PLEASANT DISTRICT 01
42|001|000400|MOUNT PLEASANT DISTRICT 02|MOUNT PLEASANT DISTRICT 02
42|001|000410|NEW OXFORD|NEW OXFORD Voting District
42|001|000425|OXFORD DISTRICT 01|OXFORD DISTRICT 01
42|001|000427|OXFORD DISTRICT 02|OXFORD DISTRICT 02
42|001|000432|READING DISTRICT 01|READING DISTRICT 01
42|001|000434|READING DISTRICT 02|READING DISTRICT 02
42|001|000436|READING DISTRICT 03|READING DISTRICT 03
42|001|000440|STRABAN DISTRICT 01|STRABAN DISTRICT 01
42|001|000450|STRABAN DISTRICT 02|STRABAN DISTRICT 02
42|001|000460|TYRONE|TYRONE Voting District
42|001|000480|UNION|UNION Voting District
42|001|000490|YORK SPRINGS|YORK SPRINGS Voting District
42|003|000010|ALEPPO|ALEPPO Voting District
42|003|000021|ASPINWALL DISTRICT 01|ASPINWALL DISTRICT 01
42|003|000031|ASPINWALL DISTRICT 02|ASPINWALL DISTRICT 02
42|003|000050|ASPINWALL DISTRICT 03|ASPINWALL DISTRICT 03
42|003|000061|AVALON WARD 01|AVALON WARD 01
42|003|000081|AVALON WARD 02 DISTRICT 01|AVALON WARD 02 DISTRICT 01
42|003|000091|AVALON WARD 02 DISTRICT 02|AVALON WARD 02 DISTRICT 02
42|003|000101|AVALON WARD 03 DISTRICT 01|AVALON WARD 03 DISTRICT 01
42|003|000111|AVALON WARD 03 DISTRICT 02|AVALON WARD 03 DISTRICT 02
42|003|000121|AVALON WARD 03 DISTRICT 03|AVALON WARD 03 DISTRICT 03
42|003|000130|BALDWIN DISTRICT 01|BALDWIN DISTRICT 01
42|003|000140|BALDWIN DISTRICT 02|BALDWIN DISTRICT 02
42|003|000151|BALDWIN DISTRICT 01|BALDWIN DISTRICT 01
42|003|000161|BALDWIN DISTRICT 02|BALDWIN DISTRICT 02
42|003|000171|BALDWIN DISTRICT 03|BALDWIN DISTRICT 03
42|003|000181|BALDWIN DISTRICT 04|BALDWIN DISTRICT 04
42|003|000191|BALDWIN DISTRICT 05|BALDWIN DISTRICT 05
42|003|000201|BALDWIN DISTRICT 06|BALDWIN DISTRICT 06
42|003|000211|BALDWIN DISTRICT 07|BALDWIN DISTRICT 07
42|003|000221|BALDWIN DISTRICT 08|BALDWIN DISTRICT 08
42|003|000225|BALDWIN DISTRICT 10|BALDWIN DISTRICT 10
42|003|000231|BALDWIN DISTRICT 09|BALDWIN DISTRICT 09
42|003|000235|BALDWIN DISTRICT 11|BALDWIN DISTRICT 11
42|003|000261|BALDWIN DISTRICT 12|BALDWIN DISTRICT 12
42|003|000271|BALDWIN DISTRICT 13|BALDWIN DISTRICT 13
42|003|000281|BALDWIN DISTRICT 14|BALDWIN DISTRICT 14
42|003|000291|BALDWIN DISTRICT 15|BALDWIN DISTRICT 15
42|003|000295|BALDWIN DISTRICT 16|BALDWIN DISTRICT 16
42|003|000301|BALDWIN DISTRICT 17|BALDWIN DISTRICT 17
42|003|000305|BALDWIN DISTRICT 18|BALDWIN DISTRICT 18
42|003|000310|BELL ACRES|BELL ACRES Voting District
42|003|000321|BELLEVUE WARD 01 DISTRICT 01|BELLEVUE WARD 01 DISTRICT 01
42|003|000331|BELLEVUE WARD 01 DISTRICT 02|BELLEVUE WARD 01 DISTRICT 02
42|003|000351|BELLEVUE WARD 02 DISTRICT 01|BELLEVUE WARD 02 DISTRICT 01
42|003|000361|BELLEVUE WARD 02 DISTRICT 02|BELLEVUE WARD 02 DISTRICT 02
42|003|000371|BELLEVUE WARD 03 DISTRICT 01|BELLEVUE WARD 03 DISTRICT 01
42|003|000381|BELLEVUE WARD 03 DISTRICT 02|BELLEVUE WARD 03 DISTRICT 02
42|003|000400|BEN AVON DISTRICT 01|BEN AVON DISTRICT 01
42|003|000411|BEN AVON DISTRICT 02|BEN AVON DISTRICT 02
42|003|000430|BEN AVON HEIGHTS|BEN AVON HEIGHTS Voting District
42|003|000441|BETHEL PARK WARD 01 DISTRICT 01|BETHEL PARK WARD 01 DISTRICT 01
42|003|000446|BETHEL PARK WARD 01 DISTRICT 02|BETHEL PARK WARD 01 DISTRICT 02
42|003|000452|BETHEL PARK WARD 01 DISTRICT 03|BETHEL PARK WARD 01 DISTRICT 03
42|003|000461|BETHEL PARK WARD 02 DISTRICT 01|BETHEL PARK WARD 02 DISTRICT 01
42|003|000466|BETHEL PARK WARD 02 DISTRICT 02|BETHEL PARK WARD 02 DISTRICT 02
42|003|000472|BETHEL PARK WARD 02 DISTRICT 03|BETHEL PARK WARD 02 DISTRICT 03
42|003|000481|BETHEL PARK WARD 03 DISTRICT 01|BETHEL PARK WARD 03 DISTRICT 01
42|003|000486|BETHEL PARK WARD 03 DISTRICT 02|BETHEL PARK WARD 03 DISTRICT 02
42|003|000493|BETHEL PARK WARD 03 DISTRICT 03|BETHEL PARK WARD 03 DISTRICT 03
42|003|000501|BETHEL PARK WARD 04 DISTRICT 01|BETHEL PARK WARD 04 DISTRICT 01
42|003|000511|BETHEL PARK WARD 04 DISTRICT 02|BETHEL PARK WARD 04 DISTRICT 02
42|003|000522|BETHEL PARK WARD 04 DISTRICT 03|BETHEL PARK WARD 04 DISTRICT 03
42|003|000530|BETHEL PARK WARD 05 DISTRICT 01|BETHEL PARK WARD 05 DISTRICT 01
42|003|000540|BETHEL PARK WARD 05 DISTRICT 02|BETHEL PARK WARD 05 DISTRICT 02
42|003|000542|BETHEL PARK WARD 05 DISTRICT 03|BETHEL PARK WARD 05 DISTRICT 03
