STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
44|001|440101|Barrington 1|Barrington 1
44|001|440102|Barrington 2|Barrington 2
44|001|440103|Barrington 3|Barrington 3
44|001|440104|Barrington 4|Barrington 4
44|001|440105|Barrington 5|Barrington 5
44|001|440201|Bristol 1|Bristol 1
44|001|440202|Bristol 2|Bristol 2
44|001|440203|Bristol 3|Bristol 3
44|001|440204|Bristol 4|Bristol 4
44|001|440205|Bristol 5|Bristol 5
44|001|440206|Bristol 6|Bristol 6
44|001|440207|Bristol 7|Bristol 7
44|001|440208|Bristol 8|Bristol 8
44|001|440209|Bristol 9|Bristol 9
44|001|443401|Warren 1|Warren 1
44|001|443402|Warren 2|Warren 2
44|001|443403|Warren 3|Warren 3
44|003|440601|Coventry 1|Coventry 1
44|003|440602|Coventry 2|Coventry 2
44|003|440603|Coventry 3|Coventry 3
44|003|440604|Coventry 4|Coventry 4
44|003|440605|Coventry 5|Coventry 5
44|003|440606|Coventry 6|Coventry 6
44|003|440607|Coventry 7|Coventry 7
44|003|440608|Coventry 8|Coventry 8
44|003|440609|Coventry 9|Coventry 9
44|003|440610|Coventry 10|Coventry 10
44|003|440611|Coventry 11|Coventry 11
44|003|440612|Coventry 12|Coventry 12
44|003|440613|Coventry 13|Coventry 13
44|003|440614|Coventry 14|Coventry 14
44|003|440615|Coventry 15|Coventry 15
44|003|440616|Coventry 16|Coventry 16
44|003|440617|Coventry 17|Coventry 17
44|003|440618|Coventry 18|Coventry 18
44|003|440901|East Greenwich 1|East Greenwich 1
44|003|440902|East Greenwich 2|East Greenwich 2
44|003|440903|East Greenwich 3|East Greenwich 3
44|003|440904|East Greenwich 4|East Greenwich 4
44|003|440905|East Greenwich 5|East Greenwich 5
44|003|443501|Warwick 1|Warwick 1
44|003|443502|Warwick 2|Warwick 2
44|003|443503|Warwick 3|Warwick 3
44|003|443504|Warwick 4|Warwick 4
44|003|443505|Warwick 5|Warwick 5
44|003|443506|Warwick 6|Warwick 6
44|003|443507|Warwick 7|Warwick 7
44|003|443508|Warwick 8|Warwick 8
44|003|443509|Warwick 9|Warwick 9
44|003|443510|Warwick 10|Warwick 10
44|003|443511|Warwick 11|Warwick 11
44|003|443512|Warwick 12|Warwick 12
44|003|443513|Warwick 13|Warwick 13
44|003|443514|Warwick 14|Warwick 14
44|003|443515|Warwick 15|Warwick 15
44|003|443516|Warwick 16|Warwick 16
44|003|443517|Warwick 17|Warwick 17
44|003|443518|Warwick 18|Warwick 18
44|003|443519|Warwick 19|Warwick 19
44|003|443520|Warwick 20|Warwick 20
44|003|443521|Warwick 21|Warwick 21
44|003|443522|Warwick 22|Warwick 22
44|003|443523|Warwick 23|Warwick 23
44|003|443524|Warwick 24|Warwick 24
44|003|443525|Warwick 25|Warwick 25
44|003|443526|Warwick 26|Warwick 26
44|003|443527|Warwick 27|Warwick 27
44|003|443528|Warwick 28|Warwick 28
44|003|443529|Warwick 29|Warwick 29
44|003|443530|Warwick 30|Warwick 30
44|003|443531|Warwick 31|Warwick 31
44|003|443532|Warwick 32|Warwick 32
44|003|443533|Warwick 33|Warwick 33
44|003|443701|West Greenwich 1|West Greenwich 1
44|003|443702|West Greenwich 2|West Greenwich 2
44|003|443703|West Greenwich 3|West Greenwich 3
44|003|443704|West Greenwich 4|West Greenwich 4
44|003|443801|West Warwick 1|West Warwick 1
44|003|443802|West Warwick 2|West Warwick 2
44|003|443803|West Warwick 3|West Warwick 3
44|003|443804|West Warwick 4|West Warwick 4
44|003|443805|West Warwick 5|West Warwick 5
44|003|443806|West Warwick 6|West Warwick 6
44|003|443807|West Warwick 7|West Warwick 7
44|003|443808|West Warwick 8|West Warwick 8
44|003|443809|West Warwick 9|West Warwick 9
44|003|443810|West Warwick 10|West Warwick 10
44|005|441501|JAMESTOWN 1|JAMESTOWN 1
