STATEFP|DISTRICT|NAME|NAMELSAD
45|001|HD-001|State House District HD-001
45|002|HD-002|State House District HD-002
45|003|HD-003|State House District HD-003
45|004|HD-004|State House District HD-004
45|005|HD-005|State House District HD-005
45|006|HD-006|State House District HD-006
45|007|HD-007|State House District HD-007
45|008|HD-008|State House District HD-008
45|009|HD-009|State House District HD-009
45|010|HD-010|State House District HD-010
45|011|HD-011|State House District HD-011
45|012|HD-012|State House District HD-012
45|013|HD-013|State House District HD-013
45|014|HD-014|State House District HD-014
45|015|HD-015|State House District HD-015
45|016|HD-016|State House District HD-016
45|017|HD-017|State House District HD-017
45|018|HD-018|State House District HD-018
45|019|HD-019|State House District HD-019
45|020|HD-020|State House District HD-020
45|021|HD-021|State House District HD-021
45|022|HD-022|State House District HD-022
45|023|HD-023|State House District HD-023
45|024|HD-024|State House District HD-024
45|025|HD-025|State House District HD-025
45|026|HD-026|State House District HD-026
45|027|HD-027|State House District HD-027
45|028|HD-028|State House District HD-028
45|029|HD-029|State House District HD-029
45|030|HD-030|State House District HD-030
45|031|HD-031|State House District HD-031
45|032|HD-032|State House District HD-032
45|033|HD-033|State House District HD-033
45|034|HD-034|State House District HD-034
45|035|HD-035|State House District HD-035
45|036|HD-036|State House District HD-036
45|037|HD-037|State House District HD-037
45|038|HD-038|State House District HD-038
45|039|HD-039|State House District HD-039
45|040|HD-040|State House District HD-040
45|041|HD-041|State House District HD-041
45|042|HD-042|State House District HD-042
45|043|HD-043|State House District HD-043
45|044|HD-044|State House District HD-044
45|045|HD-045|State House District HD-045
45|046|HD-046|State House District HD-046
45|047|HD-047|State House District HD-047
45|048|HD-048|State House District HD-048
45|049|HD-049|State House District HD-049
45|050|HD-050|State House District HD-050
45|051|HD-051|State House District HD-051
45|052|HD-052|State House District HD-052
45|053|HD-053|State House District HD-053
45|054|HD-054|State House District HD-054
45|055|HD-055|State House District HD-055
45|056|HD-056|State House District HD-056
45|057|HD-057|State House District HD-057
45|058|HD-058|State House District HD-058
45|059|HD-059|State House District HD-059
45|060|HD-060|State House District HD-060
45|061|HD-061|State House District HD-061
45|062|HD-062|State House District HD-062
45|063|HD-063|State House District HD-063
45|064|HD-064|State House District HD-064
45|065|HD-065|State House District HD-065
45|066|HD-066|State House District HD-066
45|067|HD-067|State House District HD-067
45|068|HD-068|State House District HD-068
45|069|HD-069|State House District HD-069
45|070|HD-070|State House District HD-070
45|071|HD-071|State House District HD-071
45|072|HD-072|State House District HD-072
45|073|HD-073|State House District HD-073
45|074|HD-074|State House District HD-074
45|075|HD-075|State House District HD-075
45|076|HD-076|State House District HD-076
45|077|HD-077|State House District HD-077
45|078|HD-078|State House District HD-078
45|079|HD-079|State House District HD-079
45|080|HD-080|State House District HD-080
45|081|HD-081|State House District HD-081
45|082|HD-082|State House District HD-082
45|083|HD-083|State House District HD-083
45|084|HD-084|State House District HD-084
45|085|HD-085|State House District HD-085
45|086|HD-086|State House District HD-086
45|087|HD-087|State House District HD-087
45|088|HD-088|State House District HD-088
45|089|HD-089|State House District HD-089
45|090|HD-090|State House District HD-090
45|091|HD-091|State House District HD-091
45|092|HD-092|State House District HD-092
45|093|HD-093|State House District HD-093
45|094|HD-094|State House District HD-094
45|095|HD-095|State House District HD-095
45|096|HD-096|State House District HD-096
45|097|HD-097|State House District HD-097
45|098|HD-098|State House District HD-098
45|099|HD-099|State House District HD-099
45|100|HD-100|State House District HD-100
45|101|HD-101|State House District HD-101
45|102|HD-102|State House District HD-102
45|103|HD-103|State House District HD-103
45|104|HD-104|State House District HD-104
45|105|HD-105|State House District HD-105
45|106|HD-106|State House District HD-106
45|107|HD-107|State House District HD-107
45|108|HD-108|State House District HD-108
45|109|HD-109|State House District HD-109
45|110|HD-110|State House District HD-110
45|111|HD-111|State House District HD-111
45|112|HD-112|State House District HD-112
45|113|HD-113|State House District HD-113
45|114|HD-114|State House District HD-114
45|115|HD-115|State House District HD-115
45|116|HD-116|State House District HD-116
45|117|HD-117|State House District HD-117
45|118|HD-118|State House District HD-118
45|119|HD-119|State House District HD-119
45|120|HD-120|State House District HD-120
45|121|HD-121|State House District HD-121
45|122|HD-122|State House District HD-122
45|123|HD-123|State House District HD-123
45|124|HD-124|State House District HD-124
