STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
45|001|000001|Abbeville No. 1|Abbeville No. 1
45|001|000002|Abbeville No. 2|Abbeville No. 2
45|001|000003|Abbeville No. 3|Abbeville No. 3
45|001|000004|Abbeville No. 4|Abbeville No. 4
45|001|000005|Antreville|Antreville
45|001|000006|Broadmouth|Broadmouth
45|001|000007|Calhoun Falls|Calhoun Falls
45|001|000008|Cold Springs|Cold Springs
45|001|000009|Donalds|Donalds
45|001|000010|Due West|Due West
45|001|000011|Hall's Store|Hall's Store
45|001|000012|Keowee|Keowee
45|001|000013|Lowndesville|Lowndesville
45|001|000014|Lebanon|Lebanon
45|001|000015|Smithville|Smithville
45|003|000000|SRS|SRS
45|003|000001|Aiken No. 1|Aiken No. 1
45|003|000002|Aiken No. 2|Aiken No. 2
45|003|000003|Aiken No. 3|Aiken No. 3
45|003|000004|Aiken No. 4|Aiken No. 4
45|003|000005|Aiken No. 5|Aiken No. 5
45|003|000006|Aiken No. 6|Aiken No. 6
45|003|000007|Bath|Bath
45|003|000008|Beech Island|Beech Island
45|003|000009|Belvedere No. 9|Belvedere No. 9
45|003|000010|Carolina Heights|Carolina Heights
45|003|000011|China Springs|China Springs
45|003|000012|Clearwater|Clearwater
45|003|000013|College Acres|College Acres
45|003|000014|Eureka|Eureka
45|003|000015|Gloverville|Gloverville
45|003|000016|Graniteville|Graniteville
45|003|000017|Jackson|Jackson
45|003|000018|Langley|Langley
45|003|000019|Lynwood|Lynwood
45|003|000020|Millbrook|Millbrook
45|003|000021|Monetta|Monetta
45|003|000022|Montmorenci No. 22|Montmorenci No. 22
45|003|000023|New Ellenton|New Ellenton
45|003|000024|New Holland|New Holland
45|003|000025|N. Augusta No. 25|N. Augusta No. 25
45|003|000026|N. Augusta No. 26|N. Augusta No. 26
45|003|000027|N. Augusta No. 27|N. Augusta No. 27
45|003|000028|N. Augusta No. 28|N. Augusta No. 28
45|003|000029|N. Augusta No. 29|N. Augusta No. 29
45|003|000030|Oak Grove|Oak Grove
45|003|000031|Perry|Perry
45|003|000032|Salley|Salley
45|003|000033|Shaws Fork|Shaws Fork
45|003|000034|Shiloh|Shiloh
45|003|000035|Six Points No. 35|Six Points No. 35
45|003|000036|Tabernacle|Tabernacle
45|003|000037|Talatha|Talatha
45|003|000038|Vaucluse|Vaucluse
45|003|000039|Wagener|Wagener
45|003|000040|Ward|Ward
45|003|000041|Warrenville|Warrenville
45|003|000042|White Pond|White Pond
45|003|000043|Windsor No. 43|Windsor No. 43
45|003|000044|Belvedere No. 44|Belvedere No. 44
45|003|000045|Misty Lakes|Misty Lakes
45|003|000046|Six Points No. 46|Six Points No. 46
45|003|000047|Aiken No. 47|Aiken No. 47
45|003|000048|Hammond No. 48|Hammond No. 48
45|003|000049|Willow Springs|Willow Springs
45|003|000050|Breezy Hill|Breezy Hill
45|003|000051|Midland Valley No. 51|Midland Valley No. 51
45|003|000052|Levels No. 52|Levels No. 52
45|003|000053|Hollow Creek|Hollow Creek
45|003|000054|N. Augusta No. 54|N. Augusta No. 54
45|003|000055|N. Augusta No. 55|N. Augusta No. 55
45|003|000056|Couchton|Couchton
45|003|000057|Redds Branch|Redds Branch
45|003|000058|Fox Creek No. 58|Fox Creek No. 58
45|003|000059|Pine Forest|Pine Forest
45|003|000060|Gem Lakes No. 60|Gem Lakes No. 60
45|003|000061|Silver Bluff|Silver Bluff
45|003|000062|Belvedere No. 62|Belvedere No. 62
45|003|000063|Ascauga Lake No. 63|Ascauga Lake No. 63
45|003|000064|Cedar Creek No. 64|Cedar Creek No. 64
45|003|000065|Sleepy Hollow No. 65|Sleepy Hollow No. 65
45|003|000066|Hitchcock No. 66|Hitchcock No. 66
45|003|000067|N. Augusta No. 67|N. Augusta No. 67
45|003|000068|N. Augusta No. 68|N. Augusta No. 68
