STATEFP|PLACEFP|NAME|NAMELSAD
47|01220|Andersonville|Andersonville CDP
47|01480|Apison|Apison CDP
47|03120|Banner Hill|Banner Hill CDP
47|04000|Beech Bluff|Beech Bluff CDP
47|04920|Belvidere|Belvidere CDP
47|05500|Bethpage|Bethpage CDP
47|05840|Big Rock|Big Rock CDP
47|06020|Biltmore|Biltmore CDP
47|06440|Blanche|Blanche CDP
47|06640|Bloomingdale|Bloomingdale CDP
47|06740|Blountville|Blountville CDP
47|07120|Bogota|Bogota CDP
47|07240|Bon Air|Bon Air CDP
47|07280|Bon Aqua Junction|Bon Aqua Junction CDP
47|07620|Bowman|Bowman CDP
47|08080|Bransford|Bransford CDP
47|08400|Briceville|Briceville CDP
47|09200|Buchanan|Buchanan CDP
47|10080|Butler|Butler CDP
47|11440|Castalian Springs|Castalian Springs CDP
47|12460|Central|Central CDP
47|14220|Chesterfield|Chesterfield CDP
47|14520|Chewalla|Chewalla CDP
47|14620|Childers Hill|Childers Hill CDP
47|14860|Christiana|Christiana CDP
47|15120|Clarkrange|Clarkrange CDP
47|15880|Coalfield|Coalfield CDP
47|16060|Coker Creek|Coker Creek CDP
47|16500|Colonial Heights|Colonial Heights CDP
47|16740|Conasauga|Conasauga CDP
47|17300|Cosby|Cosby CDP
47|17420|Cottontown|Cottontown CDP
47|17520|Counce|Counce CDP
47|19360|Dancyville|Dancyville CDP
47|19500|Darden|Darden CDP
47|20080|Delano|Delano CDP
47|20120|Dellrose|Dellrose CDP
47|20930|Dodson Branch|Dodson Branch CDP
47|21860|Dukedom|Dukedom CDP
47|22340|Eagleton Village|Eagleton Village CDP
47|22500|East Cleveland|East Cleveland CDP
47|23440|Elgin|Elgin CDP
47|23880|Embreeville|Embreeville CDP
47|24400|Essary Springs|Essary Springs CDP
47|24640|Eva|Eva CDP
47|24960|Fairfield|Fairfield CDP
47|24980|Fairfield Glade|Fairfield Glade CDP
47|24990|Fairgarden|Fairgarden CDP
47|25080|Fairmount|Fairmount CDP
47|25540|Fall Branch|Fall Branch CDP
47|25560|Falling Water|Falling Water CDP
47|25740|Farner|Farner CDP
47|26120|Fincastle|Fincastle CDP
47|26180|Finley|Finley CDP
47|26490|Flat Top Mountain|Flat Top Mountain CDP
47|26580|Flintville|Flintville CDP
47|27640|Fowlkes|Fowlkes CDP
47|27700|Frankewing|Frankewing CDP
47|29260|Gladeville|Gladeville CDP
47|30220|Graball|Graball CDP
47|30700|Gray|Gray CDP
47|31100|Green Hill|Green Hill CDP
47|31220|Greenvale|Greenvale CDP
47|31400|Griffith Creek|Griffith Creek CDP
47|31420|Grimsley|Grimsley CDP
47|31810|Halls|Halls CDP
47|32040|Hampton|Hampton CDP
47|32600|Harrison|Harrison CDP
47|33120|Helenwood|Helenwood CDP
47|33680|Hickman|Hickman CDP
47|34580|Hilham|Hilham CDP
47|34700|Hillsboro|Hillsboro CDP
47|35220|Holladay|Holladay CDP
47|35880|Hopewell|Hopewell CDP
47|36500|Hunter|Hunter CDP
47|36700|Huron|Huron CDP
47|37360|Iron City|Iron City CDP
47|37620|Jacks Creek|Jacks Creek CDP
47|38300|John Sevier|John Sevier CDP
47|38765|Kahite|Kahite CDP
