STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
47|001|000001|Andersonville|Andersonville
47|001|000002|Briceville|Briceville
47|001|000003|Bull Run|Bull Run
47|001|000004|Claxton|Claxton
47|001|000005|Clinton|Clinton
47|001|000006|Clinton High|Clinton High
47|001|000007|Clinton Middle School|Clinton Middle School
47|001|000008|Dutch Valley|Dutch Valley
47|001|000009|Emory Valley|Emory Valley
47|001|000010|Fairview|Fairview
47|001|000011|Glen Alpine|Glen Alpine
47|001|000012|Glenwood|Glenwood
47|001|000013|Hendrix Creek|Hendrix Creek
47|001|000014|Highland View|Highland View
47|001|000015|Lake City|Lake City
47|001|000016|Lake City Middle School|Lake City Middle School
47|001|000017|Marlow|Marlow
47|001|000018|Norris|Norris
47|001|000019|North Clinton|North Clinton
47|001|000020|Norwood|Norwood
47|001|000021|Oak Ridge City Hall|Oak Ridge City Hall
47|001|000022|Pine Valley|Pine Valley
47|001|000023|Robertsville|Robertsville
47|001|000024|Rosedale|Rosedale
47|001|000025|South Clinton|South Clinton
47|001|000026|West Hills|West Hills
47|001|000027|Woodland|Woodland
47|003|000101|101 Wartrace Baptist Church|101 Wartrace Baptist Church
47|003|000102|102 Bell Buckle/Webb School|102 Bell Buckle/Webb School
47|003|000103|203 Fairhaven Baptist Church|203 Fairhaven Baptist Church
47|003|000104|303 Uniounville Fire Hall|303 Uniounville Fire Hall
47|003|000105|403 Bedford Community Center|403 Bedford Community Center
47|003|000106|502 Flat Creek Community Center|502 Flat Creek Community Center
47|003|000107|505 Normandy Baptist Church|505 Normandy Baptist Church
47|003|000108|601 East Side School|601 East Side School
47|003|000109|701 Deery Eakin School|701 Deery Eakin School
47|003|000110|801 Thomas School|801 Thomas School
47|003|000111|902 Southside School|902 Southside School
47|005|000201|2 Camden High School|2 Camden High School
47|005|000202|4 Camden Elementary School|4 Camden Elementary School
47|005|000203|3 Benton Co. Courthouse|3 Benton Co. Courthouse
47|005|000204|1 Holladay School|1 Holladay School
47|005|000205|5 Benton Co. Courthouse|5 Benton Co. Courthouse
47|005|000206|6 Big Sandy School|6 Big Sandy School
47|007|000301|Bellview|Bellview
47|007|000302|Brayton|Brayton
47|007|000303|Cold Springs|Cold Springs
47|007|000304|Dill|Dill
47|007|000305|Griffith|Griffith
47|007|000306|Lee Station|Lee Station
47|007|000307|Luminary|Luminary
47|007|000308|Lusk|Lusk
47|007|000309|Mt.Crest|Mt.Crest
47|007|000310|Nine Mile|Nine Mile
47|007|000311|Pikeville|Pikeville
47|007|000312|Rigsby|Rigsby
47|009|000401|Townsend|Townsend
47|009|000402|Oak View|Oak View
47|009|000403|Blount County Board of Education|Blount County Board of Education
47|009|000404|Maryville Junior High|Maryville Junior High
47|009|000405|Prospect|Prospect
47|009|000406|Rockford|Rockford
47|009|000407|Middlesettlements|Middlesettlements
47|009|000408|Alcoa High School|Alcoa High School
47|009|000409|Mentor|Mentor
47|009|000410|Beech Grove|Beech Grove
47|009|000411|Martin Luther King|Martin Luther King
47|009|000412|Oak Street|Oak Street
47|009|000413|Everett|Everett
47|009|000414|Maryville Municipal|Maryville Municipal
47|009|000415|Big Springs|Big Springs
47|009|000416|Friendsville|Friendsville
47|009|000417|William Blount High|William Blount High
47|009|000418|Lanier|Lanier
47|009|000419|William Blount Academy|William Blount Academy
47|009|000420|Maryville High School|Maryville High School
47|009|000421|Miser Station|Miser Station
47|009|000423|Louisville|Louisville
47|009|000424|Heritage|Heritage
47|009|000425|Chilhowee View|Chilhowee View
47|009|000426|Walland|Walland
47|009|000427|Montvale|Montvale
47|009|000429|Porter|Porter
47|009|000430|John Sevier|John Sevier
47|009|000431|Eagleton Cafeteria|Eagleton Cafeteria
47|009|000432|Maryville College|Maryville College
47|009|000433|Fairview|Fairview
47|009|000434|Carpenters|Carpenters
47|009|000435|Happy Valley|Happy Valley
47|009|000436|Pellissippi Campus|Pellissippi Campus
47|011|000501|101 McDonald Ruritan|101 McDonald Ruritan
47|011|000502|701 Stuart School|701 Stuart School
47|011|000503|604 Black Fox School|604 Black Fox School
47|011|000504|201 E.L. Ross School|201 E.L. Ross School
47|011|000505|202 Walker Valley High|202 Walker Valley High
47|011|000506|302 Senior Center|302 Senior Center
47|011|000507|702 Cleveland High|702 Cleveland High
47|011|000508|402 Michigan Ave School|402 Michigan Ave School
47|011|000509|301 Lee University|301 Lee University
47|011|000510|502 5 Points Museum|502 5 Points Museum
47|011|000511|601 Valley View School|601 Valley View School
47|011|000512|401 Oak Grove School|401 Oak Grove School
47|011|000513|603 Waterville School|603 Waterville School
47|011|000514|501 Blythe/Bower School|501 Blythe/Bower School
47|011|000515|602 Blue Springs School|602 Blue Springs School
47|011|000516|102 Prospect School|102 Prospect School
47|011|000517|103 Hopewell School|103 Hopewell School
47|013|000601|College Hill|College Hill
47|013|000602|Caryville|Caryville
47|013|000603|West LaFollette|West LaFollette
47|013|000604|Valley View|Valley View
47|013|000605|Elk Valley|Elk Valley
47|013|000607|LaFollette Elementary School|LaFollette Elementary School
47|013|000608|East LaFollette|East LaFollette
47|013|000609|Jacksboro|Jacksboro
47|013|000610|Campbell County High School|Campbell County High School
47|013|000611|Jacksboro Station|Jacksboro Station
47|013|000612|Pinecrest|Pinecrest
47|013|000613|Ridgewood|Ridgewood
47|013|000614|Clinchmore|Clinchmore
47|013|000615|Demory|Demory
47|013|000616|Alder Springs|Alder Springs
47|013|000617|Well Springs|Well Springs
47|013|000618|Habersham|Habersham
47|013|000619|White Oak|White Oak
47|013|000620|Newcomb|Newcomb
47|013|000621|Jellico|Jellico
47|015|000701|Westside|Westside
47|015|000702|Gassaway|Gassaway
47|015|000703|Woodland|Woodland
47|015|000704|Eastside|Eastside
47|015|000705|Woodbury|Woodbury
47|015|000706|Auburntown|Auburntown
47|015|000707|Pleasant Ridge|Pleasant Ridge
47|015|000708|2 Short Mountain|2 Short Mountain
47|015|000709|4 Short Mountain|4 Short Mountain
47|017|000801|2 Trezevant|2 Trezevant
47|017|000802|7 Macedonia|7 Macedonia
47|017|000803|12 Bruceton|12 Bruceton
47|017|000804|5 Cedar Grove|5 Cedar Grove
47|017|000805|8 Civic Center|8 Civic Center
47|017|000806|19 Concord|19 Concord
47|017|000807|9 Huntingdon Police Station|9 Huntingdon Police Station
47|017|000808|17 Senior Citizens|17 Senior Citizens
47|017|000809|21 Bethel|21 Bethel
47|017|000810|4 McLemoresville|4 McLemoresville
47|017|000811|14 Vale|14 Vale
47|017|000812|6 Clarksburg|6 Clarksburg
47|017|000813|20 Westport|20 Westport
47|017|000814|18 Cannon|18 Cannon
47|017|000815|13 Hollow Rock|13 Hollow Rock
47|017|000816|1 Lavinia|1 Lavinia
47|017|000817|16 Atwood|16 Atwood
47|017|000818|22 McKenzie City hall|22 McKenzie City hall
47|017|000819|11 Buena Vista|11 Buena Vista
47|019|000901|Happy Valley|Happy Valley
47|019|000902|Central|Central
47|019|000903|Range|Range
47|019|000904|Westside|Westside
47|019|000905|High School|High School
47|019|000906|Court House|Court House
47|019|000907|Keenburg|Keenburg
47|019|000908|Hunter|Hunter
47|019|000909|Siam|Siam
47|019|000910|Eastside|Eastside
47|019|000911|Valley Forge|Valley Forge
47|019|000912|Harold McCormick|Harold McCormick
47|019|000913|Little Milligan|Little Milligan
47|019|000914|Elk Mills|Elk Mills
47|019|000915|Roan Mountain|Roan Mountain
47|019|000916|Hampton|Hampton
47|019|000917|Gap Creek|Gap Creek
47|019|000918|Tiger Valley|Tiger Valley
47|019|000919|Unaka|Unaka
47|019|000920|Watauga|Watauga
47|019|000921|Midway|Midway
47|019|000922|National Guard Armory|National Guard Armory
