STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
48|001|000001|000001|000001
48|001|000002|000002|000002
48|001|000003|000003|000003
48|001|000004|000004|000004
48|001|000005|000005|000005
48|001|000006|000006|000006
48|001|000007|000007|000007
48|001|000008|000008|000008
48|001|000009|000009|000009
48|001|000010|000010|000010
48|001|000011|000011|000011
48|001|000013|000013|000013
48|001|000015|000015|000015
48|001|000016|000016|000016
48|001|000017|000017|000017
48|001|000018|000018|000018
48|001|000019|000019|000019
48|001|000020|000020|000020
48|001|000021|000021|000021
48|001|000022|000022|000022
48|001|000023|000023|000023
48|001|000024|000024|000024
48|003|000001|0001|Voting District 0001
48|003|000002|0002|Voting District 0002
48|003|000003|0003|Voting District 0003
48|003|000004|0004|Voting District 0004
48|005|000001|000001|000001
48|005|000002|000002|000002
48|005|000003|000003|000003
48|005|000004|000004|000004
48|005|000005|000005|000005
48|005|000006|000006|000006
48|005|000007|000007|000007
48|005|000008|000008|000008
48|005|000009|000009|000009
48|005|000010|000010|000010
48|005|000011|000011|000011
48|005|000012|000012|000012
48|005|000013|000013|000013
48|005|000014|000014|000014
48|005|000015|000015|000015
48|005|000016|000016|000016
48|005|000017|000017|000017
48|005|000018|000018|000018
48|005|000019|000019|000019
48|005|000020|000020|000020
48|005|000021|000021|000021
48|005|000022|000022|000022
48|005|000023|000023|000023
48|005|000024|000024|000024
48|005|000025|000025|000025
48|005|000026|000026|000026
48|005|000027|000027|000027
48|005|000028|000028|000028
48|005|000029|000029|000029
48|005|000030|000030|000030
48|005|000031|000031|000031
48|005|000032|000032|000032
48|005|000033|000033|000033
48|005|000034|000034|000034
48|005|000035|000035|000035
48|005|000036|000036|000036
48|005|000037|000037|000037
48|005|000038|000038|000038
48|005|000039|000039|000039
48|005|000040|000040|000040
48|005|00011B|00011B|00011B
48|005|00017B|00017B|00017B
48|007|000001|000001|000001
48|007|000002|000002|000002
48|007|000003|000003|000003
48|007|000004|000004|000004
48|007|00001A|00001A|00001A
48|007|00004A|00004A|00004A
48|009|000001|000001|000001
48|009|000002|000002|000002
48|009|000003|000003|000003
48|009|000004|000004|000004
48|009|000005|000005|000005
48|009|000006|000006|000006
48|009|000007|000007|000007
48|009|000008|000008|000008
48|009|000009|000009|000009
48|009|000010|000010|000010
48|009|000011|000011|000011
48|011|000101|000101|000101
48|011|000201|000201|000201
48|011|000202|000202|000202
48|011|000301|000301|000301
48|011|000303|000303|000303
48|011|000401|000401|000401
48|011|000402|000402|000402
48|011|000404|000404|000404
48|013|000001|000001|000001
48|013|000002|000002|000002
48|013|000003|000003|000003
48|013|000004|000004|000004
48|013|000005|000005|000005
48|013|000006|000006|000006
48|013|000007|000007|000007
48|013|000008|000008|000008
48|013|000009|000009|000009
48|013|000010|000010|000010
48|013|000011|000011|000011
48|013|000012|000012|000012
48|013|000013|000013|000013
48|013|000014|000014|000014
48|013|000015|000015|000015
48|013|000016|000016|000016
48|013|000017|000017|000017
48|013|000018|000018|000018
48|013|000019|000019|000019
48|013|000020|000020|000020
48|013|000021|000021|000021
48|013|000022|000022|000022
48|013|000023|000023|000023
48|013|000024|000024|000024
48|015|000101|000101|000101
48|015|000102|000102|000102
48|015|000103|000103|000103
48|015|000104|000104|000104
48|015|000205|000205|000205
48|015|000206|000206|000206
48|015|000207|000207|000207
48|015|000208|000208|000208
48|015|000209|000209|000209
48|015|000210|000210|000210
48|015|000211|000211|000211
48|015|000312|000312|000312
48|015|000313|000313|000313
48|015|000314|000314|000314
48|015|000415|000415|000415
48|015|000416|000416|000416
48|015|000417|000417|000417
48|015|000418|000418|000418
48|017|000001|000001|000001
48|017|000002|000002|000002
48|017|000003|000003|000003
48|017|000004|000004|000004
48|019|000101|000101|000101
48|019|000102|000102|000102
48|019|000203|000203|000203
48|019|000204|000204|000204
48|019|000305|000305|000305
48|019|000306|000306|000306
48|019|000407|000407|000407
48|019|000408|000408|000408
48|019|000409|000409|000409
48|019|000410|000410|000410
48|021|001001|001001|001001
48|021|001002|001002|001002
48|021|001003|001003|001003
48|021|001004|001004|001004
48|021|001022|001022|001022
48|021|002005|002005|002005
48|021|002006|002006|002006
48|021|002007|002007|002007
48|021|002008|002008|002008
48|021|002009|002009|002009
48|021|002010|002010|002010
48|021|002011|002011|002011
48|021|003012|003012|003012
48|021|003013|003013|003013
48|021|003014|003014|003014
48|021|003015|003015|003015
48|021|003016|003016|003016
48|021|004017|004017|004017
48|021|004018|004018|004018
48|021|004019|004019|004019
48|021|004020|004020|004020
48|021|004021|004021|004021
48|023|000001|0001|Voting District 0001
48|023|000002|0002|Voting District 0002
48|023|000003|0003|Voting District 0003
48|023|000004|0004|Voting District 0004
48|025|000001|0001|Voting District 0001
48|025|000002|0002|Voting District 0002
48|025|000003|0003|Voting District 0003
48|025|000004|0004|Voting District 0004
48|025|000005|0005|Voting District 0005
48|025|000006|0006|Voting District 0006
48|025|000008|0008|Voting District 0008
48|025|000009|0009|Voting District 0009
48|025|000010|0010|Voting District 0010
48|025|000011|0011|Voting District 0011
48|025|000012|0012|Voting District 0012
48|025|000013|0013|Voting District 0013
48|025|000014|0014|Voting District 0014
48|025|000016|0016|Voting District 0016
48|025|000017|0017|Voting District 0017
48|025|000018|0018|Voting District 0018
48|025|000019|0019|Voting District 0019
48|027|000101|000101|000101
48|027|000102|000102|000102
48|027|000103|000103|000103
48|027|000104|000104|000104
48|027|000105|000105|000105
48|027|000106|000106|000106
48|027|000107|000107|000107
48|027|000108|000108|000108
48|027|000109|000109|000109
48|027|000110|000110|000110
48|027|000111|000111|000111
48|027|000113|000113|000113
48|027|000201|000201|000201
48|027|000202|000202|000202
