STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
49|001|BEA4UN|Beaver 4 U N|Beaver 4 U N Voting District
49|001|BEV1I-|Beaver 1|Beaver 1 Voting District
49|001|BEV2I-|Beaver 2|Beaver 2 Voting District
49|001|BEV3I-|Beaver 3 I|Beaver 3 I Voting District
49|001|BEV3UE|Beaver 3 U E|Beaver 3 U E Voting District
49|001|BEV3UN|Beaver 3 U N|Beaver 3 U N Voting District
49|001|BEV3US|Beaver 3 U S|Beaver 3 U S Voting District
49|001|BEV3UW|Beaver 3 U W|Beaver 3 U W Voting District
49|001|BEV4UE|Beaver 4 U E|Beaver 4 U E Voting District
49|001|BEV4US|Beaver 4 U S|Beaver 4 U S Voting District
49|001|GRN1UN|Greenville 1 U N|Greenville 1 U N Voting District
49|001|GRN1US|Greenville 1 U S|Greenville 1 U S Voting District
49|001|MIL1I-|Milford 1 I|Milford 1 I Voting District
49|001|MIL2I-|Milford 2 I|Milford 2 I Voting District
49|001|MIL2UN|Milford 2 U N|Milford 2 U N Voting District
49|001|MIL2UW|Milford 2 U W|Milford 2 U W Voting District
49|001|MIL2WW|Milford 2 U WW|Milford 2 U WW Voting District
49|001|MIL3UE|Milford 3 U E|Milford 3 U E Voting District
49|001|MIL3UN|Milford 3 U N|Milford 3 U N Voting District
49|001|MIL3US|Milford 3 U S|Milford 3 U S Voting District
49|001|MNV1I-|Minersville 1 I|Minersville 1 I Voting District
49|001|MNV1UE|Minersville 1 U E|Minersville 1 U E Voting District
49|001|MNV1UW|Minersville 1 U W|Minersville 1 U W Voting District
49|003|BC0001|Brigham City 1|Brigham City 1 Voting District
49|003|BC0002|Brigham City 2|Brigham City 2 Voting District
49|003|BC0003|Brigham City 3|Brigham City 3 Voting District
49|003|BC0004|Brigham City 4|Brigham City 4 Voting District
49|003|BC0005|Brigham City 5|Brigham City 5 Voting District
49|003|BC0006|Brigham City 6|Brigham City 6 Voting District
49|003|BC0007|Brigham City 7|Brigham City 7 Voting District
49|003|BC0008|Brigham City 8|Brigham City 8 Voting District
49|003|BC0009|Brigham City 9|Brigham City 9 Voting District
49|003|BC0010|Brigham City 10|Brigham City 10 Voting District
49|003|BC0011|Brigham City 11|Brigham City 11 Voting District
49|003|BC0012|Brigham City 12|Brigham City 12 Voting District
49|003|BC0013|Brigham City 13|Brigham City 13 Voting District
49|003|BC0014|Brigham City 14|Brigham City 14 Voting District
49|003|BC0015|Brigham City 15|Brigham City 15 Voting District
49|003|BC00UN|Brigham City U N|Brigham City U N Voting District
49|003|BDC000|Beaver Dam / Collinston|Beaver Dam / Collinston Voting District
49|003|BEAR0E|Bear River East|Bear River East Voting District
49|003|BEAR0I|Bear River City I|Bear River City I Voting District
49|003|BEARUN|Bear River City U N|Bear River City U N Voting District
49|003|BEARUS|Bear River City U S|Bear River City U S Voting District
49|003|CC0000|Clear Creek|Clear Creek Voting District
49|003|COR002|Corinne 2|Corinne 2 Voting District
49|003|COR01I|Corinne 1 I|Corinne 1 I Voting District
49|003|COR1UN|Corinne 1 U N|Corinne 1 U N Voting District
49|003|COR1US|Corinne 1 U S|Corinne 1 U S Voting District
49|003|DEWY0I|Dewyville I|Dewyville I Voting District
49|003|DEWY0U|Dewyville U|Dewyville U Voting District
49|003|ELWD0I|Elwood I|Elwood I Voting District
49|003|ELWD0U|Elwood U|Elwood U Voting District
49|003|FLD01I|Fielding 1 I|Fielding 1 I Voting District
49|003|FLD2UE|Fielding 2 U E|Fielding 2 U E Voting District
49|003|FLD2UW|Fielding 2 U W|Fielding 2 U W Voting District
49|003|GAR01I|Garland 1 I|Garland 1 I Voting District
49|003|GAR02I|Garland 2 I|Garland 2 I Voting District
