STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
50|001|00325|Addison|Addison town
50|001|08575|Bridport|Bridport town
50|001|09025|Bristol|Bristol town
50|001|16000|Cornwall|Cornwall town
50|001|26300|Ferrisburgh|Ferrisburgh town
50|001|28600|Goshen|Goshen town
50|001|29575|Granville|Granville town
50|001|31525|Hancock|Hancock town
50|001|39325|Leicester|Leicester town
50|001|40075|Lincoln|Lincoln town
50|001|44350|Middlebury|Middlebury town
50|001|45550|Monkton|Monkton town
50|001|48700|New Haven|New Haven town
50|001|53725|Orwell|Orwell town
50|001|53950|Panton|Panton town
50|001|59650|Ripton|Ripton town
50|001|62575|Salisbury|Salisbury town
50|001|65050|Shoreham|Shoreham town
50|001|70075|Starksboro|Starksboro town
50|001|74650|Vergennes|Vergennes city
50|001|76075|Waltham|Waltham town
50|001|83275|Weybridge|Weybridge town
50|001|83800|Whiting|Whiting town
50|003|01450|Arlington|Arlington town
50|003|04825|Bennington|Bennington town
50|003|17725|Dorset|Dorset town
50|003|27962|Glastenbury|Glastenbury town
50|003|39025|Landgrove|Landgrove town
50|003|42850|Manchester|Manchester town
50|003|55000|Peru|Peru town
50|003|57025|Pownal|Pownal town
50|003|58600|Readsboro|Readsboro town
50|003|61000|Rupert|Rupert town
50|003|62875|Sandgate|Sandgate town
50|003|63175|Searsburg|Searsburg town
50|003|63550|Shaftsbury|Shaftsbury town
50|003|69775|Stamford|Stamford town
50|003|71425|Sunderland|Sunderland town
50|003|85075|Winhall|Winhall town
50|003|85675|Woodford|Woodford town
50|005|02875|Barnet|Barnet town
50|005|10450|Burke|Burke town
50|005|17125|Danville|Danville town
50|005|30550|Groton|Groton town
50|005|31825|Hardwick|Hardwick town
50|005|37900|Kirby|Kirby town
50|005|41725|Lyndon|Lyndon town
50|005|47725|Newark|Newark town
50|005|54400|Peacham|Peacham town
50|005|61525|Ryegate|Ryegate town
50|005|62200|St. Johnsbury|St. Johnsbury town
50|005|64075|Sheffield|Sheffield town
50|005|69925|Stannard|Stannard town
50|005|71575|Sutton|Sutton town
50|005|75700|Walden|Walden town
50|005|77125|Waterford|Waterford town
50|005|83500|Wheelock|Wheelock town
50|007|06550|Bolton|Bolton town
50|007|10300|Buels|Buels gore
50|007|10675|Burlington|Burlington city
50|007|13300|Charlotte|Charlotte town
50|007|14875|Colchester|Colchester town
50|007|24175|Essex|Essex town
50|007|33475|Hinesburg|Hinesburg town
50|007|34600|Huntington|Huntington town
50|007|36700|Jericho|Jericho town
50|007|45250|Milton|Milton town
50|007|59275|Richmond|Richmond town
50|007|62050|St. George|St. George town
50|007|64300|Shelburne|Shelburne town
50|007|66175|South Burlington|South Burlington city
50|007|73975|Underhill|Underhill town
50|007|80350|Westford|Westford town
50|007|84475|Williston|Williston town
50|007|85150|Winooski|Winooski city
50|009|02125|Averill|Averill town
50|009|02162|Avery's|Avery's gore
50|009|06325|Bloomfield|Bloomfield town
50|009|08725|Brighton|Brighton town
50|009|10075|Brunswick|Brunswick town
50|009|11800|Canaan|Canaan town
50|009|15250|Concord|Concord town
50|009|21250|East Haven|East Haven town
50|009|25975|Ferdinand|Ferdinand town
50|009|29125|Granby|Granby town
50|009|30775|Guildhall|Guildhall town
50|009|39700|Lemington|Lemington town
50|009|39775|Lewis|Lewis town
50|009|41425|Lunenburg|Lunenburg town
50|009|42475|Maidstone|Maidstone town
50|009|52750|Norton|Norton town
50|009|75175|Victory|Victory town
50|009|76337|Warner's|Warner's grant
50|009|76562|Warren's|Warren's gore
50|011|02500|Bakersfield|Bakersfield town
50|011|05425|Berkshire|Berkshire town
50|011|24050|Enosburgh|Enosburgh town
50|011|24925|Fairfax|Fairfax town
50|011|25225|Fairfield|Fairfield town
50|011|26500|Fletcher|Fletcher town
50|011|27100|Franklin|Franklin town
50|011|27700|Georgia|Georgia town
50|011|33025|Highgate|Highgate town
50|011|45850|Montgomery|Montgomery town
50|011|59125|Richford|Richford town
50|011|61675|St. Albans|St. Albans city
50|011|61750|St. Albans|St. Albans town
50|011|64600|Sheldon|Sheldon town
50|011|71725|Swanton|Swanton town
50|013|00860|Alburgh|Alburgh town
50|013|29275|Grand Isle|Grand Isle town
50|013|35875|Isle La Motte|Isle La Motte town
50|013|50650|North Hero|North Hero town
50|013|67000|South Hero|South Hero town
50|015|04375|Belvidere|Belvidere town
50|015|11500|Cambridge|Cambridge town
50|015|23500|Eden|Eden town
50|015|23725|Elmore|Elmore town
50|015|35050|Hyde Park|Hyde Park town
50|015|37075|Johnson|Johnson town
50|015|46675|Morristown|Morristown town
50|015|70525|Stowe|Stowe town
50|015|77425|Waterville|Waterville town
50|015|85375|Wolcott|Wolcott town
50|017|07375|Bradford|Bradford town
50|017|07600|Braintree|Braintree town
50|017|09325|Brookfield|Brookfield town
50|017|13525|Chelsea|Chelsea town
50|017|15700|Corinth|Corinth town
50|017|25675|Fairlee|Fairlee town
50|017|48175|Newbury|Newbury town
50|017|53425|Orange|Orange town
50|017|58075|Randolph|Randolph town
50|017|70675|Strafford|Strafford town
50|017|72400|Thetford|Thetford town
50|017|73075|Topsham|Topsham town
