STATEFP|DISTRICT|NAME|NAMELSAD
50|A-1|Addison-1|Addison-1 State House District
50|A-2|Addison-2|Addison-2 State House District
50|A-3|Addison-3|Addison-3 State House District
50|A-4|Addison-4|Addison-4 State House District
50|A-5|Addison-5|Addison-5 State House District
50|A-R|Addison-Rutland|Addison-Rutland State House District
50|B-1|Bennington-1|Bennington-1 State House District
50|B-3|Bennington-3|Bennington-3 State House District
50|B-4|Bennington-4|Bennington-4 State House District
50|B-R|Bennington-Rutland|Bennington-Rutland State House District
50|B21|Bennington-2-1|Bennington-2-1 State House District
50|B22|Bennington-2-2|Bennington-2-2 State House District
50|C-1|Chittenden-1|Chittenden-1 State House District
50|C-2|Chittenden-2|Chittenden-2 State House District
50|C-3|Chittenden-3|Chittenden-3 State House District
50|C10|Chittenden-10|Chittenden-10 State House District
50|C41|Chittenden-4-1|Chittenden-4-1 State House District
50|C42|Chittenden-4-2|Chittenden-4-2 State House District
50|C51|Chittenden-5-1|Chittenden-5-1 State House District
50|C52|Chittenden-5-2|Chittenden-5-2 State House District
50|C61|Chittenden-6-1|Chittenden-6-1 State House District
50|C62|Chittenden-6-2|Chittenden-6-2 State House District
50|C63|Chittenden-6-3|Chittenden-6-3 State House District
50|C64|Chittenden-6-4|Chittenden-6-4 State House District
50|C65|Chittenden-6-5|Chittenden-6-5 State House District
50|C66|Chittenden-6-6|Chittenden-6-6 State House District
50|C67|Chittenden-6-7|Chittenden-6-7 State House District
50|C71|Chittenden-7-1|Chittenden-7-1 State House District
50|C72|Chittenden-7-2|Chittenden-7-2 State House District
50|C73|Chittenden-7-3|Chittenden-7-3 State House District
50|C74|Chittenden-7-4|Chittenden-7-4 State House District
50|C81|Chittenden-8-1|Chittenden-8-1 State House District
50|C82|Chittenden-8-2|Chittenden-8-2 State House District
50|C83|Chittenden-8-3|Chittenden-8-3 State House District
50|C91|Chittenden-9-1|Chittenden-9-1 State House District
50|C92|Chittenden-9-2|Chittenden-9-2 State House District
50|CA1|Caledonia-1|Caledonia-1 State House District
50|CA2|Caledonia-2|Caledonia-2 State House District
50|CA3|Caledonia-3|Caledonia-3 State House District
50|CA4|Caledonia-4|Caledonia-4 State House District
50|CAW|Caledonia-Washington|Caledonia-Washington State House District
50|E-C|Essex-Caledonia|Essex-Caledonia State House District
50|ECO|Essex-Caledonia-Orleans|Essex-Caledonia-Orleans State House District
50|F-1|Franklin-1|Franklin-1 State House District
50|F-2|Franklin-2|Franklin-2 State House District
50|F-4|Franklin-4|Franklin-4 State House District
50|F-5|Franklin-5|Franklin-5 State House District
50|F-6|Franklin-6|Franklin-6 State House District
50|F-7|Franklin-7|Franklin-7 State House District
50|F31|Franklin-3-1|Franklin-3-1 State House District
50|F32|Franklin-3-2|Franklin-3-2 State House District
50|GIC|Grand-Isle-Chittenden|Grand-Isle-Chittenden State House District
50|LM1|Lamoille-1|Lamoille-1 State House District
50|LM2|Lamoille-2|Lamoille-2 State House District
50|LM3|Lamoille-3|Lamoille-3 State House District
50|LMW|Lamoille-Washington|Lamoille-Washington State House District
50|O-1|Orleans-1|Orleans-1 State House District
50|O-2|Orleans-2|Orleans-2 State House District
50|O-C|Orange-Caledonia|Orange-Caledonia State House District
50|O-L|Orleans-Lamoille|Orleans-Lamoille State House District
50|OLC|Orleans-Caledonia|Orleans-Caledonia State House District
50|OR1|Orange-1|Orange-1 State House District
50|OR2|Orange-2|Orange-2 State House District
50|OWA|Orange-Washington-Addison|Orange-Washington-Addison State House District
50|R-1|Rutland-1|Rutland-1 State House District
50|R-2|Rutland-2|Rutland-2 State House District
50|R-3|Rutland-3|Rutland-3 State House District
50|R-4|Rutland-4|Rutland-4 State House District
50|R-6|Rutland-6|Rutland-6 State House District
50|R-B|Rutland-Bennington|Rutland-Bennington State House District
50|R-W|Rutland-Windsor-1|Rutland-Windsor-1 State House District
50|R51|Rutland-5-1|Rutland-5-1 State House District
50|R52|Rutland-5-2|Rutland-5-2 State House District
50|R53|Rutland-5-3|Rutland-5-3 State House District
50|R54|Rutland-5-4|Rutland-5-4 State House District
50|RW2|Rutland-Windsor-2|Rutland-Windsor-2 State House District
50|W-1|Windham-1|Windham-1 State House District
50|W-3|Windham-3|Windham-3 State House District
50|W-4|Windham-4|Windham-4 State House District
50|W-5|Windham-5|Windham-5 State House District
50|W-6|Windham-6|Windham-6 State House District
50|W21|Windham-2-1|Windham-2-1 State House District
50|W22|Windham-2-2|Windham-2-2 State House District
50|W23|Windham-2-3|Windham-2-3 State House District
50|WA1|Washington-1|Washington-1 State House District
50|WA2|Washington-2|Washington-2 State House District
50|WA3|Washington-3|Washington-3 State House District
50|WA4|Washington-4|Washington-4 State House District
50|WA5|Washington-5|Washington-5 State House District
50|WA6|Washington-6|Washington-6 State House District
50|WA7|Washington-7|Washington-7 State House District
50|WAC|Washington-Chittenden|Washington-Chittenden State House District
50|WBW|Windham-Bennington-Windsor|Windham-Bennington-Windsor State House District
50|WIB|Windham-Bennington|Windham-Bennington State House District
50|Y-1|Windsor-1|Windsor-1 State House District
50|Y-2|Windsor-2|Windsor-2 State House District
50|Y-5|Windsor-5|Windsor-5 State House District
50|Y-R|Windsor-Rutland|Windsor-Rutland State House District
50|Y31|Windsor-3-1|Windsor-3-1 State House District
50|Y32|Windsor-3-2|Windsor-3-2 State House District
50|Y41|Windsor-4-1|Windsor-4-1 State House District
50|Y42|Windsor-4-2|Windsor-4-2 State House District
50|YO1|Windsor-Orange-1|Windsor-Orange-1 State House District
50|YO2|Windsor-Orange-2|Windsor-Orange-2 State House District
