STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
51|001|000101|Chincoteague|Chincoteague Voting District
51|001|000201|Atlantic|Atlantic Voting District
51|001|000202|Greenbackville|Greenbackville Voting District
51|001|000301|New Church|New Church Voting District
51|001|000401|Bloxom|Bloxom Voting District
51|001|000402|Parksley|Parksley Voting District
51|001|000403|Saxis|Saxis Voting District
51|001|000501|Mappsville|Mappsville Voting District
51|001|000502|Rue|Rue Voting District
51|001|000601|Accomac|Accomac Voting District
51|001|000602|Tangier|Tangier Voting District
51|001|000701|Nandua|Nandua Voting District
51|001|000801|Bobtown|Bobtown Voting District
51|001|000802|Melfa|Melfa Voting District
51|001|000803|Wachapreague|Wachapreague Voting District
51|001|000901|Painter|Painter Voting District
51|003|000101|Woodbrook|Woodbrook Voting District
51|003|000103|Branchlands|Branchlands Voting District
51|003|000104|Agnor-Hurt|Agnor-Hurt Voting District
51|003|000105|Dunlora|Dunlora Voting District
51|003|000106|Northside|Northside Voting District
51|003|000201|Jack Jouett|Jack Jouett Voting District
51|003|000202|University|University Voting District
51|003|000203|Georgetown|Georgetown Voting District
51|003|000301|Ivy|Ivy Voting District
51|003|000302|Red Hill|Red Hill Voting District
51|003|000304|East Ivy|East Ivy Voting District
51|003|000305|Country Green|Country Green Voting District
51|003|000306|Porters|Porters Voting District
51|003|000307|Yellow Mountain|Yellow Mountain Voting District
51|003|000401|Scottsville|Scottsville Voting District
51|003|000402|Monticello|Monticello Voting District
51|003|000405|Cale|Cale Voting District
51|003|000406|Stone Robinson|Stone Robinson Voting District
51|003|000407|Biscuit Run|Biscuit Run Voting District
51|003|000501|Keswick|Keswick Voting District
51|003|000502|Stony Point|Stony Point Voting District
51|003|000503|Hollymead|Hollymead Voting District
51|003|000504|Free Bridge|Free Bridge Voting District
51|003|000506|Baker-Butler|Baker-Butler Voting District
51|003|000507|Pantops|Pantops Voting District
51|003|000601|Crozet|Crozet Voting District
51|003|000602|Free Union|Free Union Voting District
51|003|000603|Earlysville|Earlysville Voting District
51|003|000604|Brownsville|Brownsville Voting District
51|003|000606|Mechums River|Mechums River Voting District
51|005|005101|Arritt|Arritt Voting District
51|005|005103|Dameron|Dameron Voting District
