STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
54|001|000001|1|Voting District 1
54|001|000002|2|Voting District 2
54|001|000003|3|Voting District 3
54|001|000004|4|Voting District 4
54|001|000007|7|Voting District 7
54|001|000008|8|Voting District 8
54|001|000009|9|Voting District 9
54|001|000010|10|Voting District 10
54|001|000011|11|Voting District 11
54|001|000012|12|Voting District 12
54|001|000013|13|Voting District 13
54|001|000014|14|Voting District 14
54|001|000015|15|Voting District 15
54|001|000016|16|Voting District 16
54|001|00005a|5|Voting District 5
54|001|00006A|6|Voting District 6
54|003|000001|1|Voting District 1
54|003|000002|2|Voting District 2
54|003|000005|5|Voting District 5
54|003|000006|6|Voting District 6
54|003|000007|7|Voting District 7
54|003|000008|8|Voting District 8
54|003|000009|9|Voting District 9
54|003|000010|10|Voting District 10
54|003|000012|12|Voting District 12
54|003|000013|Voting District 13|Voting District 13
54|003|000014|14|Voting District 14
54|003|000015|15|Voting District 15
54|003|000016|16|Voting District 16
54|003|000017|17|Voting District 17
54|003|000018|18|Voting District 18
54|003|000019|19|Voting District 19
54|003|000020|20|Voting District 20
54|003|000021|21|Voting District 21
54|003|000022|22|Voting District 22
54|003|000023|23|Voting District 23
54|003|000024|24|Voting District 24
54|003|000025|25|Voting District 25
54|003|000026|26|Voting District 26
54|003|000027|27|Voting District 27
54|003|000028|28|Voting District 28
54|003|000029|29|Voting District 29
54|003|000030|30|Voting District 30
54|003|000032|32|Voting District 32
54|003|000034|34|Voting District 34
54|003|000035|35|Voting District 35
54|003|000036|36|Voting District 36
54|003|000038|38|Voting District 38
54|003|000039|39|Voting District 39
54|003|000040|40|Voting District 40
54|003|000041|41|Voting District 41
54|003|000042|42|Voting District 42
54|003|000043|43|Voting District 43
54|003|000044|44|Voting District 44
54|003|000045|45|Voting District 45
54|003|000046|46|Voting District 46
54|003|000047|47|Voting District 47
54|003|000048|48|Voting District 48
54|003|000049|49|Voting District 49
54|003|000050|50|Voting District 50
54|003|000051|51|Voting District 51
