STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
56|001|000103|CENTENNIAL SCHOOL|CENTENNIAL SCHOOL Voting District
56|001|000104|ROCK RIVER TOWN HALL|ROCK RIVER TOWN HALL Voting District
56|001|000111|SHARON WALKER'S HOME|SHARON WALKER'S HOME Voting District
56|001|000112|DON ROBBIN'S HOME|DON ROBBIN'S HOME Voting District
56|001|000113|MARSHALL COMMUNITY HALL|MARSHALL COMMUNITY HALL Voting District
56|001|000114|11-4|11-4 Voting District
56|001|000115|NORTH ALBANY COMMUNITY HALL|NORTH ALBANY COMMUNITY HALL Voting District
56|001|000121|ALBANY COUNTY FAIRGROUNDS|ALBANY COUNTY FAIRGROUNDS Voting District
56|001|000122|HARMONY SCHOOL|HARMONY SCHOOL Voting District
56|001|000301|SLADE SCHOOL|SLADE SCHOOL Voting District
56|001|000312|31-2|31-2 Voting District
56|001|000313|0313|0313 Voting District
56|001|000314|31-4|31-4 Voting District
56|001|000402|NATIONAL GUARD ARMORY|NATIONAL GUARD ARMORY Voting District
56|001|000501|ALBANY COUNTY LIBRARY|ALBANY COUNTY LIBRARY Voting District
56|001|000511|51-1|51-1 Voting District
56|001|000512|51-2|51-2 Voting District
56|001|000514|51-4|51-4 Voting District
56|001|000515|51-5|51-5 Voting District
56|001|000516|51-6|51-6 Voting District
56|001|000601|THAYER SCHOOL|THAYER SCHOOL Voting District
56|001|000602|BEITEL SCHOOL|BEITEL SCHOOL Voting District
56|001|000614|61-4|61-4 Voting District
56|001|0041-1|41-1|41-1 Voting District
56|001|0041-2|41-2|41-2 Voting District
56|001|0041-4|41-4|41-4 Voting District
56|001|004131|41-3-1|41-3-1 Voting District
56|003|000101|BASIN|BASIN Voting District
56|003|000201|BURLINGTON|BURLINGTON Voting District
56|003|000301|OTTO|OTTO Voting District
56|003|000501|EMBLEM|EMBLEM Voting District
56|003|000601|HYATTVILLE|HYATTVILLE Voting District
56|003|000801|MANDERSON|MANDERSON Voting District
56|003|001101|GREYBULL|GREYBULL Voting District
56|003|001601|SHELL|SHELL Voting District
56|003|002001|LOVELL|LOVELL Voting District
56|003|002201|COWLEY|COWLEY Voting District
56|003|002301|BYRON|BYRON Voting District
56|003|002501|DEAVER|DEAVER Voting District
56|003|002601|FRANNIE|FRANNIE Voting District
56|005|001-01|01-01|01-01
56|005|001-03|01-03|01-03
56|005|001-05|01-05|01-05
56|005|001-07|01-07|01-07
56|005|001-09|01-09|01-09
56|005|001-11|01-11|01-11
56|005|001-12|01-12|01-12
56|005|001-14|01-14|01-14
56|005|001-15|01-15|01-15
56|005|001-16|01-16|01-16
56|005|001-17|01-17|01-17
56|005|001-18|01-18|01-18
56|005|001-19|01-19|01-19
56|005|001-20|01-20|01-20
56|005|001-21|01-21|01-21
56|005|001-22|01-22|01-22
56|005|001-23|01-23|01-23
56|005|001-24|01-24|01-24
56|005|001-25|01-25|01-25
56|005|001-26|01-26|01-26
56|005|001-27|01-27|01-27
56|005|002-01|02-01|02-01
56|005|003-01|03-01|03-01
56|005|004-01|04-01|04-01
56|005|006-01|06-01|06-01
56|005|007-01|07-01|07-01
56|005|008-01|08-01|08-01
56|005|009-01|09-01|09-01
56|005|013-01|13-01|13-01
56|005|014-01|14-01|14-01
56|005|014-02|14-02|14-02
56|005|018-01|18-01|18-01
56|005|019-01|19-01|19-01
56|005|022-01|22-01|22-01
56|005|023-01|23-01|23-01
56|005|024-01|24-01|24-01
56|005|026-01|26-01|26-01
56|007|0001-1|RAWLINS 1-1-0|RAWLINS 1-1-0
56|007|0002-1|RAWLINS 2-1-0|RAWLINS 2-1-0
56|007|0002-2|RAWLINS 2-2-0|RAWLINS 2-2-0
56|007|0003-1|RAWLINS 3-1-0|RAWLINS 3-1-0
56|007|0003-2|RAWLINS 3-2-0|RAWLINS 3-2-0
56|007|0004-1|MUDDY GAP 4-1|MUDDY GAP 4-1
56|007|0005-1|SINCLAIR 5-1|SINCLAIR 5-1
56|007|0006-1|LEO 6-1|LEO 6-1
56|007|0007-1|MEDICINE BOW 7-1|MEDICINE BOW 7-1
56|007|0008-1|HANNA 8-1|HANNA 8-1
56|007|0009-1|ELK MOUNTAIN 9-1|ELK MOUNTAIN 9-1
56|007|0010-1|MCFADDEN 10-1|MCFADDEN 10-1
56|007|0011-1|SARATOGA 11-1-0|SARATOGA 11-1-0
56|007|0011-2|SARATOGA 11-2 OUTSIDE|SARATOGA 11-2 OUTSIDE
56|007|0012-1|ENCAMPMENT 12-1-1 OUTSIDE|ENCAMPMENT 12-1-1 OUTSIDE
56|007|0013-1|RIVERSIDE 13-1-1 OUTSIDE|RIVERSIDE 13-1-1 OUTSIDE
56|007|0014-1|DIXON/SAVERY 14-1|DIXON/SAVERY 14-1
56|007|0015-1|BAGGS 15-1|BAGGS 15-1
56|007|01-2-0|RAWLINS 1-2-0|RAWLINS 1-2-0
56|007|01-2-1|RAWLINS 1-2-1|RAWLINS 1-2-1
56|007|01-2-2|RAWLINS 1-2-2|RAWLINS 1-2-2
56|007|01-2-3|RAWLINS 1-2-3|RAWLINS 1-2-3
56|007|01-2-4|RAWLINS 1-2-4|RAWLINS 1-2-4
56|007|05-1-2|SINCLAIR 5-1-2|SINCLAIR 5-1-2
56|007|06-1-1|SINCLAIR 6-1-1|SINCLAIR 6-1-1
56|007|07-1-2|MEDICINE BOW 7-1-2|MEDICINE BOW 7-1-2
56|007|11-2-1|SARATOGA 11-2-1 RYAN PARK|SARATOGA 11-2-1 RYAN PARK
56|007|12-1-0|ENCAMPMENT 12-1-0|ENCAMPMENT 12-1-0
56|007|13-1-0|RIVERSIDE 13-1-0|RIVERSIDE 13-1-0
56|009|0001-1|LOST SPRINGS|LOST SPRINGS
56|009|0002-2|ORIN|ORIN
56|009|0003-1|GUTHRIE|GUTHRIE
56|009|0004-4|RURAL DOUGLAS|RURAL DOUGLAS
56|009|0006-6|BOX ELDER|BOX ELDER
56|009|0007-7|LA PRELE|LA PRELE
56|009|0008-8|EAST ANTELOPE|EAST ANTELOPE
56|009|0009-1|GLENROCK EAST|GLENROCK EAST
56|009|0009-2|GLENROCK WEST|GLENROCK WEST
56|009|0023-1|NORTHEAST DOUGLAS|NORTHEAST DOUGLAS
56|009|0023-2|NORTHWEST DOUGLAS|NORTHWEST DOUGLAS
56|009|0023-3|SOUTHWEST DOUGLAS|SOUTHWEST DOUGLAS
56|009|0023-4|COURTHOUSE|COURTHOUSE
56|009|0023-5|SOUTH DOUGLAS|SOUTH DOUGLAS
56|009|0023-6|FAIRVIEW|FAIRVIEW
56|009|010-10|GLENROCK|GLENROCK
56|009|011-11|ROLLING HILLS|ROLLING HILLS
56|009|013-13|DRY CREEK|DRY CREEK
56|009|020-20|ORPHA|ORPHA
56|011|000101|SUNDANCE INSIDE NORTH|SUNDANCE INSIDE NORTH Voting District
56|011|000102|SUNDANCE INSIDE SOUTH|SUNDANCE INSIDE SOUTH Voting District
56|011|000202|SUNDANCE OUTSIDE|SUNDANCE OUTSIDE Voting District
56|011|000303|BEULAH|BEULAH Voting District
56|011|000707|ALADDIN|ALADDIN Voting District
56|011|000909|ALVA|ALVA Voting District
56|011|001111|TOWER JUNCTION|TOWER JUNCTION Voting District
56|011|001212|ELMORE|ELMORE Voting District
56|011|001313|HULETT OUTSIDE|HULETT OUTSIDE Voting District
56|011|001414|HULETT INSIDE|HULETT INSIDE Voting District
56|011|001515|PINE HAVEN|PINE HAVEN Voting District
56|011|001616|MOORCROFT OUTSIDE|MOORCROFT OUTSIDE Voting District
56|011|001801|MOORCROFT WEST|MOORCROFT WEST Voting District
56|011|001802|MOORCROFT EAST|MOORCROFT EAST Voting District
56|011|002323|NEW HAVEN|NEW HAVEN Voting District
56|011|002424|COLONY|COLONY Voting District
56|011|002626|OSHOTO|OSHOTO Voting District
56|013|000101|LANDER #1|LANDER #1 Voting District
56|013|000102|LANDER #2|LANDER #2 Voting District
56|013|000103|LANDER #3|LANDER #3 Voting District
56|013|000104|LANDER #4|LANDER #4 Voting District
56|013|000105|LANDER #5|LANDER #5 Voting District
56|013|000106|LANDER #6|LANDER #6 Voting District
56|013|000201|HUDSON|HUDSON Voting District
56|013|000301|RIVERTON #1|RIVERTON #1 Voting District
56|013|000302|RIVERTON #2|RIVERTON #2 Voting District
56|013|000303|RIVERTON #3|RIVERTON #3 Voting District
56|013|000304|RIVERTON #4|RIVERTON #4 Voting District
56|013|000305|RIVERTON #5|RIVERTON #5 Voting District
56|013|000306|RIVERTON #6|RIVERTON #6 Voting District
56|013|000401|FORT WASHAKIE|FORT WASHAKIE Voting District
56|013|000501|MILFORD|MILFORD Voting District
56|013|000601|BEEBE|BEEBE Voting District
56|013|000701|DUBOIS|DUBOIS Voting District
56|013|000801|ARAPAHOE|ARAPAHOE Voting District
56|013|000901|VALLEY|VALLEY Voting District
56|013|001001|DELFELDER|DELFELDER Voting District
56|013|001201|JEFFREY CITY|JEFFREY CITY Voting District
56|013|001301|ETHETE|ETHETE Voting District
56|013|001401|PAVILLION|PAVILLION Voting District
56|013|001501|EIGHT MILE|EIGHT MILE Voting District
56|013|001601|MORTON|MORTON Voting District
56|013|001701|LUTHY|LUTHY Voting District
56|013|001801|BIG BEND|BIG BEND Voting District
56|013|001901|CROWHEART|CROWHEART Voting District
56|013|002001|SHOSHONI|SHOSHONI Voting District
56|013|002101|RECLAMATION|RECLAMATION Voting District
56|013|002201|LYSITE|LYSITE Voting District
56|013|002401|ATLANTIC CITY|ATLANTIC CITY Voting District
56|015|000101|MEYERS|MEYERS Voting District
56|015|000201|JAY EM|JAY EM Voting District
56|015|000801|LINGLE OUTSIDE|LINGLE OUTSIDE Voting District
56|015|000802|LINGLE INSIDE|LINGLE INSIDE Voting District
