STATEFP|DISTRICT|NAME|NAMELSAD
72|001|1|State House District 1
72|002|2|State House District 2
72|003|3|State House District 3
72|004|4|State House District 4
72|005|5|State House District 5
72|006|6|State House District 6
72|007|7|State House District 7
72|008|8|State House District 8
72|009|9|State House District 9
72|010|10|State House District 10
72|011|11|State House District 11
72|012|12|State House District 12
72|013|13|State House District 13
72|014|14|State House District 14
72|015|15|State House District 15
72|016|16|State House District 16
72|017|17|State House District 17
72|018|18|State House District 18
72|019|19|State House District 19
72|020|20|State House District 20
72|021|21|State House District 21
72|022|22|State House District 22
72|023|23|State House District 23
72|024|24|State House District 24
72|025|25|State House District 25
72|026|26|State House District 26
72|027|27|State House District 27
72|028|28|State House District 28
72|029|29|State House District 29
72|030|30|State House District 30
72|031|31|State House District 31
72|032|32|State House District 32
72|033|33|State House District 33
72|034|34|State House District 34
72|035|35|State House District 35
72|036|36|State House District 36
72|037|37|State House District 37
72|038|38|State House District 38
72|039|39|State House District 39
72|040|40|State House District 40
72|ZZZ|State House Districts not defined|State House Districts not defined
