STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
72|001|0055.1|0055.1|Voting District 0055.1
72|001|0055.2|0055.2|Voting District 0055.2
72|001|0055.3|0055.3|Voting District 0055.3
72|001|0055.4|0055.4|Voting District 0055.4
72|001|0055.5|0055.5|Voting District 0055.5
72|001|0055.6|0055.6|Voting District 0055.6
72|001|0055.7|0055.7|Voting District 0055.7
72|001|0055.8|0055.8|Voting District 0055.8
72|001|0055.9|0055.9|Voting District 0055.9
72|001|055.10|055.10|Voting District 055.10
72|001|055.11|055.11|Voting District 055.11
72|001|055.12|055.12|Voting District 055.12
72|003|0038.1|0038.1|Voting District 0038.1
72|003|0038.2|0038.2|Voting District 0038.2
72|003|0038.3|0038.3|Voting District 0038.3
72|003|0038.4|0038.4|Voting District 0038.4
72|003|0038.5|0038.5|Voting District 0038.5
72|003|0038.6|0038.6|Voting District 0038.6
72|003|0038.7|0038.7|Voting District 0038.7
72|003|0038.8|0038.8|Voting District 0038.8
72|003|0038.9|0038.9|Voting District 0038.9
72|003|038.10|038.10|Voting District 038.10
72|003|038.11|038.11|Voting District 038.11
72|003|038.12|038.12|Voting District 038.12
72|003|038.13|038.13|Voting District 038.13
72|003|038.14|038.14|Voting District 038.14
72|003|038.15|038.15|Voting District 038.15
72|003|038.16|038.16|Voting District 038.16
72|003|038.17|038.17|Voting District 038.17
72|003|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
72|005|0035.1|0035.1|Voting District 0035.1
72|005|0035.2|0035.2|Voting District 0035.2
72|005|0035.3|0035.3|Voting District 0035.3
72|005|0035.4|0035.4|Voting District 0035.4
72|005|0035.5|0035.5|Voting District 0035.5
72|005|0035.6|0035.6|Voting District 0035.6
72|005|0035.7|0035.7|Voting District 0035.7
72|005|0035.8|0035.8|Voting District 0035.8
72|005|0035.9|0035.9|Voting District 0035.9
72|005|035.10|035.10|Voting District 035.10
72|005|035.11|035.11|Voting District 035.11
72|005|035.12|035.12|Voting District 035.12
72|005|035.13|035.13|Voting District 035.13
72|005|035.14|035.14|Voting District 035.14
72|005|035.15|035.15|Voting District 035.15
72|005|035.16|035.16|Voting District 035.16
72|005|035.17|035.17|Voting District 035.17
72|005|035.18|035.18|Voting District 035.18
72|005|035.19|035.19|Voting District 035.19
72|005|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
72|007|0081.1|0081.1|Voting District 0081.1
72|007|0081.2|0081.2|Voting District 0081.2
72|007|0081.3|0081.3|Voting District 0081.3
72|007|0081.4|0081.4|Voting District 0081.4
72|007|0081.5|0081.5|Voting District 0081.5
72|007|0081.6|0081.6|Voting District 0081.6
72|009|0069.1|0069.1|Voting District 0069.1
72|009|0069.2|0069.2|Voting District 0069.2
72|009|0069.3|0069.3|Voting District 0069.3
72|009|0069.4|0069.4|Voting District 0069.4
72|009|0069.5|0069.5|Voting District 0069.5
72|009|0069.6|0069.6|Voting District 0069.6
72|009|0069.7|0069.7|Voting District 0069.7
72|009|0069.8|0069.8|Voting District 0069.8
72|011|0040.1|0040.1|Voting District 0040.1
72|011|0040.2|0040.2|Voting District 0040.2
72|011|0040.3|0040.3|Voting District 0040.3
72|011|0040.4|0040.4|Voting District 0040.4
72|011|0040.5|0040.5|Voting District 0040.5
72|011|0040.6|0040.6|Voting District 0040.6
72|011|0040.7|0040.7|Voting District 0040.7
72|011|0040.8|0040.8|Voting District 0040.8
72|011|0040.9|0040.9|Voting District 0040.9
72|011|040.10|040.10|Voting District 040.10
72|011|040.11|040.11|Voting District 040.11
72|011|040.12|040.12|Voting District 040.12
72|011|040.13|040.13|Voting District 040.13
72|011|040.14|040.14|Voting District 040.14
72|011|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
72|013|0026.1|0026.1|Voting District 0026.1
72|013|0026.2|0026.2|Voting District 0026.2
72|013|0026.3|0026.3|Voting District 0026.3
72|013|0026.4|0026.4|Voting District 0026.4
72|013|0026.5|0026.5|Voting District 0026.5
72|013|0027.1|0027.1|Voting District 0027.1
72|013|0027.2|0027.2|Voting District 0027.2
72|013|0027.3|0027.3|Voting District 0027.3
72|013|0027.4|0027.4|Voting District 0027.4
72|013|0027.5|0027.5|Voting District 0027.5
72|013|0027.6|0027.6|Voting District 0027.6
72|013|0027.7|0027.7|Voting District 0027.7
72|013|0027.8|0027.8|Voting District 0027.8
72|013|0027.9|0027.9|Voting District 0027.9
72|013|027.10|027.10|Voting District 027.10
72|013|027.11|027.11|Voting District 027.11
72|013|027.12|027.12|Voting District 027.12
72|013|027.13|027.13|Voting District 027.13
72|013|027.14|027.14|Voting District 027.14
72|013|027.15|027.15|Voting District 027.15
72|013|027.16|027.16|Voting District 027.16
72|013|027.17|027.17|Voting District 027.17
72|013|027.18|027.18|Voting District 027.18
72|013|027.19|027.19|Voting District 027.19
72|013|027.20|027.20|Voting District 027.20
72|013|027.21|027.21|Voting District 027.21
72|013|027.22|027.22|Voting District 027.22
72|013|027.23|027.23|Voting District 027.23
72|013|027.24|027.24|Voting District 027.24
72|013|027.25|027.25|Voting District 027.25
72|013|027.26|027.26|Voting District 027.26
72|013|027.27|027.27|Voting District 027.27
72|013|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
72|015|0080.1|0080.1|Voting District 0080.1
72|015|0080.2|0080.2|Voting District 0080.2
72|015|0080.3|0080.3|Voting District 0080.3
72|015|0080.4|0080.4|Voting District 0080.4
72|015|0080.5|0080.5|Voting District 0080.5
72|015|0080.6|0080.6|Voting District 0080.6
72|015|0080.7|0080.7|Voting District 0080.7
72|015|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
72|017|0025.1|0025.1|Voting District 0025.1
72|017|0025.2|0025.2|Voting District 0025.2
72|017|0025.3|0025.3|Voting District 0025.3
72|017|0025.4|0025.4|Voting District 0025.4
72|017|0025.5|0025.5|Voting District 0025.5
72|017|0025.6|0025.6|Voting District 0025.6
72|017|0025.7|0025.7|Voting District 0025.7
72|017|0025.8|0025.8|Voting District 0025.8
72|017|ZZZZZZ|Voting Districts Not Defined|Voting Districts Not Defined
72|019|0070.1|0070.1|Voting District 0070.1
72|019|0070.2|0070.2|Voting District 0070.2
72|019|0070.3|0070.3|Voting District 0070.3
72|019|0070.4|0070.4|Voting District 0070.4
72|019|0070.5|0070.5|Voting District 0070.5
72|019|0070.6|0070.6|Voting District 0070.6
72|019|0070.7|0070.7|Voting District 0070.7
72|019|0070.8|0070.8|Voting District 0070.8
72|019|0070.9|0070.9|Voting District 0070.9
72|019|0071.1|0071.1|Voting District 0071.1
72|019|0071.2|0071.2|Voting District 0071.2
72|019|070.10|070.10|Voting District 070.10
72|021|0009.1|0009.1|Voting District 0009.1
72|021|0009.2|0009.2|Voting District 0009.2
72|021|0010.1|0010.1|Voting District 0010.1
72|021|0010.2|0010.2|Voting District 0010.2
72|021|0010.3|0010.3|Voting District 0010.3
72|021|0010.4|0010.4|Voting District 0010.4
72|021|0010.5|0010.5|Voting District 0010.5
72|021|0010.6|0010.6|Voting District 0010.6
72|021|0010.7|0010.7|Voting District 0010.7
72|021|0010.8|0010.8|Voting District 0010.8
72|021|0010.9|0010.9|Voting District 0010.9
72|021|0011.1|0011.1|Voting District 0011.1
72|021|0011.2|0011.2|Voting District 0011.2
72|021|0011.3|0011.3|Voting District 0011.3
72|021|0011.4|0011.4|Voting District 0011.4
72|021|0011.5|0011.5|Voting District 0011.5
72|021|0011.6|0011.6|Voting District 0011.6
72|021|0011.7|0011.7|Voting District 0011.7
72|021|0011.8|0011.8|Voting District 0011.8
72|021|0011.9|0011.9|Voting District 0011.9
72|021|0012.1|0012.1|Voting District 0012.1
72|021|0012.2|0012.2|Voting District 0012.2
72|021|0012.3|0012.3|Voting District 0012.3
72|021|0012.4|0012.4|Voting District 0012.4
72|021|0012.5|0012.5|Voting District 0012.5
72|021|0012.6|0012.6|Voting District 0012.6
72|021|010.10|010.10|Voting District 010.10
72|021|010.11|010.11|Voting District 010.11
72|021|010.12|010.12|Voting District 010.12
72|021|010.13|010.13|Voting District 010.13
72|021|010.14|010.14|Voting District 010.14
72|021|010.15|010.15|Voting District 010.15
72|021|010.16|010.16|Voting District 010.16
72|021|010.17|010.17|Voting District 010.17
72|021|010.18|010.18|Voting District 010.18
